S.No.,HSCode,Commodity,2023-2024,2024-2025,%Growth
4,04,"DAIRY PRODUCE; BIRDS' EGGS; NATURAL HONEY; EDIBLE PROD. OF ANIMAL ORIGIN, NOT ELSEWHERE SPEC. OR INCLUDED.",11.3,10.41,-7.86
5,05,"PRODUCTS OF ANIMAL ORIGIN, NOT ELSEWHERE SPECIFIED OR INCLUDED.",10.9,8.47,-22.25
6,06,LIVE TREES AND OTHER PLANTS; BULBS; ROOTS AND THE LIKE; CUT FLOWERS AND ORNAMENTAL FOLIAGE.,33.95,32.16,-5.27
7,07,EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,265.8,300.98,13.24
8,08,EDIBLE FRUIT AND NUTS; PEEL OR CITRUS FRUIT OR MELONS.,443.73,381.95,-13.92
9,09,"COFFEE, TEA, MATE AND SPICES.",924.91,1302.51,40.82
10,10,CEREALS.,563.05,587.68,4.37
11,11,PRODUCTS OF THE MILLING INDUSTRY; MALT; STARCHES; INULIN; WHEAT GLUTEN.,165.41,174.13,5.27
12,12,"OIL SEEDS AND OLEA. FRUITS; MISC. GRAINS, SEEDS AND FRUIT; INDUSTRIAL OR MEDICINAL PLANTS; STRAW AND FODDER.",345.26,378.51,9.63
13,13,"LAC; GUMS, RESINS AND OTHER VEGETABLE SAPS AND EXTRACTS.",205.93,228.01,10.72
14,14,VEGETABLE PLAITING MATERIALS; VEGETABLE PRODUCTS NOT ELSEWHERE SPECIFIED OR INCLUDED.,5.48,7.74,41.39
15,15,ANIMAL OR VEGETABLE FATS AND OILS AND THEIR CLEAVAGE PRODUCTS; PRE. EDIBLE FATS; ANIMAL OR VEGETABLE WAXEX.,357.9,383.5,7.15
16,16,"PREPARATIONS OF MEAT, OF FISH OR OF CRUSTACEANS, MOLLUSCS OR OTHER AQUATIC INVERTEBRATES",42.45,47.7,12.36
17,17,SUGARS AND SUGAR CONFECTIONERY.,110.89,34.81,-68.61
18,18,COCOA AND COCOA PREPARATIONS.,23.86,33.76,41.48
19,19,"PREPARATIONS OF CEREALS, FLOUR, STARCH OR MILK; PASTRYCOOKS PRODUCTS.",71.17,85.05,19.51
20,20,"PREPARATIONS OF VEGETABLES, FRUIT, NUTS OR OTHER PARTS OF PLANTS.",295.63,313.74,6.13
21,21,MISCELLANEOUS EDIBLE PREPARATIONS.,280.33,325.13,15.98
22,22,"BEVERAGES, SPIRITS AND VINEGAR.",33.74,36.84,9.18
23,23,RESIDUES AND WASTE FROM THE FOOD INDUSTRIES; PREPARED ANIMAL FODER.,151.8,401.22,164.3
24,24,TOBACCO AND MANUFACTURED TOBACCO SUBSTITUTES.,477.93,574.06,20.11
25,25,"SALT; SULPHUR; EARTHS AND STONE; PLASTERING MATERIALS, LIME AND CEMENT.",189.74,168.2,-11.36
26,26,"ORES, SLAG AND ASH.",64.72,41.31,-36.17
