S.No.,HSCode,Commodity,2019-2020,2020-2021,%Growth
1,02,MEAT AND EDIBLE MEAT OFFAL.,227.4,194.96,-14.26
2,03,"FISH AND CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTABRATES.",16.25,13.99,-13.94
3,04,"DAIRY PRODUCE; BIRDS' EGGS; NATURAL HONEY; EDIBLE PROD. OF ANIMAL ORIGIN, NOT ELSEWHERE SPEC. OR INCLUDED.",2.03,1.63,-19.84
4,05,"PRODUCTS OF ANIMAL ORIGIN, NOT ELSEWHERE SPECIFIED OR INCLUDED.",0.16,0.01,-92.38
5,06,LIVE TREES AND OTHER PLANTS; BULBS; ROOTS AND THE LIKE; CUT FLOWERS AND ORNAMENTAL FOLIAGE.,0.71,0.73,2.82
6,07,EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,12.79,18.54,44.91
7,08,EDIBLE FRUIT AND NUTS; PEEL OR CITRUS FRUIT OR MELONS.,59.2,62.27,5.2
8,09,"COFFEE, TEA, MATE AND SPICES.",300.55,243.45,-19.0
9,10,CEREALS.,2117.67,1750.54,-17.34
10,11,PRODUCTS OF THE MILLING INDUSTRY; MALT; STARCHES; INULIN; WHEAT GLUTEN.,2.16,4.71,117.9
11,12,"OIL SEEDS AND OLEA. FRUITS; MISC. GRAINS, SEEDS AND FRUIT; INDUSTRIAL OR MEDICINAL PLANTS; STRAW AND FODDER.",94.68,69.74,-26.34
12,13,"LAC; GUMS, RESINS AND OTHER VEGETABLE SAPS AND EXTRACTS.",9.43,7.53,-20.2
13,14,VEGETABLE PLAITING MATERIALS; VEGETABLE PRODUCTS NOT ELSEWHERE SPECIFIED OR INCLUDED.,0.58,0.14,-75.87
14,15,ANIMAL OR VEGETABLE FATS AND OILS AND THEIR CLEAVAGE PRODUCTS; PRE. EDIBLE FATS; ANIMAL OR VEGETABLE WAXEX.,8.9,6.85,-23.02
15,16,"PREPARATIONS OF MEAT, OF FISH OR OF CRUSTACEANS, MOLLUSCS OR OTHER AQUATIC INVERTEBRATES",1.54,2.17,40.7
16,17,SUGARS AND SUGAR CONFECTIONERY.,418.8,362.09,-13.54
17,18,COCOA AND COCOA PREPARATIONS.,2.05,1.42,-30.88
18,19,"PREPARATIONS OF CEREALS, FLOUR, STARCH OR MILK; PASTRYCOOKS PRODUCTS.",7.07,7.45,5.42
19,20,"PREPARATIONS OF VEGETABLES, FRUIT, NUTS OR OTHER PARTS OF PLANTS.",32.26,44.76,38.74
20,21,MISCELLANEOUS EDIBLE PREPARATIONS.,47.91,56.55,18.04
21,22,"BEVERAGES, SPIRITS AND VINEGAR.",5.17,17.13,231.5
22,23,RESIDUES AND WASTE FROM THE FOOD INDUSTRIES; PREPARED ANIMAL FODER.,79.82,43.17,-45.91
23,24,TOBACCO AND MANUFACTURED TOBACCO SUBSTITUTES.,28.23,32.16,13.92
24,25,"SALT; SULPHUR; EARTHS AND STONE; PLASTERING MATERIALS, LIME AND CEMENT.",13.14,7.59,-42.24
25,26,"ORES, SLAG AND ASH.",0.1,0.16,57.39
26,27,"MINERAL FUELS, MINERAL OILS AND PRODUCTS OF THEIR DISTILLATION; BITUMINOUS SUBSTANCES; MINERAL WAXES.",2438.81,846.29,-65.3
27,28,"INORGANIC CHEMICALS; ORGANIC OR INORGANIC COMPOUNDS OF PRECIOUS METALS, OF RARE-EARTH METALS, OR RADI. ELEM. OR OF ISOTOPES.",45.26,13.13,-70.99
28,29,ORGANIC CHEMICALS,531.61,451.94,-14.99
29,30,PHARMACEUTICAL PRODUCTS,290.61,367.08,26.31
30,31,FERTILISERS.,2.31,1.37,-40.5
31,32,"TANNING OR DYEING EXTRACTS; TANNINS AND THEIR DERI. DYES, PIGMENTS AND OTHER COLOURING MATTER; PAINTS AND VER; PUTTY AND OTHER MASTICS; INKS.",81.35,45.18,-44.47
32,33,"ESSENTIAL OILS AND RESINOIDS; PERFUMERY, COSMETIC OR TOILET PREPARATIONS.",188.88,59.85,-68.32
33,34,"SOAP, ORGANIC SURFACE-ACTIVE AGENTS, WASHING PREPARATIONS, LUBRICATING PREPARATIONS, ARTIFICIAL WAXES, PREPARED WAXES, POLISHING OR SCOURING PREP.",30.15,25.09,-16.78
34,35,ALBUMINOIDAL SUBSTANCES; MODIFIED STARCHES; GLUES; ENZYMES.,9.0,6.2,-31.06
35,36,EXPLOSIVES; PYROTECHNIC PRODUCTS; MATCHES; PYROPHORIC ALLOYS; CERTAIN COMBUSTIBLE PREPARATIONS.,0.71,1.79,153.21
36,37,PHOTOGRAPHIC OR CINEMATOGRAPHIC GOODS.,1.05,0.23,-78.07
37,38,MISCELLANEOUS CHEMICAL PRODUCTS.,233.61,86.98,-62.77
