S.No.,HSCode,Commodity,2019-2020,2020-2021,%Growth
1,02,MEAT AND EDIBLE MEAT OFFAL.,0.6,0.37,-37.57
2,03,"FISH AND CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTABRATES.",13.46,12.47,-7.34
3,04,"DAIRY PRODUCE; BIRDS' EGGS; NATURAL HONEY; EDIBLE PROD. OF ANIMAL ORIGIN, NOT ELSEWHERE SPEC. OR INCLUDED.",0.33,0.81,144.92
4,05,"PRODUCTS OF ANIMAL ORIGIN, NOT ELSEWHERE SPECIFIED OR INCLUDED.",0.51,0.51,-0.45
5,06,LIVE TREES AND OTHER PLANTS; BULBS; ROOTS AND THE LIKE; CUT FLOWERS AND ORNAMENTAL FOLIAGE.,0.28,0.2,-29.84
6,07,EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,5.92,6.31,6.58
7,08,EDIBLE FRUIT AND NUTS; PEEL OR CITRUS FRUIT OR MELONS.,1.68,1.14,-32.14
8,09,"COFFEE, TEA, MATE AND SPICES.",23.68,32.49,37.19
9,10,CEREALS.,78.95,115.61,46.42
10,11,PRODUCTS OF THE MILLING INDUSTRY; MALT; STARCHES; INULIN; WHEAT GLUTEN.,1.26,1.49,18.31
11,12,"OIL SEEDS AND OLEA. FRUITS; MISC. GRAINS, SEEDS AND FRUIT; INDUSTRIAL OR MEDICINAL PLANTS; STRAW AND FODDER.",6.68,5.44,-18.56
12,13,"LAC; GUMS, RESINS AND OTHER VEGETABLE SAPS AND EXTRACTS.",3.78,3.56,-5.73
13,14,VEGETABLE PLAITING MATERIALS; VEGETABLE PRODUCTS NOT ELSEWHERE SPECIFIED OR INCLUDED.,0.25,0.34,39.12
14,15,ANIMAL OR VEGETABLE FATS AND OILS AND THEIR CLEAVAGE PRODUCTS; PRE. EDIBLE FATS; ANIMAL OR VEGETABLE WAXEX.,5.1,4.91,-3.77
15,16,"PREPARATIONS OF MEAT, OF FISH OR OF CRUSTACEANS, MOLLUSCS OR OTHER AQUATIC INVERTEBRATES",2.33,1.78,-23.62
16,17,SUGARS AND SUGAR CONFECTIONERY.,8.46,2.23,-73.65
17,18,COCOA AND COCOA PREPARATIONS.,0.23,0.22,-3.84
18,19,"PREPARATIONS OF CEREALS, FLOUR, STARCH OR MILK; PASTRYCOOKS PRODUCTS.",9.72,10.4,6.97
19,20,"PREPARATIONS OF VEGETABLES, FRUIT, NUTS OR OTHER PARTS OF PLANTS.",8.73,10.03,14.8
20,21,MISCELLANEOUS EDIBLE PREPARATIONS.,8.49,10.76,26.72
21,22,"BEVERAGES, SPIRITS AND VINEGAR.",1.48,3.05,106.0
22,23,RESIDUES AND WASTE FROM THE FOOD INDUSTRIES; PREPARED ANIMAL FODER.,0.23,0.14,-41.92
23,24,TOBACCO AND MANUFACTURED TOBACCO SUBSTITUTES.,8.69,5.5,-36.72
24,25,"SALT; SULPHUR; EARTHS AND STONE; PLASTERING MATERIALS, LIME AND CEMENT.",4.31,4.21,-2.12
25,26,"ORES, SLAG AND ASH.",6.59,1.41,-78.66
26,27,"MINERAL FUELS, MINERAL OILS AND PRODUCTS OF THEIR DISTILLATION; BITUMINOUS SUBSTANCES; MINERAL WAXES.",613.78,401.35,-34.61
27,28,"INORGANIC CHEMICALS; ORGANIC OR INORGANIC COMPOUNDS OF PRECIOUS METALS, OF RARE-EARTH METALS, OR RADI. ELEM. OR OF ISOTOPES.",28.75,34.59,20.31
28,29,ORGANIC CHEMICALS,104.28,150.43,44.26
29,30,PHARMACEUTICAL PRODUCTS,658.16,848.64,28.94
30,31,FERTILISERS.,0.13,0.07,-45.22
31,32,"TANNING OR DYEING EXTRACTS; TANNINS AND THEIR DERI. DYES, PIGMENTS AND OTHER COLOURING MATTER; PAINTS AND VER; PUTTY AND OTHER MASTICS; INKS.",48.66,40.66,-16.45
32,33,"ESSENTIAL OILS AND RESINOIDS; PERFUMERY, COSMETIC OR TOILET PREPARATIONS.",56.81,51.5,-9.34
33,34,"SOAP, ORGANIC SURFACE-ACTIVE AGENTS, WASHING PREPARATIONS, LUBRICATING PREPARATIONS, ARTIFICIAL WAXES, PREPARED WAXES, POLISHING OR SCOURING PREP.",7.33,11.47,56.46
34,35,ALBUMINOIDAL SUBSTANCES; MODIFIED STARCHES; GLUES; ENZYMES.,0.75,0.7,-5.78
35,36,EXPLOSIVES; PYROTECHNIC PRODUCTS; MATCHES; PYROPHORIC ALLOYS; CERTAIN COMBUSTIBLE PREPARATIONS.,5.38,12.38,130.05
36,37,PHOTOGRAPHIC OR CINEMATOGRAPHIC GOODS.,0.16,0.13,-15.58
37,38,MISCELLANEOUS CHEMICAL PRODUCTS.,83.24,65.92,-20.81
38,39,PLASTIC AND ARTICLES THEREOF.,111.61,89.33,-19.96
39,40,RUBBER AND ARTICLES THEREOF.,44.23,43.53,-1.6
40,41,RAW HIDES AND SKINS (OTHER THAN FURSKINS) AND LEATHER,5.71,5.44,-4.64
