S.No.,HSCode,Commodity,2020-2021,2021-2022,%Growth
1,02,MEAT AND EDIBLE MEAT OFFAL.,6.82,15.45,126.65
2,03,"FISH AND CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTABRATES.",0.35,0.41,16.95
3,04,"DAIRY PRODUCE; BIRDS' EGGS; NATURAL HONEY; EDIBLE PROD. OF ANIMAL ORIGIN, NOT ELSEWHERE SPEC. OR INCLUDED.",0.01,0.01,-13.61
4,05,"PRODUCTS OF ANIMAL ORIGIN, NOT ELSEWHERE SPECIFIED OR INCLUDED.",0.0,0.0
5,06,LIVE TREES AND OTHER PLANTS; BULBS; ROOTS AND THE LIKE; CUT FLOWERS AND ORNAMENTAL FOLIAGE.,0.0,0.01
6,07,EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,0.74,0.71,-3.16
7,08,EDIBLE FRUIT AND NUTS; PEEL OR CITRUS FRUIT OR MELONS.,0.0,5.27,366490.98
8,09,"COFFEE, TEA, MATE AND SPICES.",32.73,22.15,-32.31
9,10,CEREALS.,1.02,0.3,-70.63
10,11,PRODUCTS OF THE MILLING INDUSTRY; MALT; STARCHES; INULIN; WHEAT GLUTEN.,0.01,0.01,6.96
11,12,"OIL SEEDS AND OLEA. FRUITS; MISC. GRAINS, SEEDS AND FRUIT; INDUSTRIAL OR MEDICINAL PLANTS; STRAW AND FODDER.",0.45,0.65,45.45
12,13,"LAC; GUMS, RESINS AND OTHER VEGETABLE SAPS AND EXTRACTS.",0.47,0.61,31.16
13,14,VEGETABLE PLAITING MATERIALS; VEGETABLE PRODUCTS NOT ELSEWHERE SPECIFIED OR INCLUDED.,0.03,0.07,168.3
14,15,ANIMAL OR VEGETABLE FATS AND OILS AND THEIR CLEAVAGE PRODUCTS; PRE. EDIBLE FATS; ANIMAL OR VEGETABLE WAXEX.,0.14,0.2,40.15
15,16,"PREPARATIONS OF MEAT, OF FISH OR OF CRUSTACEANS, MOLLUSCS OR OTHER AQUATIC INVERTEBRATES",0.0,0.0
16,17,SUGARS AND SUGAR CONFECTIONERY.,2.16,15.44,613.3
17,18,COCOA AND COCOA PREPARATIONS.,0.0,0.0,-51.74
18,19,"PREPARATIONS OF CEREALS, FLOUR, STARCH OR MILK; PASTRYCOOKS PRODUCTS.",0.0,0.01,69.32
19,20,"PREPARATIONS OF VEGETABLES, FRUIT, NUTS OR OTHER PARTS OF PLANTS.",0.63,0.19,-70.5
20,21,MISCELLANEOUS EDIBLE PREPARATIONS.,5.58,6.98,25.05
21,22,"BEVERAGES, SPIRITS AND VINEGAR.",0.03,0.0,-99.59
22,23,RESIDUES AND WASTE FROM THE FOOD INDUSTRIES; PREPARED ANIMAL FODER.,0.08,0.16,89.23
23,24,TOBACCO AND MANUFACTURED TOBACCO SUBSTITUTES.,1.64,1.95,18.68
24,25,"SALT; SULPHUR; EARTHS AND STONE; PLASTERING MATERIALS, LIME AND CEMENT.",0.34,0.47,36.81
25,27,"MINERAL FUELS, MINERAL OILS AND PRODUCTS OF THEIR DISTILLATION; BITUMINOUS SUBSTANCES; MINERAL WAXES.",1.76,2.12,20.51
26,28,"INORGANIC CHEMICALS; ORGANIC OR INORGANIC COMPOUNDS OF PRECIOUS METALS, OF RARE-EARTH METALS, OR RADI. ELEM. OR OF ISOTOPES.",0.86,0.76,-11.96
27,29,ORGANIC CHEMICALS,9.77,8.41,-13.92
28,30,PHARMACEUTICAL PRODUCTS,337.07,264.45,-21.55
29,31,FERTILISERS.,0.02,0.02,2.03
30,32,"TANNING OR DYEING EXTRACTS; TANNINS AND THEIR DERI. DYES, PIGMENTS AND OTHER COLOURING MATTER; PAINTS AND VER; PUTTY AND OTHER MASTICS; INKS.",8.28,11.1,34.01
31,33,"ESSENTIAL OILS AND RESINOIDS; PERFUMERY, COSMETIC OR TOILET PREPARATIONS.",3.96,4.51,13.78
32,34,"SOAP, ORGANIC SURFACE-ACTIVE AGENTS, WASHING PREPARATIONS, LUBRICATING PREPARATIONS, ARTIFICIAL WAXES, PREPARED WAXES, POLISHING OR SCOURING PREP.",0.13,0.26,105.17
33,35,ALBUMINOIDAL SUBSTANCES; MODIFIED STARCHES; GLUES; ENZYMES.,0.13,0.11,-13.41
34,36,EXPLOSIVES; PYROTECHNIC PRODUCTS; MATCHES; PYROPHORIC ALLOYS; CERTAIN COMBUSTIBLE PREPARATIONS.,1.29,0.12,-90.71
35,37,PHOTOGRAPHIC OR CINEMATOGRAPHIC GOODS.,0.0,0.0
36,38,MISCELLANEOUS CHEMICAL PRODUCTS.,6.51,4.67,-28.29
37,39,PLASTIC AND ARTICLES THEREOF.,1.97,2.2,11.79
38,40,RUBBER AND ARTICLES THEREOF.,5.93,6.67,12.39
39,41,RAW HIDES AND SKINS (OTHER THAN FURSKINS) AND LEATHER,0.0,0.0,14.98
40,42,"ARTICLES OF LEATHER,SADDLERY AND HARNESS;TRAVEL GOODS, HANDBAGS AND SIMILAR CONT.ARTICLES OF ANIMAL GUT(OTHR THN SILK-WRM)GUT.",1.08,1.12,4.13
41,44,WOOD AND ARTICLES OF WOOD; WOOD CHARCOAL.,0.2,0.19,-5.98
42,45,CORK AND ARTICLES OF CORK.,0.0,0.0,6.5
43,46,"MANUFACTURES OF STRAW, OF ESPARTO OR OF OTHER PLAITING MATERIALS; BASKETWARE AND WICKERWORK.",0.0,0.0
44,48,"PAPER AND PAPERBOARD; ARTICLES OF PAPER PULP, OF PAPER OR OF PAPERBOARD.",0.48,0.77,59.12
45,49,"PRINTED BOOKDS, NEWSPAPERS, PICTURES AND OTHER PRODUCTS OF THE PRINTING INDUSTRY; MANUSCRIPTS, TYPESCRIPTS AND PLANS.",0.04,0.11,144.57
46,50,SILK,0.0,0.01
47,51,"WOOL, FINE OR COARSE ANIMAL HAIR, HORSEHAIR YARN AND WOVEN FABRIC.",0.0,0.0
48,52,COTTON.,0.24,0.38,57.21
49,53,OTHER VEGETABLE TEXTILE FIBRES; PAPER YARN AND WOVEN FABRICS OF PAPER YARN.,0.21,0.06,-72.64
50,54,MAN-MADE FILAMENTS.,0.54,3.71,582.91
51,55,MAN-MADE STAPLE FIBRES.,0.54,2.04,278.17
52,56,"WADDING, FELT AND NONWOVENS; SPACIAL YARNS; TWINE, CORDAGE, ROPES AND CABLES AND ARTICLES THEREOF.",0.08,0.06,-20.28
53,57,CARPETS AND OTHER TEXTILE FLOOR COVERINGS.,0.2,1.39,612.26
54,58,SPECIAL WOVEN FABRICS; TUFTED TEXTILE FABRICS; LACE; TAPESTRIES; TRIMMINGS; EMBROIDERY.,0.47,0.2,-56.37
55,59,"IMPREGNATED, COATED, COVERED OR LAMINATED TEXTILE FABRICS; TEXTILE ARTICLES OF A KIND SUITABLE FOR INDUSTRIAL USE.",1.33,0.2,-84.74
56,60,KNITTED OR CROCHETED FABRICS.,0.01,0.05,295.25
57,61,"ARTICLES OF APPAREL AND CLOTHING ACCESSORIES, KNITTED OR CORCHETED.",5.52,2.81,-49.2
58,62,"ARTICLES OF APPAREL AND CLOTHING ACCESSORIES, NOT KNITTED OR CROCHETED.",13.95,20.66,48.13
59,63,OTHER MADE UP TEXTILE ARTICLES; SETS; WORN CLOTHING AND WORN TEXTILE ARTICLES; RAGS,0.18,0.04,-76.58
60,64,"FOOTWEAR, GAITERS AND THE LIKE; PARTS OF SUCH ARTICLES.",0.3,0.19,-35.99
61,65,HEADGEAR AND PARTS THEREOF.,0.0,0.01,87.72
62,67,PREPARED FEATHERS AND DOWN AND ARTICLES MADE OF FEATHERS OR OF DOWN; ARTIFICIAL FLOWERS; ARTICLES OF HUMAN HAIR.,0.0,0.0
63,68,"ARTICLES OF STONE, PLASTER, CEMENT, ASBESTOS, MICA OR SIMILAR MATERIALS.",1.93,2.81,45.87
64,69,CERAMIC PRODUCTS.,4.58,8.74,90.8
65,70,GLASS AND GLASSWARE.,1.25,0.36,-70.72
66,71,"NATURAL OR CULTURED PEARLS,PRECIOUS OR SEMIPRECIOUS STONES,PRE.METALS,CLAD WITH PRE.METAL AND ARTCLS THEREOF;IMIT.JEWLRY;COIN.",0.07,0.27,267.29
67,72,IRON AND STEEL,0.61,0.84,36.55
68,73,ARTICLES OF IRON OR STEEL,28.65,5.69,-80.15
69,74,COPPER AND ARTICLES THEREOF.,0.15,0.23,53.31
70,75,NICKEL AND ARTICLES THEREOF.,0.0,0.07,1456.41
71,76,ALUMINIUM AND ARTICLES THEREOF.,9.09,9.57,5.33
72,78,LEAD AND ARTICLES THEREOF.,0.0,0.0,736.9
73,79,ZINC AND ARTICLES THEREOF.,0.0,0.0,-83.47
74,80,TIN AND ARTICLES THEREOF.,0.0,0.0
75,81,OTHER BASE METALS; CERMETS; ARTICLES THEREOF.,0.0,0.0
76,82,"TOOLS IMPLEMENTS, CUTLERY, SPOONS AND FORKS, OF BASE METAL; PARTS THEREOF OF BASE METAL.",1.09,1.58,44.19
77,83,MISCELLANEOUS ARTICLES OF BASE METAL.,0.05,0.33,591.09
78,84,"NUCLEAR REACTORS, BOILERS, MACHINERY AND MECHANICAL APPLIANCES; PARTS THEREOF.",72.32,76.97,6.44
79,85,"ELECTRICAL MACHINERY AND EQUIPMENT AND PARTS THEREOF; SOUND RECORDERS AND REPRODUCERS, TELEVISION IMAGE AND SOUND RECORDERS AND REPRODUCERS,AND PARTS.",55.76,131.11,135.12
80,86,"RAILWAY OR TRAMWAY LOCOMOTIVES, ROLLING-STOCK AND PARTS THEREOF; RAILWAY OR TRAMWAY TRACK FIXTURES AND FITTINGS AND PARTS THEREOF; MECHANICAL",0.0,0.06,1233.08
81,87,"VEHICLES OTHER THAN RAILWAY OR TRAMWAY ROLLING STOCK, AND PARTS AND ACCESSORIES THEREOF.",6.54,7.86,20.3
82,88,"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF.",1.84,0.0
83,89,"SHIPS, BOATS AND FLOATING STRUCTURES.",4.9,1.74,-64.53
84,90,"OPTICAL, PHOTOGRAPHIC CINEMATOGRAPHIC MEASURING, CHECKING PRECISION, MEDICAL OR SURGICAL INST. AND APPARATUS PARTS AND ACCESSORIES THEREOF;",11.52,15.58,35.32
85,91,CLOCKS AND WATCHES AND PARTS THEREOF.,0.0,0.0,98.57
86,92,MUSICAL INSTRUMENTS; PARTS AND ACCESSORIES OF SUCH ARTICLES.,0.0,0.0,-14.74
87,94,"FURNITURE; BEDDING, MATTRESSES, MATTRESS SUPPORTS, CUSHIONS AND SIMILAR STUFFED FURNISHING; LAMPS AND LIGHTING FITTINGS NOT ELSEWHERE SPECIFIED OR INC",0.12,2.29,1841.13
88,95,"TOYS, GAMES AND SPORTS REQUISITES; PARTS AND ACCESSORIES THEREOF.",0.04,0.03,-31.61
89,96,MISCELLANEOUS MANUFACTURED ARTICLES.,1.71,2.24,31.47
90,97,WORKS OF ART COLLECTORS' PIECES AND ANTIQUES.,0.0,0.0,125.69
91,98,PROJECT GOODS; SOME SPECIAL USES.,0.0,0.0,8.66
92,99,MISCELLANEOUS GOODS.,0.0,0.0,219.25
,,Total,658.52,678.83,3.08
