S.No.,HSCode,Commodity,2020-2021,2021-2022,%Growth
1,02,MEAT AND EDIBLE MEAT OFFAL.,410.29,756.4,84.36
2,03,"FISH AND CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTABRATES.",32.65,28.75,-11.95
3,04,"DAIRY PRODUCE; BIRDS' EGGS; NATURAL HONEY; EDIBLE PROD. OF ANIMAL ORIGIN, NOT ELSEWHERE SPEC. OR INCLUDED.",5.01,22.84,356.17
4,05,"PRODUCTS OF ANIMAL ORIGIN, NOT ELSEWHERE SPECIFIED OR INCLUDED.",0.04,0.02,-36.63
5,06,LIVE TREES AND OTHER PLANTS; BULBS; ROOTS AND THE LIKE; CUT FLOWERS AND ORNAMENTAL FOLIAGE.,0.05,0.08,43.08
6,07,EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,38.04,10.05,-73.57
7,08,EDIBLE FRUIT AND NUTS; PEEL OR CITRUS FRUIT OR MELONS.,10.92,11.93,9.29
8,09,"COFFEE, TEA, MATE AND SPICES.",130.88,169.29,29.35
9,10,CEREALS.,126.45,149.89,18.54
10,11,PRODUCTS OF THE MILLING INDUSTRY; MALT; STARCHES; INULIN; WHEAT GLUTEN.,1.22,1.31,7.82
11,12,"OIL SEEDS AND OLEA. FRUITS; MISC. GRAINS, SEEDS AND FRUIT; INDUSTRIAL OR MEDICINAL PLANTS; STRAW AND FODDER.",29.75,20.47,-31.19
12,13,"LAC; GUMS, RESINS AND OTHER VEGETABLE SAPS AND EXTRACTS.",5.16,7.15,38.72
13,14,VEGETABLE PLAITING MATERIALS; VEGETABLE PRODUCTS NOT ELSEWHERE SPECIFIED OR INCLUDED.,0.92,0.52,-43.36
14,15,ANIMAL OR VEGETABLE FATS AND OILS AND THEIR CLEAVAGE PRODUCTS; PRE. EDIBLE FATS; ANIMAL OR VEGETABLE WAXEX.,5.66,7.05,24.73
15,16,"PREPARATIONS OF MEAT, OF FISH OR OF CRUSTACEANS, MOLLUSCS OR OTHER AQUATIC INVERTEBRATES",0.46,0.26,-43.95
16,17,SUGARS AND SUGAR CONFECTIONERY.,392.57,581.57,48.14
17,18,COCOA AND COCOA PREPARATIONS.,3.54,3.63,2.68
18,19,"PREPARATIONS OF CEREALS, FLOUR, STARCH OR MILK; PASTRYCOOKS PRODUCTS.",3.69,4.12,11.53
19,20,"PREPARATIONS OF VEGETABLES, FRUIT, NUTS OR OTHER PARTS OF PLANTS.",9.54,6.44,-32.51
20,21,MISCELLANEOUS EDIBLE PREPARATIONS.,9.81,12.05,22.79
21,22,"BEVERAGES, SPIRITS AND VINEGAR.",0.53,0.84,59.12
22,23,RESIDUES AND WASTE FROM THE FOOD INDUSTRIES; PREPARED ANIMAL FODER.,2.69,2.13,-20.9
23,24,TOBACCO AND MANUFACTURED TOBACCO SUBSTITUTES.,36.84,43.01,16.76
24,25,"SALT; SULPHUR; EARTHS AND STONE; PLASTERING MATERIALS, LIME AND CEMENT.",25.84,28.27,9.39
25,26,"ORES, SLAG AND ASH.",9.0,2.95,-67.21
26,27,"MINERAL FUELS, MINERAL OILS AND PRODUCTS OF THEIR DISTILLATION; BITUMINOUS SUBSTANCES; MINERAL WAXES.",118.21,159.51,34.94
27,28,"INORGANIC CHEMICALS; ORGANIC OR INORGANIC COMPOUNDS OF PRECIOUS METALS, OF RARE-EARTH METALS, OR RADI. ELEM. OR OF ISOTOPES.",30.8,86.54,180.97
28,29,ORGANIC CHEMICALS,365.48,449.33,22.94
29,30,PHARMACEUTICAL PRODUCTS,232.25,250.52,7.87
30,31,FERTILISERS.,0.88,0.19,-78.96
31,32,"TANNING OR DYEING EXTRACTS; TANNINS AND THEIR DERI. DYES, PIGMENTS AND OTHER COLOURING MATTER; PAINTS AND VER; PUTTY AND OTHER MASTICS; INKS.",67.76,74.62,10.12
32,33,"ESSENTIAL OILS AND RESINOIDS; PERFUMERY, COSMETIC OR TOILET PREPARATIONS.",41.07,42.74,4.07
33,34,"SOAP, ORGANIC SURFACE-ACTIVE AGENTS, WASHING PREPARATIONS, LUBRICATING PREPARATIONS, ARTIFICIAL WAXES, PREPARED WAXES, POLISHING OR SCOURING PREP.",16.64,19.84,19.2
34,35,ALBUMINOIDAL SUBSTANCES; MODIFIED STARCHES; GLUES; ENZYMES.,2.91,4.55,56.24
35,36,EXPLOSIVES; PYROTECHNIC PRODUCTS; MATCHES; PYROPHORIC ALLOYS; CERTAIN COMBUSTIBLE PREPARATIONS.,5.35,6.06,13.37
36,37,PHOTOGRAPHIC OR CINEMATOGRAPHIC GOODS.,0.33,0.41,24.14
37,38,MISCELLANEOUS CHEMICAL PRODUCTS.,103.39,122.12,18.11
38,39,PLASTIC AND ARTICLES THEREOF.,172.56,347.91,101.62
39,40,RUBBER AND ARTICLES THEREOF.,68.29,86.22,26.25
40,41,RAW HIDES AND SKINS (OTHER THAN FURSKINS) AND LEATHER,2.3,1.73,-24.91
41,42,"ARTICLES OF LEATHER,SADDLERY AND HARNESS;TRAVEL GOODS, HANDBAGS AND SIMILAR CONT.ARTICLES OF ANIMAL GUT(OTHR THN SILK-WRM)GUT.",2.02,1.81,-10.3
42,43,"FURSKINS AND ARTIFICIAL FUR, MANUFACTURES THEREOF.",0.06,0.01,-83.12
43,44,WOOD AND ARTICLES OF WOOD; WOOD CHARCOAL.,2.06,3.34,62.71
44,45,CORK AND ARTICLES OF CORK.,0.11,0.04,-59.37
