S.No.,HSCode,Commodity,2020-2021,2021-2022,%Growth
1,01,LIVE ANIMALS.,0.0,0.0
2,02,MEAT AND EDIBLE MEAT OFFAL.,0.31,0.4,28.27
3,03,"FISH AND CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTABRATES.",114.31,153.12,33.94
4,04,"DAIRY PRODUCE; BIRDS' EGGS; NATURAL HONEY; EDIBLE PROD. OF ANIMAL ORIGIN, NOT ELSEWHERE SPEC. OR INCLUDED.",1.36,1.43,5.13
5,05,"PRODUCTS OF ANIMAL ORIGIN, NOT ELSEWHERE SPECIFIED OR INCLUDED.",0.1,0.47,384.18
6,06,LIVE TREES AND OTHER PLANTS; BULBS; ROOTS AND THE LIKE; CUT FLOWERS AND ORNAMENTAL FOLIAGE.,4.6,5.4,17.45
7,07,EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,65.9,58.08,-11.86
8,08,EDIBLE FRUIT AND NUTS; PEEL OR CITRUS FRUIT OR MELONS.,62.1,59.02,-4.96
9,09,"COFFEE, TEA, MATE AND SPICES.",151.48,167.83,10.79
10,10,CEREALS.,210.11,150.71,-28.27
11,11,PRODUCTS OF THE MILLING INDUSTRY; MALT; STARCHES; INULIN; WHEAT GLUTEN.,22.75,23.58,3.66
12,12,"OIL SEEDS AND OLEA. FRUITS; MISC. GRAINS, SEEDS AND FRUIT; INDUSTRIAL OR MEDICINAL PLANTS; STRAW AND FODDER.",36.33,37.41,2.97
13,13,"LAC; GUMS, RESINS AND OTHER VEGETABLE SAPS AND EXTRACTS.",18.78,22.6,20.38
14,14,VEGETABLE PLAITING MATERIALS; VEGETABLE PRODUCTS NOT ELSEWHERE SPECIFIED OR INCLUDED.,1.49,2.47,65.44
15,15,ANIMAL OR VEGETABLE FATS AND OILS AND THEIR CLEAVAGE PRODUCTS; PRE. EDIBLE FATS; ANIMAL OR VEGETABLE WAXEX.,33.07,37.39,13.06
16,16,"PREPARATIONS OF MEAT, OF FISH OR OF CRUSTACEANS, MOLLUSCS OR OTHER AQUATIC INVERTEBRATES",9.26,7.93,-14.33
17,17,SUGARS AND SUGAR CONFECTIONERY.,43.63,38.85,-10.96
18,18,COCOA AND COCOA PREPARATIONS.,14.93,13.29,-11.01
19,19,"PREPARATIONS OF CEREALS, FLOUR, STARCH OR MILK; PASTRYCOOKS PRODUCTS.",36.02,36.7,1.89
20,20,"PREPARATIONS OF VEGETABLES, FRUIT, NUTS OR OTHER PARTS OF PLANTS.",54.23,55.77,2.84
21,21,MISCELLANEOUS EDIBLE PREPARATIONS.,53.31,69.28,29.95
22,22,"BEVERAGES, SPIRITS AND VINEGAR.",8.18,2.5,-69.42
23,23,RESIDUES AND WASTE FROM THE FOOD INDUSTRIES; PREPARED ANIMAL FODER.,58.85,33.35,-43.34
24,24,TOBACCO AND MANUFACTURED TOBACCO SUBSTITUTES.,16.08,8.39,-47.86
25,25,"SALT; SULPHUR; EARTHS AND STONE; PLASTERING MATERIALS, LIME AND CEMENT.",133.01,128.42,-3.46
26,26,"ORES, SLAG AND ASH.",1.35,10.73,694.22
27,27,"MINERAL FUELS, MINERAL OILS AND PRODUCTS OF THEIR DISTILLATION; BITUMINOUS SUBSTANCES; MINERAL WAXES.",410.03,2363.41,476.4
28,28,"INORGANIC CHEMICALS; ORGANIC OR INORGANIC COMPOUNDS OF PRECIOUS METALS, OF RARE-EARTH METALS, OR RADI. ELEM. OR OF ISOTOPES.",60.04,87.91,46.4
29,29,ORGANIC CHEMICALS,756.7,813.67,7.53
30,30,PHARMACEUTICAL PRODUCTS,727.71,760.95,4.57
31,31,FERTILISERS.,0.75,1.35,80.97
32,32,"TANNING OR DYEING EXTRACTS; TANNINS AND THEIR DERI. DYES, PIGMENTS AND OTHER COLOURING MATTER; PAINTS AND VER; PUTTY AND OTHER MASTICS; INKS.",254.37,332.83,30.84
