S.No.,HSCode,Commodity,2021-2022,2022-2023,%Growth
1,01,LIVE ANIMALS.,0.09,0.04,-60.11
2,02,MEAT AND EDIBLE MEAT OFFAL.,11.13,8.71,-21.72
3,03,"FISH AND CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTABRATES.",0.02,0.0
4,04,"DAIRY PRODUCE; BIRDS' EGGS; NATURAL HONEY; EDIBLE PROD. OF ANIMAL ORIGIN, NOT ELSEWHERE SPEC. OR INCLUDED.",0.22,0.28,29.67
5,05,"PRODUCTS OF ANIMAL ORIGIN, NOT ELSEWHERE SPECIFIED OR INCLUDED.",0.01,0.01,-25.68
6,06,LIVE TREES AND OTHER PLANTS; BULBS; ROOTS AND THE LIKE; CUT FLOWERS AND ORNAMENTAL FOLIAGE.,0.05,0.01,-77.55
7,07,EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,0.21,0.49,127.9
8,08,EDIBLE FRUIT AND NUTS; PEEL OR CITRUS FRUIT OR MELONS.,0.27,0.48,80.81
9,09,"COFFEE, TEA, MATE AND SPICES.",0.63,0.51,-19.24
10,10,CEREALS.,29.84,41.0,37.39
11,11,PRODUCTS OF THE MILLING INDUSTRY; MALT; STARCHES; INULIN; WHEAT GLUTEN.,0.7,0.97,39.07
12,12,"OIL SEEDS AND OLEA. FRUITS; MISC. GRAINS, SEEDS AND FRUIT; INDUSTRIAL OR MEDICINAL PLANTS; STRAW AND FODDER.",1.45,1.12,-22.34
13,13,"LAC; GUMS, RESINS AND OTHER VEGETABLE SAPS AND EXTRACTS.",0.11,0.1,-9.44
14,14,VEGETABLE PLAITING MATERIALS; VEGETABLE PRODUCTS NOT ELSEWHERE SPECIFIED OR INCLUDED.,0.01,0.0,-66.54
15,15,ANIMAL OR VEGETABLE FATS AND OILS AND THEIR CLEAVAGE PRODUCTS; PRE. EDIBLE FATS; ANIMAL OR VEGETABLE WAXEX.,0.23,0.61,166.55
16,16,"PREPARATIONS OF MEAT, OF FISH OR OF CRUSTACEANS, MOLLUSCS OR OTHER AQUATIC INVERTEBRATES",0.95,0.59,-38.43
17,17,SUGARS AND SUGAR CONFECTIONERY.,18.98,35.74,88.31
18,18,COCOA AND COCOA PREPARATIONS.,0.13,0.29,132.77
19,19,"PREPARATIONS OF CEREALS, FLOUR, STARCH OR MILK; PASTRYCOOKS PRODUCTS.",21.45,36.01,67.88
20,20,"PREPARATIONS OF VEGETABLES, FRUIT, NUTS OR OTHER PARTS OF PLANTS.",0.64,0.35,-45.5
21,21,MISCELLANEOUS EDIBLE PREPARATIONS.,3.06,3.79,23.79
22,22,"BEVERAGES, SPIRITS AND VINEGAR.",18.62,31.67,70.07
23,23,RESIDUES AND WASTE FROM THE FOOD INDUSTRIES; PREPARED ANIMAL FODER.,0.78,0.62,-19.84
24,24,TOBACCO AND MANUFACTURED TOBACCO SUBSTITUTES.,0.73,1.01,39.18
25,25,"SALT; SULPHUR; EARTHS AND STONE; PLASTERING MATERIALS, LIME AND CEMENT.",2.06,1.17,-42.97
26,26,"ORES, SLAG AND ASH.",0.12,0.0,-99.9
27,27,"MINERAL FUELS, MINERAL OILS AND PRODUCTS OF THEIR DISTILLATION; BITUMINOUS SUBSTANCES; MINERAL WAXES.",15.22,13.14,-13.7
28,28,"INORGANIC CHEMICALS; ORGANIC OR INORGANIC COMPOUNDS OF PRECIOUS METALS, OF RARE-EARTH METALS, OR RADI. ELEM. OR OF ISOTOPES.",9.88,8.62,-12.77
29,29,ORGANIC CHEMICALS,47.1,36.75,-21.98
30,30,PHARMACEUTICAL PRODUCTS,512.67,427.06,-16.7
31,31,FERTILISERS.,1.03,0.15,-84.99
32,32,"TANNING OR DYEING EXTRACTS; TANNINS AND THEIR DERI. DYES, PIGMENTS AND OTHER COLOURING MATTER; PAINTS AND VER; PUTTY AND OTHER MASTICS; INKS.",9.75,7.37,-24.46
33,33,"ESSENTIAL OILS AND RESINOIDS; PERFUMERY, COSMETIC OR TOILET PREPARATIONS.",10.11,12.71,25.66
34,34,"SOAP, ORGANIC SURFACE-ACTIVE AGENTS, WASHING PREPARATIONS, LUBRICATING PREPARATIONS, ARTIFICIAL WAXES, PREPARED WAXES, POLISHING OR SCOURING PREP.",7.16,9.2,28.49
35,35,ALBUMINOIDAL SUBSTANCES; MODIFIED STARCHES; GLUES; ENZYMES.,1.05,1.14,8.63
36,36,EXPLOSIVES; PYROTECHNIC PRODUCTS; MATCHES; PYROPHORIC ALLOYS; CERTAIN COMBUSTIBLE PREPARATIONS.,1.81,1.01,-44.17
37,37,PHOTOGRAPHIC OR CINEMATOGRAPHIC GOODS.,0.17,0.24,39.21
38,38,MISCELLANEOUS CHEMICAL PRODUCTS.,48.09,45.7,-4.96
39,39,PLASTIC AND ARTICLES THEREOF.,58.32,44.05,-24.47
40,40,RUBBER AND ARTICLES THEREOF.,39.89,23.93,-40.02
41,41,RAW HIDES AND SKINS (OTHER THAN FURSKINS) AND LEATHER,0.09,0.04,-59.55
42,42,"ARTICLES OF LEATHER,SADDLERY AND HARNESS;TRAVEL GOODS, HANDBAGS AND SIMILAR CONT.ARTICLES OF ANIMAL GUT(OTHR THN SILK-WRM)GUT.",0.41,0.48,15.8
43,43,"FURSKINS AND ARTIFICIAL FUR, MANUFACTURES THEREOF.",0.01,0.01,-19.59
44,44,WOOD AND ARTICLES OF WOOD; WOOD CHARCOAL.,1.18,0.77,-34.72
45,45,CORK AND ARTICLES OF CORK.,0.01,0.01,53.21
46,46,"MANUFACTURES OF STRAW, OF ESPARTO OR OF OTHER PLAITING MATERIALS; BASKETWARE AND WICKERWORK.",0.27,0.18,-32.57
47,48,"PAPER AND PAPERBOARD; ARTICLES OF PAPER PULP, OF PAPER OR OF PAPERBOARD.",26.53,27.83,4.89
48,49,"PRINTED BOOKDS, NEWSPAPERS, PICTURES AND OTHER PRODUCTS OF THE PRINTING INDUSTRY; MANUSCRIPTS, TYPESCRIPTS AND PLANS.",14.27,8.2,-42.56
49,50,SILK,0.0,0.0
50,51,"WOOL, FINE OR COARSE ANIMAL HAIR, HORSEHAIR YARN AND WOVEN FABRIC.",0.01,0.01,11.1
51,52,COTTON.,2.54,3.61,42.21
52,53,OTHER VEGETABLE TEXTILE FIBRES; PAPER YARN AND WOVEN FABRICS OF PAPER YARN.,0.61,0.37,-39.42
53,54,MAN-MADE FILAMENTS.,3.67,3.17,-13.61
54,55,MAN-MADE STAPLE FIBRES.,2.6,3.03,16.68
55,56,"WADDING, FELT AND NONWOVENS; SPACIAL YARNS; TWINE, CORDAGE, ROPES AND CABLES AND ARTICLES THEREOF.",0.68,0.72,6.0
56,57,CARPETS AND OTHER TEXTILE FLOOR COVERINGS.,0.13,0.13,-2.38
57,58,SPECIAL WOVEN FABRICS; TUFTED TEXTILE FABRICS; LACE; TAPESTRIES; TRIMMINGS; EMBROIDERY.,1.07,0.85,-20.79
58,59,"IMPREGNATED, COATED, COVERED OR LAMINATED TEXTILE FABRICS; TEXTILE ARTICLES OF A KIND SUITABLE FOR INDUSTRIAL USE.",0.9,0.67,-26.19
59,60,KNITTED OR CROCHETED FABRICS.,0.75,0.32,-58.03
60,61,"ARTICLES OF APPAREL AND CLOTHING ACCESSORIES, KNITTED OR CORCHETED.",37.05,33.53,-9.51
61,62,"ARTICLES OF APPAREL AND CLOTHING ACCESSORIES, NOT KNITTED OR CROCHETED.",4.87,4.39,-9.9
62,63,OTHER MADE UP TEXTILE ARTICLES; SETS; WORN CLOTHING AND WORN TEXTILE ARTICLES; RAGS,55.63,90.29,62.29
63,64,"FOOTWEAR, GAITERS AND THE LIKE; PARTS OF SUCH ARTICLES.",5.5,5.44,-1.14
64,65,HEADGEAR AND PARTS THEREOF.,0.96,0.69,-28.08
65,66,"UMBRELLAS, SUN UMBRELLAS, WALKING-STICKS, SEAT-STICKS, WHIPS,RIDING-CROPS AND PARTS THEREOF.",0.11,0.08,-23.48
66,67,PREPARED FEATHERS AND DOWN AND ARTICLES MADE OF FEATHERS OR OF DOWN; ARTIFICIAL FLOWERS; ARTICLES OF HUMAN HAIR.,0.03,0.15,420.51
67,68,"ARTICLES OF STONE, PLASTER, CEMENT, ASBESTOS, MICA OR SIMILAR MATERIALS.",2.61,2.12,-18.74
68,69,CERAMIC PRODUCTS.,8.49,12.99,52.94
69,70,GLASS AND GLASSWARE.,7.94,8.0,0.69
70,71,"NATURAL OR CULTURED PEARLS,PRECIOUS OR SEMIPRECIOUS STONES,PRE.METALS,CLAD WITH PRE.METAL AND ARTCLS THEREOF;IMIT.JEWLRY;COIN.",0.14,0.41,188.78
71,72,IRON AND STEEL,9.75,5.56,-43.02
72,73,ARTICLES OF IRON OR STEEL,34.16,36.49,6.82
73,74,COPPER AND ARTICLES THEREOF.,1.96,1.0,-49.04
74,75,NICKEL AND ARTICLES THEREOF.,0.17,0.19,10.56
75,76,ALUMINIUM AND ARTICLES THEREOF.,6.58,7.24,9.9
76,78,LEAD AND ARTICLES THEREOF.,0.0,0.0,123.19
77,79,ZINC AND ARTICLES THEREOF.,0.07,0.01,-92.86
78,80,TIN AND ARTICLES THEREOF.,0.27,0.14,-47.03
79,81,OTHER BASE METALS; CERMETS; ARTICLES THEREOF.,0.02,0.03,31.69
80,82,"TOOLS IMPLEMENTS, CUTLERY, SPOONS AND FORKS, OF BASE METAL; PARTS THEREOF OF BASE METAL.",3.71,4.04,9.03
81,83,MISCELLANEOUS ARTICLES OF BASE METAL.,5.27,4.22,-19.89
82,84,"NUCLEAR REACTORS, BOILERS, MACHINERY AND MECHANICAL APPLIANCES; PARTS THEREOF.",161.63,121.36,-24.92
83,85,"ELECTRICAL MACHINERY AND EQUIPMENT AND PARTS THEREOF; SOUND RECORDERS AND REPRODUCERS, TELEVISION IMAGE AND SOUND RECORDERS AND REPRODUCERS,AND PARTS.",66.82,53.42,-20.06
84,86,"RAILWAY OR TRAMWAY LOCOMOTIVES, ROLLING-STOCK AND PARTS THEREOF; RAILWAY OR TRAMWAY TRACK FIXTURES AND FITTINGS AND PARTS THEREOF; MECHANICAL",0.08,0.11,41.77
