S.No.,HSCode,Commodity,2021-2022,2022-2023,%Growth
1,01,LIVE ANIMALS.,0.0,0.01
2,02,MEAT AND EDIBLE MEAT OFFAL.,63.25,89.29,41.17
3,03,"FISH AND CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTABRATES.",7.24,20.4,181.69
4,04,"DAIRY PRODUCE; BIRDS' EGGS; NATURAL HONEY; EDIBLE PROD. OF ANIMAL ORIGIN, NOT ELSEWHERE SPEC. OR INCLUDED.",3.97,5.29,33.17
5,05,"PRODUCTS OF ANIMAL ORIGIN, NOT ELSEWHERE SPECIFIED OR INCLUDED.",0.01,0.04,548.21
6,06,LIVE TREES AND OTHER PLANTS; BULBS; ROOTS AND THE LIKE; CUT FLOWERS AND ORNAMENTAL FOLIAGE.,0.2,0.06,-68.34
7,07,EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,10.61,8.87,-16.45
8,08,EDIBLE FRUIT AND NUTS; PEEL OR CITRUS FRUIT OR MELONS.,1.43,1.25,-12.66
9,09,"COFFEE, TEA, MATE AND SPICES.",45.68,38.85,-14.96
10,10,CEREALS.,2241.1,2647.27,18.12
11,11,PRODUCTS OF THE MILLING INDUSTRY; MALT; STARCHES; INULIN; WHEAT GLUTEN.,8.93,13.99,56.68
12,12,"OIL SEEDS AND OLEA. FRUITS; MISC. GRAINS, SEEDS AND FRUIT; INDUSTRIAL OR MEDICINAL PLANTS; STRAW AND FODDER.",2.18,2.46,12.76
13,13,"LAC; GUMS, RESINS AND OTHER VEGETABLE SAPS AND EXTRACTS.",1.42,1.56,10.02
14,14,VEGETABLE PLAITING MATERIALS; VEGETABLE PRODUCTS NOT ELSEWHERE SPECIFIED OR INCLUDED.,0.13,1.29,875.4
15,15,ANIMAL OR VEGETABLE FATS AND OILS AND THEIR CLEAVAGE PRODUCTS; PRE. EDIBLE FATS; ANIMAL OR VEGETABLE WAXEX.,1.67,2.75,65.03
16,16,"PREPARATIONS OF MEAT, OF FISH OR OF CRUSTACEANS, MOLLUSCS OR OTHER AQUATIC INVERTEBRATES",1.77,0.62,-65.33
17,17,SUGARS AND SUGAR CONFECTIONERY.,121.84,377.2,209.59
18,18,COCOA AND COCOA PREPARATIONS.,9.17,13.39,45.96
19,19,"PREPARATIONS OF CEREALS, FLOUR, STARCH OR MILK; PASTRYCOOKS PRODUCTS.",44.16,65.38,48.05
20,20,"PREPARATIONS OF VEGETABLES, FRUIT, NUTS OR OTHER PARTS OF PLANTS.",4.28,9.13,113.52
21,21,MISCELLANEOUS EDIBLE PREPARATIONS.,60.06,41.42,-31.04
22,22,"BEVERAGES, SPIRITS AND VINEGAR.",47.02,61.65,31.13
23,23,RESIDUES AND WASTE FROM THE FOOD INDUSTRIES; PREPARED ANIMAL FODER.,3.28,2.81,-14.36
24,24,TOBACCO AND MANUFACTURED TOBACCO SUBSTITUTES.,32.3,40.62,25.77
25,25,"SALT; SULPHUR; EARTHS AND STONE; PLASTERING MATERIALS, LIME AND CEMENT.",8.38,11.5,37.18
26,26,"ORES, SLAG AND ASH.",0.46,2.13,361.28
27,27,"MINERAL FUELS, MINERAL OILS AND PRODUCTS OF THEIR DISTILLATION; BITUMINOUS SUBSTANCES; MINERAL WAXES.",3774.04,7988.43,111.67
