S.No.,HSCode,Commodity,2022-2023,2023-2024,%Growth
1,01,LIVE ANIMALS.,0.0,0.0
2,02,MEAT AND EDIBLE MEAT OFFAL.,1.08,3.18,194.15
3,03,"FISH AND CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTABRATES.",1211.74,982.93,-18.88
4,04,"DAIRY PRODUCE; BIRDS' EGGS; NATURAL HONEY; EDIBLE PROD. OF ANIMAL ORIGIN, NOT ELSEWHERE SPEC. OR INCLUDED.",14.38,11.3,-21.43
5,05,"PRODUCTS OF ANIMAL ORIGIN, NOT ELSEWHERE SPECIFIED OR INCLUDED.",11.45,10.9,-4.78
6,06,LIVE TREES AND OTHER PLANTS; BULBS; ROOTS AND THE LIKE; CUT FLOWERS AND ORNAMENTAL FOLIAGE.,34.96,33.95,-2.89
7,07,EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,224.73,265.8,18.28
8,08,EDIBLE FRUIT AND NUTS; PEEL OR CITRUS FRUIT OR MELONS.,354.71,443.73,25.1
9,09,"COFFEE, TEA, MATE AND SPICES.",824.73,924.91,12.15
10,10,CEREALS.,453.99,563.05,24.02
11,11,PRODUCTS OF THE MILLING INDUSTRY; MALT; STARCHES; INULIN; WHEAT GLUTEN.,160.54,165.41,3.04
12,12,"OIL SEEDS AND OLEA. FRUITS; MISC. GRAINS, SEEDS AND FRUIT; INDUSTRIAL OR MEDICINAL PLANTS; STRAW AND FODDER.",272.41,345.26,26.74
13,13,"LAC; GUMS, RESINS AND OTHER VEGETABLE SAPS AND EXTRACTS.",232.53,205.93,-11.44
14,14,VEGETABLE PLAITING MATERIALS; VEGETABLE PRODUCTS NOT ELSEWHERE SPECIFIED OR INCLUDED.,6.73,5.48,-18.61
15,15,ANIMAL OR VEGETABLE FATS AND OILS AND THEIR CLEAVAGE PRODUCTS; PRE. EDIBLE FATS; ANIMAL OR VEGETABLE WAXEX.,493.53,357.9,-27.48
16,16,"PREPARATIONS OF MEAT, OF FISH OR OF CRUSTACEANS, MOLLUSCS OR OTHER AQUATIC INVERTEBRATES",48.38,42.45,-12.25
17,17,SUGARS AND SUGAR CONFECTIONERY.,357.0,110.89,-68.94
18,18,COCOA AND COCOA PREPARATIONS.,14.38,23.86,65.94
19,19,"PREPARATIONS OF CEREALS, FLOUR, STARCH OR MILK; PASTRYCOOKS PRODUCTS.",51.28,71.17,38.79
20,20,"PREPARATIONS OF VEGETABLES, FRUIT, NUTS OR OTHER PARTS OF PLANTS.",231.71,295.63,27.59
21,21,MISCELLANEOUS EDIBLE PREPARATIONS.,220.26,280.33,27.27
22,22,"BEVERAGES, SPIRITS AND VINEGAR.",23.73,33.74,42.19
23,23,RESIDUES AND WASTE FROM THE FOOD INDUSTRIES; PREPARED ANIMAL FODER.,151.17,151.8,0.42
24,24,TOBACCO AND MANUFACTURED TOBACCO SUBSTITUTES.,393.44,477.93,21.48
25,25,"SALT; SULPHUR; EARTHS AND STONE; PLASTERING MATERIALS, LIME AND CEMENT.",209.69,189.74,-9.51
26,26,"ORES, SLAG AND ASH.",252.64,64.72,-74.38
27,27,"MINERAL FUELS, MINERAL OILS AND PRODUCTS OF THEIR DISTILLATION; BITUMINOUS SUBSTANCES; MINERAL WAXES.",20058.26,22581.14,12.58
28,28,"INORGANIC CHEMICALS; ORGANIC OR INORGANIC COMPOUNDS OF PRECIOUS METALS, OF RARE-EARTH METALS, OR RADI. ELEM. OR OF ISOTOPES.",609.46,624.06,2.4
29,29,ORGANIC CHEMICALS,7054.27,6390.29,-9.41
30,30,PHARMACEUTICAL PRODUCTS,3441.75,3713.31,7.89
31,31,FERTILISERS.,3.46,4.18,20.86
