S.No.,HSCode,Commodity,2022-2023,2023-2024,%Growth
1,01,LIVE ANIMALS.,0.0,0.04,2877.86
2,02,MEAT AND EDIBLE MEAT OFFAL.,1557.06,1729.79,11.09
3,03,"FISH AND CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTABRATES.",931.3,698.58,-24.99
4,04,"DAIRY PRODUCE; BIRDS' EGGS; NATURAL HONEY; EDIBLE PROD. OF ANIMAL ORIGIN, NOT ELSEWHERE SPEC. OR INCLUDED.",55.59,49.77,-10.48
5,05,"PRODUCTS OF ANIMAL ORIGIN, NOT ELSEWHERE SPECIFIED OR INCLUDED.",193.24,227.52,17.74
6,06,LIVE TREES AND OTHER PLANTS; BULBS; ROOTS AND THE LIKE; CUT FLOWERS AND ORNAMENTAL FOLIAGE.,6.48,6.83,5.38
7,07,EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,250.78,199.12,-20.6
8,08,EDIBLE FRUIT AND NUTS; PEEL OR CITRUS FRUIT OR MELONS.,109.57,97.6,-10.93
9,09,"COFFEE, TEA, MATE AND SPICES.",465.51,505.99,8.7
10,10,CEREALS.,1357.5,821.25,-39.5
11,11,PRODUCTS OF THE MILLING INDUSTRY; MALT; STARCHES; INULIN; WHEAT GLUTEN.,204.77,275.76,34.67
12,12,"OIL SEEDS AND OLEA. FRUITS; MISC. GRAINS, SEEDS AND FRUIT; INDUSTRIAL OR MEDICINAL PLANTS; STRAW AND FODDER.",782.52,771.15,-1.45
13,13,"LAC; GUMS, RESINS AND OTHER VEGETABLE SAPS AND EXTRACTS.",43.51,44.08,1.31
14,14,VEGETABLE PLAITING MATERIALS; VEGETABLE PRODUCTS NOT ELSEWHERE SPECIFIED OR INCLUDED.,0.85,0.6,-29.34
15,15,ANIMAL OR VEGETABLE FATS AND OILS AND THEIR CLEAVAGE PRODUCTS; PRE. EDIBLE FATS; ANIMAL OR VEGETABLE WAXEX.,221.24,235.32,6.37
16,16,"PREPARATIONS OF MEAT, OF FISH OR OF CRUSTACEANS, MOLLUSCS OR OTHER AQUATIC INVERTEBRATES",1.99,3.01,50.9
17,17,SUGARS AND SUGAR CONFECTIONERY.,818.43,244.92,-70.07
18,18,COCOA AND COCOA PREPARATIONS.,31.65,27.63,-12.7
19,19,"PREPARATIONS OF CEREALS, FLOUR, STARCH OR MILK; PASTRYCOOKS PRODUCTS.",38.72,38.28,-1.13
20,20,"PREPARATIONS OF VEGETABLES, FRUIT, NUTS OR OTHER PARTS OF PLANTS.",113.97,175.76,54.21
21,21,MISCELLANEOUS EDIBLE PREPARATIONS.,125.25,125.05,-0.16
22,22,"BEVERAGES, SPIRITS AND VINEGAR.",36.63,40.39,10.27
23,23,RESIDUES AND WASTE FROM THE FOOD INDUSTRIES; PREPARED ANIMAL FODER.,824.41,597.91,-27.47
24,24,TOBACCO AND MANUFACTURED TOBACCO SUBSTITUTES.,146.54,194.0,32.39
25,25,"SALT; SULPHUR; EARTHS AND STONE; PLASTERING MATERIALS, LIME AND CEMENT.",180.55,167.7,-7.12
26,26,"ORES, SLAG AND ASH.",171.77,263.98,53.68
27,27,"MINERAL FUELS, MINERAL OILS AND PRODUCTS OF THEIR DISTILLATION; BITUMINOUS SUBSTANCES; MINERAL WAXES.",10693.47,10101.71,-5.53
28,28,"INORGANIC CHEMICALS; ORGANIC OR INORGANIC COMPOUNDS OF PRECIOUS METALS, OF RARE-EARTH METALS, OR RADI. ELEM. OR OF ISOTOPES.",364.78,408.84,12.08
29,29,ORGANIC CHEMICALS,2004.7,2930.87,46.2
30,30,PHARMACEUTICAL PRODUCTS,1163.62,1222.48,5.06
31,31,FERTILISERS.,13.05,11.99,-8.11
32,32,"TANNING OR DYEING EXTRACTS; TANNINS AND THEIR DERI. DYES, PIGMENTS AND OTHER COLOURING MATTER; PAINTS AND VER; PUTTY AND OTHER MASTICS; INKS.",402.56,372.97,-7.35
33,33,"ESSENTIAL OILS AND RESINOIDS; PERFUMERY, COSMETIC OR TOILET PREPARATIONS.",180.9,282.27,56.03
34,34,"SOAP, ORGANIC SURFACE-ACTIVE AGENTS, WASHING PREPARATIONS, LUBRICATING PREPARATIONS, ARTIFICIAL WAXES, PREPARED WAXES, POLISHING OR SCOURING PREP.",85.39,95.97,12.39
