S.No.,HSCode,Commodity,2022-2023,2023-2024,%Growth
1,01,LIVE ANIMALS.,0.02,0.0
2,02,MEAT AND EDIBLE MEAT OFFAL.,20.18,17.2,-14.74
3,03,"FISH AND CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTABRATES.",35.02,30.91,-11.74
4,04,"DAIRY PRODUCE; BIRDS' EGGS; NATURAL HONEY; EDIBLE PROD. OF ANIMAL ORIGIN, NOT ELSEWHERE SPEC. OR INCLUDED.",3.92,5.57,42.29
5,05,"PRODUCTS OF ANIMAL ORIGIN, NOT ELSEWHERE SPECIFIED OR INCLUDED.",0.02,0.11,454.13
6,06,LIVE TREES AND OTHER PLANTS; BULBS; ROOTS AND THE LIKE; CUT FLOWERS AND ORNAMENTAL FOLIAGE.,1.31,1.42,8.36
7,07,EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,9.73,16.93,74.05
8,08,EDIBLE FRUIT AND NUTS; PEEL OR CITRUS FRUIT OR MELONS.,4.04,4.71,16.65
9,09,"COFFEE, TEA, MATE AND SPICES.",14.48,21.25,46.71
10,10,CEREALS.,912.41,827.21,-9.34
11,11,PRODUCTS OF THE MILLING INDUSTRY; MALT; STARCHES; INULIN; WHEAT GLUTEN.,82.91,10.47,-87.37
12,12,"OIL SEEDS AND OLEA. FRUITS; MISC. GRAINS, SEEDS AND FRUIT; INDUSTRIAL OR MEDICINAL PLANTS; STRAW AND FODDER.",14.53,22.3,53.46
13,13,"LAC; GUMS, RESINS AND OTHER VEGETABLE SAPS AND EXTRACTS.",1.49,1.34,-10.14
14,14,VEGETABLE PLAITING MATERIALS; VEGETABLE PRODUCTS NOT ELSEWHERE SPECIFIED OR INCLUDED.,0.87,0.3,-66.15
15,15,ANIMAL OR VEGETABLE FATS AND OILS AND THEIR CLEAVAGE PRODUCTS; PRE. EDIBLE FATS; ANIMAL OR VEGETABLE WAXEX.,8.04,13.0,61.64
16,16,"PREPARATIONS OF MEAT, OF FISH OR OF CRUSTACEANS, MOLLUSCS OR OTHER AQUATIC INVERTEBRATES",0.48,0.44,-8.31
17,17,SUGARS AND SUGAR CONFECTIONERY.,1027.58,806.11,-21.55
18,18,COCOA AND COCOA PREPARATIONS.,2.8,3.11,10.83
19,19,"PREPARATIONS OF CEREALS, FLOUR, STARCH OR MILK; PASTRYCOOKS PRODUCTS.",31.17,36.8,18.07
20,20,"PREPARATIONS OF VEGETABLES, FRUIT, NUTS OR OTHER PARTS OF PLANTS.",45.11,36.07,-20.05
21,21,MISCELLANEOUS EDIBLE PREPARATIONS.,17.58,16.54,-5.9
22,22,"BEVERAGES, SPIRITS AND VINEGAR.",22.33,45.09,101.92
