S.No.,HSCode,Commodity,2022-2023,2023-2024,%Growth
1,02,MEAT AND EDIBLE MEAT OFFAL.,0.0,0.0
2,03,"FISH AND CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTABRATES.",1.48,0.78,-47.73
3,04,"DAIRY PRODUCE; BIRDS' EGGS; NATURAL HONEY; EDIBLE PROD. OF ANIMAL ORIGIN, NOT ELSEWHERE SPEC. OR INCLUDED.",0.0,0.0,-97.65
4,05,"PRODUCTS OF ANIMAL ORIGIN, NOT ELSEWHERE SPECIFIED OR INCLUDED.",0.03,0.01,-74.55
5,06,LIVE TREES AND OTHER PLANTS; BULBS; ROOTS AND THE LIKE; CUT FLOWERS AND ORNAMENTAL FOLIAGE.,0.12,0.13,12.44
6,07,EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,5.86,4.48,-23.54
7,08,EDIBLE FRUIT AND NUTS; PEEL OR CITRUS FRUIT OR MELONS.,4.84,7.09,46.25
8,09,"COFFEE, TEA, MATE AND SPICES.",8.06,7.5,-6.95
9,10,CEREALS.,5.29,5.04,-4.78
10,11,PRODUCTS OF THE MILLING INDUSTRY; MALT; STARCHES; INULIN; WHEAT GLUTEN.,72.14,63.74,-11.65
11,12,"OIL SEEDS AND OLEA. FRUITS; MISC. GRAINS, SEEDS AND FRUIT; INDUSTRIAL OR MEDICINAL PLANTS; STRAW AND FODDER.",2.26,2.35,3.7
12,13,"LAC; GUMS, RESINS AND OTHER VEGETABLE SAPS AND EXTRACTS.",1.14,1.58,38.6
13,14,VEGETABLE PLAITING MATERIALS; VEGETABLE PRODUCTS NOT ELSEWHERE SPECIFIED OR INCLUDED.,0.0,0.0,-42.23
14,15,ANIMAL OR VEGETABLE FATS AND OILS AND THEIR CLEAVAGE PRODUCTS; PRE. EDIBLE FATS; ANIMAL OR VEGETABLE WAXEX.,0.3,0.41,33.5
15,16,"PREPARATIONS OF MEAT, OF FISH OR OF CRUSTACEANS, MOLLUSCS OR OTHER AQUATIC INVERTEBRATES",0.08,0.29,281.82
16,17,SUGARS AND SUGAR CONFECTIONERY.,0.05,0.05,0.02
17,18,COCOA AND COCOA PREPARATIONS.,0.01,0.0,-47.11
18,19,"PREPARATIONS OF CEREALS, FLOUR, STARCH OR MILK; PASTRYCOOKS PRODUCTS.",0.37,0.48,28.11
19,20,"PREPARATIONS OF VEGETABLES, FRUIT, NUTS OR OTHER PARTS OF PLANTS.",3.62,4.11,13.57
20,21,MISCELLANEOUS EDIBLE PREPARATIONS.,2.15,1.76,-18.28
21,22,"BEVERAGES, SPIRITS AND VINEGAR.",0.11,0.09,-19.23
22,23,RESIDUES AND WASTE FROM THE FOOD INDUSTRIES; PREPARED ANIMAL FODER.,11.94,18.64,56.15
23,24,TOBACCO AND MANUFACTURED TOBACCO SUBSTITUTES.,1.13,0.32,-71.56
24,25,"SALT; SULPHUR; EARTHS AND STONE; PLASTERING MATERIALS, LIME AND CEMENT.",2.14,2.17,1.39
25,26,"ORES, SLAG AND ASH.",0.0,0.0
26,27,"MINERAL FUELS, MINERAL OILS AND PRODUCTS OF THEIR DISTILLATION; BITUMINOUS SUBSTANCES; MINERAL WAXES.",0.41,21.38,5144.55
27,28,"INORGANIC CHEMICALS; ORGANIC OR INORGANIC COMPOUNDS OF PRECIOUS METALS, OF RARE-EARTH METALS, OR RADI. ELEM. OR OF ISOTOPES.",33.28,75.71,127.46
28,29,ORGANIC CHEMICALS,621.03,629.66,1.39
29,30,PHARMACEUTICAL PRODUCTS,24.68,17.17,-30.4
30,31,FERTILISERS.,0.03,0.02,-21.7
31,32,"TANNING OR DYEING EXTRACTS; TANNINS AND THEIR DERI. DYES, PIGMENTS AND OTHER COLOURING MATTER; PAINTS AND VER; PUTTY AND OTHER MASTICS; INKS.",14.61,17.47,19.58
32,33,"ESSENTIAL OILS AND RESINOIDS; PERFUMERY, COSMETIC OR TOILET PREPARATIONS.",10.16,9.14,-10.03
33,34,"SOAP, ORGANIC SURFACE-ACTIVE AGENTS, WASHING PREPARATIONS, LUBRICATING PREPARATIONS, ARTIFICIAL WAXES, PREPARED WAXES, POLISHING OR SCOURING PREP.",0.91,0.99,8.85
34,35,ALBUMINOIDAL SUBSTANCES; MODIFIED STARCHES; GLUES; ENZYMES.,0.09,0.08,-14.47
35,36,EXPLOSIVES; PYROTECHNIC PRODUCTS; MATCHES; PYROPHORIC ALLOYS; CERTAIN COMBUSTIBLE PREPARATIONS.,0.0,0.0
36,37,PHOTOGRAPHIC OR CINEMATOGRAPHIC GOODS.,0.0,0.0,96.05
37,38,MISCELLANEOUS CHEMICAL PRODUCTS.,6.27,4.96,-20.82
38,39,PLASTIC AND ARTICLES THEREOF.,8.69,9.84,13.26
39,40,RUBBER AND ARTICLES THEREOF.,16.49,19.04,15.48
40,41,RAW HIDES AND SKINS (OTHER THAN FURSKINS) AND LEATHER,0.29,0.38,32.06
41,42,"ARTICLES OF LEATHER,SADDLERY AND HARNESS;TRAVEL GOODS, HANDBAGS AND SIMILAR CONT.ARTICLES OF ANIMAL GUT(OTHR THN SILK-WRM)GUT.",20.2,16.08,-20.41
42,43,"FURSKINS AND ARTIFICIAL FUR, MANUFACTURES THEREOF.",0.01,0.01,-29.84
43,44,WOOD AND ARTICLES OF WOOD; WOOD CHARCOAL.,2.01,3.2,59.43
44,45,CORK AND ARTICLES OF CORK.,0.0,0.01
45,46,"MANUFACTURES OF STRAW, OF ESPARTO OR OF OTHER PLAITING MATERIALS; BASKETWARE AND WICKERWORK.",0.64,0.59,-8.23
46,47,PULP OF WOOD OR OF OTHER FIBROUS CELLULOSIC MATERIAL; WASTE AND SCRAP OF PAPER OR PAPERBOARD.,0.0,0.0
47,48,"PAPER AND PAPERBOARD; ARTICLES OF PAPER PULP, OF PAPER OR OF PAPERBOARD.",7.12,5.92,-16.79
48,49,"PRINTED BOOKDS, NEWSPAPERS, PICTURES AND OTHER PRODUCTS OF THE PRINTING INDUSTRY; MANUSCRIPTS, TYPESCRIPTS AND PLANS.",0.31,0.32,2.0
49,50,SILK,0.69,0.67,-3.04
50,51,"WOOL, FINE OR COARSE ANIMAL HAIR, HORSEHAIR YARN AND WOVEN FABRIC.",0.0,0.03,925.07
51,52,COTTON.,4.29,4.32,0.69
52,53,OTHER VEGETABLE TEXTILE FIBRES; PAPER YARN AND WOVEN FABRICS OF PAPER YARN.,0.32,0.31,-2.77
53,54,MAN-MADE FILAMENTS.,0.44,0.47,5.88
54,55,MAN-MADE STAPLE FIBRES.,0.3,0.22,-24.18
55,56,"WADDING, FELT AND NONWOVENS; SPACIAL YARNS; TWINE, CORDAGE, ROPES AND CABLES AND ARTICLES THEREOF.",23.82,21.9,-8.03
56,57,CARPETS AND OTHER TEXTILE FLOOR COVERINGS.,7.63,6.75,-11.52
57,58,SPECIAL WOVEN FABRICS; TUFTED TEXTILE FABRICS; LACE; TAPESTRIES; TRIMMINGS; EMBROIDERY.,0.13,0.08,-42.89
58,59,"IMPREGNATED, COATED, COVERED OR LAMINATED TEXTILE FABRICS; TEXTILE ARTICLES OF A KIND SUITABLE FOR INDUSTRIAL USE.",0.72,0.46,-36.73
59,60,KNITTED OR CROCHETED FABRICS.,0.01,0.03,406.84
60,61,"ARTICLES OF APPAREL AND CLOTHING ACCESSORIES, KNITTED OR CORCHETED.",32.3,26.71,-17.3
61,62,"ARTICLES OF APPAREL AND CLOTHING ACCESSORIES, NOT KNITTED OR CROCHETED.",25.31,29.25,15.54
62,63,OTHER MADE UP TEXTILE ARTICLES; SETS; WORN CLOTHING AND WORN TEXTILE ARTICLES; RAGS,38.27,34.8,-9.05
63,64,"FOOTWEAR, GAITERS AND THE LIKE; PARTS OF SUCH ARTICLES.",12.87,11.44,-11.12
64,65,HEADGEAR AND PARTS THEREOF.,0.18,0.5,181.51
65,66,"UMBRELLAS, SUN UMBRELLAS, WALKING-STICKS, SEAT-STICKS, WHIPS,RIDING-CROPS AND PARTS THEREOF.",0.0,0.0,56.15
66,67,PREPARED FEATHERS AND DOWN AND ARTICLES MADE OF FEATHERS OR OF DOWN; ARTIFICIAL FLOWERS; ARTICLES OF HUMAN HAIR.,0.93,0.79,-14.43
67,68,"ARTICLES OF STONE, PLASTER, CEMENT, ASBESTOS, MICA OR SIMILAR MATERIALS.",4.19,5.19,23.63
68,69,CERAMIC PRODUCTS.,0.45,0.7,55.49
69,70,GLASS AND GLASSWARE.,3.74,2.71,-27.74
70,71,"NATURAL OR CULTURED PEARLS,PRECIOUS OR SEMIPRECIOUS STONES,PRE.METALS,CLAD WITH PRE.METAL AND ARTCLS THEREOF;IMIT.JEWLRY;COIN.",388.33,547.09,40.88
71,72,IRON AND STEEL,21.99,16.29,-25.92
72,73,ARTICLES OF IRON OR STEEL,35.49,27.97,-21.18
73,74,COPPER AND ARTICLES THEREOF.,2.09,2.16,3.59
74,75,NICKEL AND ARTICLES THEREOF.,0.27,1.2,342.66
75,76,ALUMINIUM AND ARTICLES THEREOF.,7.5,10.34,37.94
76,79,ZINC AND ARTICLES THEREOF.,0.02,0.0,-90.68
77,81,OTHER BASE METALS; CERMETS; ARTICLES THEREOF.,0.3,0.24,-19.57
78,82,"TOOLS IMPLEMENTS, CUTLERY, SPOONS AND FORKS, OF BASE METAL; PARTS THEREOF OF BASE METAL.",2.66,2.71,1.74
79,83,MISCELLANEOUS ARTICLES OF BASE METAL.,1.1,1.16,5.58
80,84,"NUCLEAR REACTORS, BOILERS, MACHINERY AND MECHANICAL APPLIANCES; PARTS THEREOF.",72.13,72.45,0.45
81,85,"ELECTRICAL MACHINERY AND EQUIPMENT AND PARTS THEREOF; SOUND RECORDERS AND REPRODUCERS, TELEVISION IMAGE AND SOUND RECORDERS AND REPRODUCERS,AND PARTS.",48.19,48.38,0.4
82,86,"RAILWAY OR TRAMWAY LOCOMOTIVES, ROLLING-STOCK AND PARTS THEREOF; RAILWAY OR TRAMWAY TRACK FIXTURES AND FITTINGS AND PARTS THEREOF; MECHANICAL",0.78,0.86,11.31
83,87,"VEHICLES OTHER THAN RAILWAY OR TRAMWAY ROLLING STOCK, AND PARTS AND ACCESSORIES THEREOF.",22.87,22.34,-2.33
84,88,"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF.",45.18,12.29,-72.8
85,89,"SHIPS, BOATS AND FLOATING STRUCTURES.",105.49,0.03,-99.97
86,90,"OPTICAL, PHOTOGRAPHIC CINEMATOGRAPHIC MEASURING, CHECKING PRECISION, MEDICAL OR SURGICAL INST. AND APPARATUS PARTS AND ACCESSORIES THEREOF;",84.07,33.6,-60.04
87,91,CLOCKS AND WATCHES AND PARTS THEREOF.,23.77,25.93,9.09
88,92,MUSICAL INSTRUMENTS; PARTS AND ACCESSORIES OF SUCH ARTICLES.,0.05,0.06,9.09
89,93,ARMS AND AMMUNITION; PARTS AND ACCESSORIES THEREOF.,0.0,0.0,-91.12
90,94,"FURNITURE; BEDDING, MATTRESSES, MATTRESS SUPPORTS, CUSHIONS AND SIMILAR STUFFED FURNISHING; LAMPS AND LIGHTING FITTINGS NOT ELSEWHERE SPECIFIED OR INC",7.14,5.41,-24.19
91,95,"TOYS, GAMES AND SPORTS REQUISITES; PARTS AND ACCESSORIES THEREOF.",4.21,3.06,-27.37
92,96,MISCELLANEOUS MANUFACTURED ARTICLES.,0.42,0.69,62.39
93,97,WORKS OF ART COLLECTORS' PIECES AND ANTIQUES.,5.38,8.41,56.3
94,98,PROJECT GOODS; SOME SPECIAL USES.,0.01,0.02,178.04
95,99,MISCELLANEOUS GOODS.,0.0,0.0,-0.58
,,Total,1926.43,1943.04,0.86
