S.No.,HSCode,Commodity,2022-2023,2023-2024,%Growth
1,02,MEAT AND EDIBLE MEAT OFFAL.,2.81,2.04,-27.38
2,03,"FISH AND CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTABRATES.",1.03,2.53,145.63
3,04,"DAIRY PRODUCE; BIRDS' EGGS; NATURAL HONEY; EDIBLE PROD. OF ANIMAL ORIGIN, NOT ELSEWHERE SPEC. OR INCLUDED.",0.65,0.87,33.58
4,05,"PRODUCTS OF ANIMAL ORIGIN, NOT ELSEWHERE SPECIFIED OR INCLUDED.",0.07,0.15,111.86
5,06,LIVE TREES AND OTHER PLANTS; BULBS; ROOTS AND THE LIKE; CUT FLOWERS AND ORNAMENTAL FOLIAGE.,0.12,0.34,176.41
6,07,EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,0.57,0.8,38.96
7,08,EDIBLE FRUIT AND NUTS; PEEL OR CITRUS FRUIT OR MELONS.,2.11,0.13,-93.61
8,09,"COFFEE, TEA, MATE AND SPICES.",1.29,1.78,38.18
9,10,CEREALS.,276.67,220.85,-20.17
10,11,PRODUCTS OF THE MILLING INDUSTRY; MALT; STARCHES; INULIN; WHEAT GLUTEN.,0.75,1.09,46.67
11,12,"OIL SEEDS AND OLEA. FRUITS; MISC. GRAINS, SEEDS AND FRUIT; INDUSTRIAL OR MEDICINAL PLANTS; STRAW AND FODDER.",0.77,0.55,-28.49
12,13,"LAC; GUMS, RESINS AND OTHER VEGETABLE SAPS AND EXTRACTS.",0.24,0.26,6.77
13,14,VEGETABLE PLAITING MATERIALS; VEGETABLE PRODUCTS NOT ELSEWHERE SPECIFIED OR INCLUDED.,0.0,0.02,7336.88
14,15,ANIMAL OR VEGETABLE FATS AND OILS AND THEIR CLEAVAGE PRODUCTS; PRE. EDIBLE FATS; ANIMAL OR VEGETABLE WAXEX.,0.29,0.74,150.75
15,16,"PREPARATIONS OF MEAT, OF FISH OR OF CRUSTACEANS, MOLLUSCS OR OTHER AQUATIC INVERTEBRATES",0.04,0.18,299.63
16,17,SUGARS AND SUGAR CONFECTIONERY.,28.9,36.98,27.93
17,18,COCOA AND COCOA PREPARATIONS.,0.51,0.92,81.0
18,19,"PREPARATIONS OF CEREALS, FLOUR, STARCH OR MILK; PASTRYCOOKS PRODUCTS.",21.6,11.92,-44.81
19,20,"PREPARATIONS OF VEGETABLES, FRUIT, NUTS OR OTHER PARTS OF PLANTS.",3.31,1.28,-61.34
20,21,MISCELLANEOUS EDIBLE PREPARATIONS.,2.1,3.09,47.25
21,22,"BEVERAGES, SPIRITS AND VINEGAR.",16.86,25.17,49.28
22,23,RESIDUES AND WASTE FROM THE FOOD INDUSTRIES; PREPARED ANIMAL FODER.,0.78,0.43,-44.72
23,24,TOBACCO AND MANUFACTURED TOBACCO SUBSTITUTES.,4.41,7.8,76.76
24,25,"SALT; SULPHUR; EARTHS AND STONE; PLASTERING MATERIALS, LIME AND CEMENT.",0.98,3.51,257.31
25,26,"ORES, SLAG AND ASH.",0.4,0.41,2.2
26,27,"MINERAL FUELS, MINERAL OILS AND PRODUCTS OF THEIR DISTILLATION; BITUMINOUS SUBSTANCES; MINERAL WAXES.",1824.27,1494.34,-18.09
27,28,"INORGANIC CHEMICALS; ORGANIC OR INORGANIC COMPOUNDS OF PRECIOUS METALS, OF RARE-EARTH METALS, OR RADI. ELEM. OR OF ISOTOPES.",15.62,18.2,16.49
28,29,ORGANIC CHEMICALS,15.59,13.42,-13.93
29,30,PHARMACEUTICAL PRODUCTS,404.15,411.61,1.84
30,31,FERTILISERS.,4.86,7.72,58.94
31,32,"TANNING OR DYEING EXTRACTS; TANNINS AND THEIR DERI. DYES, PIGMENTS AND OTHER COLOURING MATTER; PAINTS AND VER; PUTTY AND OTHER MASTICS; INKS.",8.22,9.94,20.83
32,33,"ESSENTIAL OILS AND RESINOIDS; PERFUMERY, COSMETIC OR TOILET PREPARATIONS.",23.52,23.87,1.46
33,34,"SOAP, ORGANIC SURFACE-ACTIVE AGENTS, WASHING PREPARATIONS, LUBRICATING PREPARATIONS, ARTIFICIAL WAXES, PREPARED WAXES, POLISHING OR SCOURING PREP.",6.91,3.78,-45.23
34,35,ALBUMINOIDAL SUBSTANCES; MODIFIED STARCHES; GLUES; ENZYMES.,2.47,2.63,6.48
35,36,EXPLOSIVES; PYROTECHNIC PRODUCTS; MATCHES; PYROPHORIC ALLOYS; CERTAIN COMBUSTIBLE PREPARATIONS.,8.94,9.43,5.48
36,37,PHOTOGRAPHIC OR CINEMATOGRAPHIC GOODS.,0.18,0.29,58.12
37,38,MISCELLANEOUS CHEMICAL PRODUCTS.,32.61,27.03,-17.11
38,39,PLASTIC AND ARTICLES THEREOF.,104.48,88.34,-15.45
39,40,RUBBER AND ARTICLES THEREOF.,24.91,21.27,-14.6
40,41,RAW HIDES AND SKINS (OTHER THAN FURSKINS) AND LEATHER,0.7,0.68,-1.78
41,42,"ARTICLES OF LEATHER,SADDLERY AND HARNESS;TRAVEL GOODS, HANDBAGS AND SIMILAR CONT.ARTICLES OF ANIMAL GUT(OTHR THN SILK-WRM)GUT.",0.51,0.36,-29.07
42,43,"FURSKINS AND ARTIFICIAL FUR, MANUFACTURES THEREOF.",0.0,0.0
43,44,WOOD AND ARTICLES OF WOOD; WOOD CHARCOAL.,0.35,0.53,51.46
44,45,CORK AND ARTICLES OF CORK.,0.0,0.01,132.53
45,46,"MANUFACTURES OF STRAW, OF ESPARTO OR OF OTHER PLAITING MATERIALS; BASKETWARE AND WICKERWORK.",0.09,0.09,0.38
46,48,"PAPER AND PAPERBOARD; ARTICLES OF PAPER PULP, OF PAPER OR OF PAPERBOARD.",33.62,27.88,-17.05
47,49,"PRINTED BOOKDS, NEWSPAPERS, PICTURES AND OTHER PRODUCTS OF THE PRINTING INDUSTRY; MANUSCRIPTS, TYPESCRIPTS AND PLANS.",8.87,12.09,36.3
48,50,SILK,0.0,0.0
49,52,COTTON.,8.47,12.95,52.93
50,53,OTHER VEGETABLE TEXTILE FIBRES; PAPER YARN AND WOVEN FABRICS OF PAPER YARN.,3.95,3.23,-18.26
51,54,MAN-MADE FILAMENTS.,6.43,4.12,-35.84
52,55,MAN-MADE STAPLE FIBRES.,3.26,3.25,-0.21
53,56,"WADDING, FELT AND NONWOVENS; SPACIAL YARNS; TWINE, CORDAGE, ROPES AND CABLES AND ARTICLES THEREOF.",1.32,1.48,12.74
54,57,CARPETS AND OTHER TEXTILE FLOOR COVERINGS.,0.19,0.3,59.54
55,58,SPECIAL WOVEN FABRICS; TUFTED TEXTILE FABRICS; LACE; TAPESTRIES; TRIMMINGS; EMBROIDERY.,0.2,0.11,-45.68
56,59,"IMPREGNATED, COATED, COVERED OR LAMINATED TEXTILE FABRICS; TEXTILE ARTICLES OF A KIND SUITABLE FOR INDUSTRIAL USE.",0.51,0.83,61.53
57,60,KNITTED OR CROCHETED FABRICS.,0.53,0.17,-67.18
58,61,"ARTICLES OF APPAREL AND CLOTHING ACCESSORIES, KNITTED OR CORCHETED.",4.33,3.07,-29.07
59,62,"ARTICLES OF APPAREL AND CLOTHING ACCESSORIES, NOT KNITTED OR CROCHETED.",3.55,3.49,-1.8
60,63,OTHER MADE UP TEXTILE ARTICLES; SETS; WORN CLOTHING AND WORN TEXTILE ARTICLES; RAGS,28.89,28.49,-1.38
