S.No.,HSCode,Commodity,2022-2023,2023-2024,%Growth
1,01,LIVE ANIMALS.,0.99,0.99,0.61
2,02,MEAT AND EDIBLE MEAT OFFAL.,36.1,22.81,-36.81
3,03,"FISH AND CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTABRATES.",37.56,67.04,78.49
4,04,"DAIRY PRODUCE; BIRDS' EGGS; NATURAL HONEY; EDIBLE PROD. OF ANIMAL ORIGIN, NOT ELSEWHERE SPEC. OR INCLUDED.",100.65,80.59,-19.93
5,05,"PRODUCTS OF ANIMAL ORIGIN, NOT ELSEWHERE SPECIFIED OR INCLUDED.",1.23,1.97,60.31
6,06,LIVE TREES AND OTHER PLANTS; BULBS; ROOTS AND THE LIKE; CUT FLOWERS AND ORNAMENTAL FOLIAGE.,1.77,2.08,17.52
7,07,EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,539.65,623.99,15.63
8,08,EDIBLE FRUIT AND NUTS; PEEL OR CITRUS FRUIT OR MELONS.,169.24,153.06,-9.56
9,09,"COFFEE, TEA, MATE AND SPICES.",441.43,508.15,15.12
10,10,CEREALS.,1996.02,487.97,-75.55
11,11,PRODUCTS OF THE MILLING INDUSTRY; MALT; STARCHES; INULIN; WHEAT GLUTEN.,71.66,37.41,-47.8
12,12,"OIL SEEDS AND OLEA. FRUITS; MISC. GRAINS, SEEDS AND FRUIT; INDUSTRIAL OR MEDICINAL PLANTS; STRAW AND FODDER.",148.0,103.88,-29.81
13,13,"LAC; GUMS, RESINS AND OTHER VEGETABLE SAPS AND EXTRACTS.",15.3,12.22,-20.17
14,14,VEGETABLE PLAITING MATERIALS; VEGETABLE PRODUCTS NOT ELSEWHERE SPECIFIED OR INCLUDED.,11.89,7.44,-37.43
15,15,ANIMAL OR VEGETABLE FATS AND OILS AND THEIR CLEAVAGE PRODUCTS; PRE. EDIBLE FATS; ANIMAL OR VEGETABLE WAXEX.,55.31,48.02,-13.18
16,16,"PREPARATIONS OF MEAT, OF FISH OR OF CRUSTACEANS, MOLLUSCS OR OTHER AQUATIC INVERTEBRATES",0.65,0.7,7.53
17,17,SUGARS AND SUGAR CONFECTIONERY.,1046.31,540.34,-48.36
18,18,COCOA AND COCOA PREPARATIONS.,21.54,25.1,16.55
19,19,"PREPARATIONS OF CEREALS, FLOUR, STARCH OR MILK; PASTRYCOOKS PRODUCTS.",125.68,121.29,-3.5
20,20,"PREPARATIONS OF VEGETABLES, FRUIT, NUTS OR OTHER PARTS OF PLANTS.",51.18,41.69,-18.54
