S.No.,HSCode,Commodity,2022-2023,2023-2024,%Growth
1,03,"FISH AND CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTABRATES.",7.42,8.26,11.35
2,04,"DAIRY PRODUCE; BIRDS' EGGS; NATURAL HONEY; EDIBLE PROD. OF ANIMAL ORIGIN, NOT ELSEWHERE SPEC. OR INCLUDED.",0.0,0.0
3,05,"PRODUCTS OF ANIMAL ORIGIN, NOT ELSEWHERE SPECIFIED OR INCLUDED.",0.0,0.0,1117.2
4,06,LIVE TREES AND OTHER PLANTS; BULBS; ROOTS AND THE LIKE; CUT FLOWERS AND ORNAMENTAL FOLIAGE.,0.17,0.13,-21.4
5,07,EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,0.61,1.33,120.02
6,08,EDIBLE FRUIT AND NUTS; PEEL OR CITRUS FRUIT OR MELONS.,0.18,0.02,-89.63
7,09,"COFFEE, TEA, MATE AND SPICES.",0.19,0.4,109.29
8,10,CEREALS.,1.42,1.64,15.1
9,11,PRODUCTS OF THE MILLING INDUSTRY; MALT; STARCHES; INULIN; WHEAT GLUTEN.,0.06,0.07,6.68
10,12,"OIL SEEDS AND OLEA. FRUITS; MISC. GRAINS, SEEDS AND FRUIT; INDUSTRIAL OR MEDICINAL PLANTS; STRAW AND FODDER.",0.44,0.73,64.69
11,13,"LAC; GUMS, RESINS AND OTHER VEGETABLE SAPS AND EXTRACTS.",0.0,0.0,874.02
12,14,VEGETABLE PLAITING MATERIALS; VEGETABLE PRODUCTS NOT ELSEWHERE SPECIFIED OR INCLUDED.,0.03,0.0,-98.95
13,15,ANIMAL OR VEGETABLE FATS AND OILS AND THEIR CLEAVAGE PRODUCTS; PRE. EDIBLE FATS; ANIMAL OR VEGETABLE WAXEX.,0.0,0.0,-18.27
14,16,"PREPARATIONS OF MEAT, OF FISH OR OF CRUSTACEANS, MOLLUSCS OR OTHER AQUATIC INVERTEBRATES",2.38,3.79,58.99
15,17,SUGARS AND SUGAR CONFECTIONERY.,13.78,6.01,-56.38
16,18,COCOA AND COCOA PREPARATIONS.,0.0,0.04,3882.3
17,19,"PREPARATIONS OF CEREALS, FLOUR, STARCH OR MILK; PASTRYCOOKS PRODUCTS.",5.28,16.68,216.25
18,20,"PREPARATIONS OF VEGETABLES, FRUIT, NUTS OR OTHER PARTS OF PLANTS.",0.51,0.86,69.33
19,21,MISCELLANEOUS EDIBLE PREPARATIONS.,0.19,0.34,76.38
20,22,"BEVERAGES, SPIRITS AND VINEGAR.",0.84,1.13,34.81
21,23,RESIDUES AND WASTE FROM THE FOOD INDUSTRIES; PREPARED ANIMAL FODER.,2.28,1.79,-21.67
22,24,TOBACCO AND MANUFACTURED TOBACCO SUBSTITUTES.,0.87,0.04,-95.22
23,25,"SALT; SULPHUR; EARTHS AND STONE; PLASTERING MATERIALS, LIME AND CEMENT.",0.05,0.11,118.81
24,27,"MINERAL FUELS, MINERAL OILS AND PRODUCTS OF THEIR DISTILLATION; BITUMINOUS SUBSTANCES; MINERAL WAXES.",3380.74,3715.96,9.92
25,28,"INORGANIC CHEMICALS; ORGANIC OR INORGANIC COMPOUNDS OF PRECIOUS METALS, OF RARE-EARTH METALS, OR RADI. ELEM. OR OF ISOTOPES.",3.55,4.2,18.17
26,29,ORGANIC CHEMICALS,147.25,32.61,-77.86
27,30,PHARMACEUTICAL PRODUCTS,12.96,13.52,4.33
28,31,FERTILISERS.,0.0,0.0,29880.41
29,32,"TANNING OR DYEING EXTRACTS; TANNINS AND THEIR DERI. DYES, PIGMENTS AND OTHER COLOURING MATTER; PAINTS AND VER; PUTTY AND OTHER MASTICS; INKS.",0.19,0.33,72.09
30,33,"ESSENTIAL OILS AND RESINOIDS; PERFUMERY, COSMETIC OR TOILET PREPARATIONS.",0.66,0.4,-39.45
31,34,"SOAP, ORGANIC SURFACE-ACTIVE AGENTS, WASHING PREPARATIONS, LUBRICATING PREPARATIONS, ARTIFICIAL WAXES, PREPARED WAXES, POLISHING OR SCOURING PREP.",0.55,0.72,29.16
32,35,ALBUMINOIDAL SUBSTANCES; MODIFIED STARCHES; GLUES; ENZYMES.,0.27,0.12,-57.19
33,36,EXPLOSIVES; PYROTECHNIC PRODUCTS; MATCHES; PYROPHORIC ALLOYS; CERTAIN COMBUSTIBLE PREPARATIONS.,0.01,0.36,2763.68
34,37,PHOTOGRAPHIC OR CINEMATOGRAPHIC GOODS.,0.0,0.0,372.66
35,38,MISCELLANEOUS CHEMICAL PRODUCTS.,0.32,1.14,256.01
36,39,PLASTIC AND ARTICLES THEREOF.,12.4,9.5,-23.43
37,40,RUBBER AND ARTICLES THEREOF.,3.32,3.09,-7.15
38,42,"ARTICLES OF LEATHER,SADDLERY AND HARNESS;TRAVEL GOODS, HANDBAGS AND SIMILAR CONT.ARTICLES OF ANIMAL GUT(OTHR THN SILK-WRM)GUT.",1.2,1.22,1.3
39,43,"FURSKINS AND ARTIFICIAL FUR, MANUFACTURES THEREOF.",0.0,0.0,139.1
40,44,WOOD AND ARTICLES OF WOOD; WOOD CHARCOAL.,0.4,0.48,21.36
41,45,CORK AND ARTICLES OF CORK.,0.0,0.0,-95.04
42,46,"MANUFACTURES OF STRAW, OF ESPARTO OR OF OTHER PLAITING MATERIALS; BASKETWARE AND WICKERWORK.",0.11,0.23,109.74
