S.No.,HSCode,Commodity,2022-2023,2023-2024,%Growth
1,01,LIVE ANIMALS.,4.04,11.14,175.6
2,02,MEAT AND EDIBLE MEAT OFFAL.,541.27,774.41,43.07
3,03,"FISH AND CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTABRATES.",265.23,211.54,-20.24
4,04,"DAIRY PRODUCE; BIRDS' EGGS; NATURAL HONEY; EDIBLE PROD. OF ANIMAL ORIGIN, NOT ELSEWHERE SPEC. OR INCLUDED.",194.93,240.3,23.27
5,05,"PRODUCTS OF ANIMAL ORIGIN, NOT ELSEWHERE SPECIFIED OR INCLUDED.",0.18,0.28,53.83
6,06,LIVE TREES AND OTHER PLANTS; BULBS; ROOTS AND THE LIKE; CUT FLOWERS AND ORNAMENTAL FOLIAGE.,8.73,9.33,6.87
7,07,EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,440.4,367.75,-16.5
8,08,EDIBLE FRUIT AND NUTS; PEEL OR CITRUS FRUIT OR MELONS.,506.69,502.76,-0.78
9,09,"COFFEE, TEA, MATE AND SPICES.",606.62,665.05,9.63
10,10,CEREALS.,2426.49,2503.96,3.19
11,11,PRODUCTS OF THE MILLING INDUSTRY; MALT; STARCHES; INULIN; WHEAT GLUTEN.,89.16,52.05,-41.62
12,12,"OIL SEEDS AND OLEA. FRUITS; MISC. GRAINS, SEEDS AND FRUIT; INDUSTRIAL OR MEDICINAL PLANTS; STRAW AND FODDER.",92.69,146.96,58.55
13,13,"LAC; GUMS, RESINS AND OTHER VEGETABLE SAPS AND EXTRACTS.",25.55,23.35,-8.59
14,14,VEGETABLE PLAITING MATERIALS; VEGETABLE PRODUCTS NOT ELSEWHERE SPECIFIED OR INCLUDED.,4.95,5.7,15.02
15,15,ANIMAL OR VEGETABLE FATS AND OILS AND THEIR CLEAVAGE PRODUCTS; PRE. EDIBLE FATS; ANIMAL OR VEGETABLE WAXEX.,85.65,94.92,10.82
16,16,"PREPARATIONS OF MEAT, OF FISH OR OF CRUSTACEANS, MOLLUSCS OR OTHER AQUATIC INVERTEBRATES",4.33,3.83,-11.56
17,17,SUGARS AND SUGAR CONFECTIONERY.,698.62,258.03,-63.07
18,18,COCOA AND COCOA PREPARATIONS.,18.67,25.83,38.35
19,19,"PREPARATIONS OF CEREALS, FLOUR, STARCH OR MILK; PASTRYCOOKS PRODUCTS.",103.86,127.08,22.35
20,20,"PREPARATIONS OF VEGETABLES, FRUIT, NUTS OR OTHER PARTS OF PLANTS.",141.89,172.32,21.45
21,21,MISCELLANEOUS EDIBLE PREPARATIONS.,164.62,180.41,9.59
22,22,"BEVERAGES, SPIRITS AND VINEGAR.",113.17,149.59,32.18
23,23,RESIDUES AND WASTE FROM THE FOOD INDUSTRIES; PREPARED ANIMAL FODER.,82.79,222.17,168.36
24,24,TOBACCO AND MANUFACTURED TOBACCO SUBSTITUTES.,206.04,333.09,61.66
25,25,"SALT; SULPHUR; EARTHS AND STONE; PLASTERING MATERIALS, LIME AND CEMENT.",218.98,257.85,17.75
26,26,"ORES, SLAG AND ASH.",53.84,39.28,-27.04
27,27,"MINERAL FUELS, MINERAL OILS AND PRODUCTS OF THEIR DISTILLATION; BITUMINOUS SUBSTANCES; MINERAL WAXES.",13327.92,11184.95,-16.08
