S.No.,HSCode,Commodity,2023-2024,2024-2025,%Growth
1,02,MEAT AND EDIBLE MEAT OFFAL.,0.0,0.0
2,03,"FISH AND CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTABRATES.",17.39,17.04,-1.97
3,04,"DAIRY PRODUCE; BIRDS' EGGS; NATURAL HONEY; EDIBLE PROD. OF ANIMAL ORIGIN, NOT ELSEWHERE SPEC. OR INCLUDED.",11.83,12.63,6.74
4,05,"PRODUCTS OF ANIMAL ORIGIN, NOT ELSEWHERE SPECIFIED OR INCLUDED.",3.22,4.63,43.77
5,06,LIVE TREES AND OTHER PLANTS; BULBS; ROOTS AND THE LIKE; CUT FLOWERS AND ORNAMENTAL FOLIAGE.,2.56,2.9,13.34
6,07,EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,20.36,23.26,14.24
7,08,EDIBLE FRUIT AND NUTS; PEEL OR CITRUS FRUIT OR MELONS.,9.05,11.05,22.04
8,09,"COFFEE, TEA, MATE AND SPICES.",87.5,102.72,17.39
9,10,CEREALS.,143.73,131.46,-8.54
10,11,PRODUCTS OF THE MILLING INDUSTRY; MALT; STARCHES; INULIN; WHEAT GLUTEN.,21.81,21.95,0.62
11,12,"OIL SEEDS AND OLEA. FRUITS; MISC. GRAINS, SEEDS AND FRUIT; INDUSTRIAL OR MEDICINAL PLANTS; STRAW AND FODDER.",27.48,24.84,-9.59
12,13,"LAC; GUMS, RESINS AND OTHER VEGETABLE SAPS AND EXTRACTS.",29.64,32.41,9.34
13,14,VEGETABLE PLAITING MATERIALS; VEGETABLE PRODUCTS NOT ELSEWHERE SPECIFIED OR INCLUDED.,0.77,1.13,45.8
14,15,ANIMAL OR VEGETABLE FATS AND OILS AND THEIR CLEAVAGE PRODUCTS; PRE. EDIBLE FATS; ANIMAL OR VEGETABLE WAXEX.,34.06,37.83,11.07
15,16,"PREPARATIONS OF MEAT, OF FISH OR OF CRUSTACEANS, MOLLUSCS OR OTHER AQUATIC INVERTEBRATES",2.08,2.88,38.01
16,17,SUGARS AND SUGAR CONFECTIONERY.,7.34,12.56,71.08
17,18,COCOA AND COCOA PREPARATIONS.,0.56,0.69,22.71
18,19,"PREPARATIONS OF CEREALS, FLOUR, STARCH OR MILK; PASTRYCOOKS PRODUCTS.",35.3,41.57,17.77
19,20,"PREPARATIONS OF VEGETABLES, FRUIT, NUTS OR OTHER PARTS OF PLANTS.",46.17,55.22,19.6
20,21,MISCELLANEOUS EDIBLE PREPARATIONS.,81.63,95.35,16.81
21,22,"BEVERAGES, SPIRITS AND VINEGAR.",5.84,6.28,7.6
22,23,RESIDUES AND WASTE FROM THE FOOD INDUSTRIES; PREPARED ANIMAL FODER.,8.05,17.62,119.02
23,24,TOBACCO AND MANUFACTURED TOBACCO SUBSTITUTES.,0.66,2.02,207.8
24,25,"SALT; SULPHUR; EARTHS AND STONE; PLASTERING MATERIALS, LIME AND CEMENT.",12.67,9.94,-21.57
25,26,"ORES, SLAG AND ASH.",1.0,0.54,-46.24
26,27,"MINERAL FUELS, MINERAL OILS AND PRODUCTS OF THEIR DISTILLATION; BITUMINOUS SUBSTANCES; MINERAL WAXES.",3925.94,4670.19,18.96
27,28,"INORGANIC CHEMICALS; ORGANIC OR INORGANIC COMPOUNDS OF PRECIOUS METALS, OF RARE-EARTH METALS, OR RADI. ELEM. OR OF ISOTOPES.",31.1,36.91,18.67
28,29,ORGANIC CHEMICALS,65.47,70.72,8.02
29,30,PHARMACEUTICAL PRODUCTS,518.7,517.88,-0.16
30,31,FERTILISERS.,0.61,0.82,34.42
31,32,"TANNING OR DYEING EXTRACTS; TANNINS AND THEIR DERI. DYES, PIGMENTS AND OTHER COLOURING MATTER; PAINTS AND VER; PUTTY AND OTHER MASTICS; INKS.",27.27,28.89,5.96
32,33,"ESSENTIAL OILS AND RESINOIDS; PERFUMERY, COSMETIC OR TOILET PREPARATIONS.",38.55,37.51,-2.68
33,34,"SOAP, ORGANIC SURFACE-ACTIVE AGENTS, WASHING PREPARATIONS, LUBRICATING PREPARATIONS, ARTIFICIAL WAXES, PREPARED WAXES, POLISHING OR SCOURING PREP.",15.35,18.27,19.07
34,35,ALBUMINOIDAL SUBSTANCES; MODIFIED STARCHES; GLUES; ENZYMES.,2.69,2.66,-1.0
35,36,EXPLOSIVES; PYROTECHNIC PRODUCTS; MATCHES; PYROPHORIC ALLOYS; CERTAIN COMBUSTIBLE PREPARATIONS.,15.2,19.35,27.24
36,37,PHOTOGRAPHIC OR CINEMATOGRAPHIC GOODS.,0.08,0.04,-44.79
37,38,MISCELLANEOUS CHEMICAL PRODUCTS.,74.16,100.07,34.94
38,39,PLASTIC AND ARTICLES THEREOF.,104.84,120.64,15.07
39,40,RUBBER AND ARTICLES THEREOF.,93.78,100.37,7.03
40,41,RAW HIDES AND SKINS (OTHER THAN FURSKINS) AND LEATHER,3.15,1.6,-49.24
41,42,"ARTICLES OF LEATHER,SADDLERY AND HARNESS;TRAVEL GOODS, HANDBAGS AND SIMILAR CONT.ARTICLES OF ANIMAL GUT(OTHR THN SILK-WRM)GUT.",80.47,76.76,-4.61
42,43,"FURSKINS AND ARTIFICIAL FUR, MANUFACTURES THEREOF.",0.39,0.1,-75.18
43,44,WOOD AND ARTICLES OF WOOD; WOOD CHARCOAL.,13.46,13.09,-2.75
44,45,CORK AND ARTICLES OF CORK.,0.09,0.05,-45.66
45,46,"MANUFACTURES OF STRAW, OF ESPARTO OR OF OTHER PLAITING MATERIALS; BASKETWARE AND WICKERWORK.",1.52,1.37,-9.77
46,47,PULP OF WOOD OR OF OTHER FIBROUS CELLULOSIC MATERIAL; WASTE AND SCRAP OF PAPER OR PAPERBOARD.,0.0,0.0,-98.58
47,48,"PAPER AND PAPERBOARD; ARTICLES OF PAPER PULP, OF PAPER OR OF PAPERBOARD.",42.36,57.84,36.53
48,49,"PRINTED BOOKDS, NEWSPAPERS, PICTURES AND OTHER PRODUCTS OF THE PRINTING INDUSTRY; MANUSCRIPTS, TYPESCRIPTS AND PLANS.",6.32,6.73,6.4
49,50,SILK,0.66,0.83,27.25
50,51,"WOOL, FINE OR COARSE ANIMAL HAIR, HORSEHAIR YARN AND WOVEN FABRIC.",7.9,7.62,-3.55
51,52,COTTON.,6.54,5.22,-20.2
52,53,OTHER VEGETABLE TEXTILE FIBRES; PAPER YARN AND WOVEN FABRICS OF PAPER YARN.,15.39,17.15,11.44
53,54,MAN-MADE FILAMENTS.,35.12,38.01,8.24
54,55,MAN-MADE STAPLE FIBRES.,9.16,7.46,-18.51
55,56,"WADDING, FELT AND NONWOVENS; SPACIAL YARNS; TWINE, CORDAGE, ROPES AND CABLES AND ARTICLES THEREOF.",15.33,19.53,27.36
56,57,CARPETS AND OTHER TEXTILE FLOOR COVERINGS.,79.52,92.71,16.59
57,58,SPECIAL WOVEN FABRICS; TUFTED TEXTILE FABRICS; LACE; TAPESTRIES; TRIMMINGS; EMBROIDERY.,2.14,1.77,-17.33
58,59,"IMPREGNATED, COATED, COVERED OR LAMINATED TEXTILE FABRICS; TEXTILE ARTICLES OF A KIND SUITABLE FOR INDUSTRIAL USE.",5.65,7.6,34.41
59,60,KNITTED OR CROCHETED FABRICS.,0.52,0.46,-12.01
60,61,"ARTICLES OF APPAREL AND CLOTHING ACCESSORIES, KNITTED OR CORCHETED.",161.02,197.23,22.49
61,62,"ARTICLES OF APPAREL AND CLOTHING ACCESSORIES, NOT KNITTED OR CROCHETED.",208.97,203.42,-2.66
62,63,OTHER MADE UP TEXTILE ARTICLES; SETS; WORN CLOTHING AND WORN TEXTILE ARTICLES; RAGS,208.9,239.41,14.6
63,64,"FOOTWEAR, GAITERS AND THE LIKE; PARTS OF SUCH ARTICLES.",32.64,30.86,-5.45
64,65,HEADGEAR AND PARTS THEREOF.,3.3,3.75,13.61
65,66,"UMBRELLAS, SUN UMBRELLAS, WALKING-STICKS, SEAT-STICKS, WHIPS,RIDING-CROPS AND PARTS THEREOF.",0.44,0.06,-86.44
