S.No.,HSCode,Commodity,2023-2024,2024-2025,%Growth
1,02,MEAT AND EDIBLE MEAT OFFAL.,74.01,71.24,-3.74
2,03,"FISH AND CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTABRATES.",156.53,136.03,-13.1
3,04,"DAIRY PRODUCE; BIRDS' EGGS; NATURAL HONEY; EDIBLE PROD. OF ANIMAL ORIGIN, NOT ELSEWHERE SPEC. OR INCLUDED.",3.72,19.11,413.95
4,05,"PRODUCTS OF ANIMAL ORIGIN, NOT ELSEWHERE SPECIFIED OR INCLUDED.",0.04,0.02,-41.61
5,06,LIVE TREES AND OTHER PLANTS; BULBS; ROOTS AND THE LIKE; CUT FLOWERS AND ORNAMENTAL FOLIAGE.,0.16,0.08,-48.56
6,07,EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,31.26,40.82,30.57
7,08,EDIBLE FRUIT AND NUTS; PEEL OR CITRUS FRUIT OR MELONS.,38.25,41.33,8.05
8,09,"COFFEE, TEA, MATE AND SPICES.",111.94,118.56,5.92
9,10,CEREALS.,86.42,108.58,25.64
10,11,PRODUCTS OF THE MILLING INDUSTRY; MALT; STARCHES; INULIN; WHEAT GLUTEN.,1.51,0.3,-79.83
11,12,"OIL SEEDS AND OLEA. FRUITS; MISC. GRAINS, SEEDS AND FRUIT; INDUSTRIAL OR MEDICINAL PLANTS; STRAW AND FODDER.",76.2,82.13,7.78
12,13,"LAC; GUMS, RESINS AND OTHER VEGETABLE SAPS AND EXTRACTS.",76.92,73.59,-4.33
13,14,VEGETABLE PLAITING MATERIALS; VEGETABLE PRODUCTS NOT ELSEWHERE SPECIFIED OR INCLUDED.,0.05,0.1,109.05
14,15,ANIMAL OR VEGETABLE FATS AND OILS AND THEIR CLEAVAGE PRODUCTS; PRE. EDIBLE FATS; ANIMAL OR VEGETABLE WAXEX.,34.84,51.86,48.86
15,16,"PREPARATIONS OF MEAT, OF FISH OR OF CRUSTACEANS, MOLLUSCS OR OTHER AQUATIC INVERTEBRATES",6.28,7.83,24.71
16,17,SUGARS AND SUGAR CONFECTIONERY.,3.23,2.28,-29.55
17,18,COCOA AND COCOA PREPARATIONS.,0.12,0.35,199.51
18,19,"PREPARATIONS OF CEREALS, FLOUR, STARCH OR MILK; PASTRYCOOKS PRODUCTS.",0.93,0.57,-38.05
19,20,"PREPARATIONS OF VEGETABLES, FRUIT, NUTS OR OTHER PARTS OF PLANTS.",37.4,46.56,24.49
20,21,MISCELLANEOUS EDIBLE PREPARATIONS.,100.06,120.34,20.27
21,22,"BEVERAGES, SPIRITS AND VINEGAR.",5.9,3.87,-34.38
22,23,RESIDUES AND WASTE FROM THE FOOD INDUSTRIES; PREPARED ANIMAL FODER.,2.9,6.33,117.93
23,24,TOBACCO AND MANUFACTURED TOBACCO SUBSTITUTES.,122.31,113.46,-7.23
24,25,"SALT; SULPHUR; EARTHS AND STONE; PLASTERING MATERIALS, LIME AND CEMENT.",9.49,15.38,61.96
25,26,"ORES, SLAG AND ASH.",0.0,0.02
26,27,"MINERAL FUELS, MINERAL OILS AND PRODUCTS OF THEIR DISTILLATION; BITUMINOUS SUBSTANCES; MINERAL WAXES.",18.2,14.12,-22.45
27,28,"INORGANIC CHEMICALS; ORGANIC OR INORGANIC COMPOUNDS OF PRECIOUS METALS, OF RARE-EARTH METALS, OR RADI. ELEM. OR OF ISOTOPES.",219.86,246.7,12.21
28,29,ORGANIC CHEMICALS,354.02,386.66,9.22
29,30,PHARMACEUTICAL PRODUCTS,525.81,548.77,4.37
30,31,FERTILISERS.,0.49,0.25,-48.68
31,32,"TANNING OR DYEING EXTRACTS; TANNINS AND THEIR DERI. DYES, PIGMENTS AND OTHER COLOURING MATTER; PAINTS AND VER; PUTTY AND OTHER MASTICS; INKS.",66.02,81.35,23.22
32,33,"ESSENTIAL OILS AND RESINOIDS; PERFUMERY, COSMETIC OR TOILET PREPARATIONS.",23.45,25.74,9.78
33,34,"SOAP, ORGANIC SURFACE-ACTIVE AGENTS, WASHING PREPARATIONS, LUBRICATING PREPARATIONS, ARTIFICIAL WAXES, PREPARED WAXES, POLISHING OR SCOURING PREP.",34.54,32.36,-6.3
34,35,ALBUMINOIDAL SUBSTANCES; MODIFIED STARCHES; GLUES; ENZYMES.,10.79,12.08,11.91
35,36,EXPLOSIVES; PYROTECHNIC PRODUCTS; MATCHES; PYROPHORIC ALLOYS; CERTAIN COMBUSTIBLE PREPARATIONS.,2.45,8.36,240.88
36,37,PHOTOGRAPHIC OR CINEMATOGRAPHIC GOODS.,0.92,0.57,-38.33
37,38,MISCELLANEOUS CHEMICAL PRODUCTS.,146.96,181.51,23.51
38,39,PLASTIC AND ARTICLES THEREOF.,92.21,129.32,40.24
39,40,RUBBER AND ARTICLES THEREOF.,83.65,96.85,15.78
40,41,RAW HIDES AND SKINS (OTHER THAN FURSKINS) AND LEATHER,9.35,8.35,-10.7
41,42,"ARTICLES OF LEATHER,SADDLERY AND HARNESS;TRAVEL GOODS, HANDBAGS AND SIMILAR CONT.ARTICLES OF ANIMAL GUT(OTHR THN SILK-WRM)GUT.",17.21,15.72,-8.68
42,43,"FURSKINS AND ARTIFICIAL FUR, MANUFACTURES THEREOF.",0.0,0.01,176.58
43,44,WOOD AND ARTICLES OF WOOD; WOOD CHARCOAL.,1.41,1.13,-19.92
44,45,CORK AND ARTICLES OF CORK.,0.04,0.05,24.54
45,46,"MANUFACTURES OF STRAW, OF ESPARTO OR OF OTHER PLAITING MATERIALS; BASKETWARE AND WICKERWORK.",0.02,0.03,31.61
46,47,PULP OF WOOD OR OF OTHER FIBROUS CELLULOSIC MATERIAL; WASTE AND SCRAP OF PAPER OR PAPERBOARD.,0.0,0.0
47,48,"PAPER AND PAPERBOARD; ARTICLES OF PAPER PULP, OF PAPER OR OF PAPERBOARD.",19.46,25.84,32.81
48,49,"PRINTED BOOKDS, NEWSPAPERS, PICTURES AND OTHER PRODUCTS OF THE PRINTING INDUSTRY; MANUSCRIPTS, TYPESCRIPTS AND PLANS.",0.38,0.35,-9.6
49,50,SILK,0.02,0.08,309.01
50,51,"WOOL, FINE OR COARSE ANIMAL HAIR, HORSEHAIR YARN AND WOVEN FABRIC.",0.83,3.86,366.61
51,52,COTTON.,2.86,3.75,31.44
52,53,OTHER VEGETABLE TEXTILE FIBRES; PAPER YARN AND WOVEN FABRICS OF PAPER YARN.,4.94,5.44,9.98
53,54,MAN-MADE FILAMENTS.,15.1,29.41,94.75
54,55,MAN-MADE STAPLE FIBRES.,10.55,9.18,-13.06
55,56,"WADDING, FELT AND NONWOVENS; SPACIAL YARNS; TWINE, CORDAGE, ROPES AND CABLES AND ARTICLES THEREOF.",3.55,3.94,10.92
56,57,CARPETS AND OTHER TEXTILE FLOOR COVERINGS.,13.0,9.81,-24.59
57,58,SPECIAL WOVEN FABRICS; TUFTED TEXTILE FABRICS; LACE; TAPESTRIES; TRIMMINGS; EMBROIDERY.,0.45,0.41,-9.89
58,59,"IMPREGNATED, COATED, COVERED OR LAMINATED TEXTILE FABRICS; TEXTILE ARTICLES OF A KIND SUITABLE FOR INDUSTRIAL USE.",1.64,3.53,115.12
59,60,KNITTED OR CROCHETED FABRICS.,0.09,0.17,98.08
60,61,"ARTICLES OF APPAREL AND CLOTHING ACCESSORIES, KNITTED OR CORCHETED.",18.57,26.7,43.81
61,62,"ARTICLES OF APPAREL AND CLOTHING ACCESSORIES, NOT KNITTED OR CROCHETED.",33.67,73.71,118.88
62,63,OTHER MADE UP TEXTILE ARTICLES; SETS; WORN CLOTHING AND WORN TEXTILE ARTICLES; RAGS,10.0,12.72,27.11
63,64,"FOOTWEAR, GAITERS AND THE LIKE; PARTS OF SUCH ARTICLES.",39.21,33.2,-15.33
64,65,HEADGEAR AND PARTS THEREOF.,8.14,0.61,-92.52
65,66,"UMBRELLAS, SUN UMBRELLAS, WALKING-STICKS, SEAT-STICKS, WHIPS,RIDING-CROPS AND PARTS THEREOF.",0.0,0.01,1621.27
66,67,PREPARED FEATHERS AND DOWN AND ARTICLES MADE OF FEATHERS OR OF DOWN; ARTIFICIAL FLOWERS; ARTICLES OF HUMAN HAIR.,0.19,0.81,319.03
67,68,"ARTICLES OF STONE, PLASTER, CEMENT, ASBESTOS, MICA OR SIMILAR MATERIALS.",30.95,31.68,2.37
68,69,CERAMIC PRODUCTS.,156.49,162.29,3.71
69,70,GLASS AND GLASSWARE.,6.03,7.0,16.13
70,71,"NATURAL OR CULTURED PEARLS,PRECIOUS OR SEMIPRECIOUS STONES,PRE.METALS,CLAD WITH PRE.METAL AND ARTCLS THEREOF;IMIT.JEWLRY;COIN.",44.36,44.88,1.19
71,72,IRON AND STEEL,284.56,136.89,-51.89
72,73,ARTICLES OF IRON OR STEEL,81.29,80.96,-0.41
73,74,COPPER AND ARTICLES THEREOF.,11.01,10.66,-3.14
74,75,NICKEL AND ARTICLES THEREOF.,0.75,0.51,-31.98
75,76,ALUMINIUM AND ARTICLES THEREOF.,7.4,24.19,226.85
76,78,LEAD AND ARTICLES THEREOF.,0.04,0.04,3.56
77,79,ZINC AND ARTICLES THEREOF.,1.41,2.08,47.8
78,80,TIN AND ARTICLES THEREOF.,0.0,0.0,-91.4
79,81,OTHER BASE METALS; CERMETS; ARTICLES THEREOF.,0.37,0.1,-71.94
80,82,"TOOLS IMPLEMENTS, CUTLERY, SPOONS AND FORKS, OF BASE METAL; PARTS THEREOF OF BASE METAL.",42.9,49.75,15.96
81,83,MISCELLANEOUS ARTICLES OF BASE METAL.,11.26,14.02,24.53
82,84,"NUCLEAR REACTORS, BOILERS, MACHINERY AND MECHANICAL APPLIANCES; PARTS THEREOF.",714.07,1205.33,68.8
83,85,"ELECTRICAL MACHINERY AND EQUIPMENT AND PARTS THEREOF; SOUND RECORDERS AND REPRODUCERS, TELEVISION IMAGE AND SOUND RECORDERS AND REPRODUCERS,AND PARTS.",374.43,434.11,15.94
84,86,"RAILWAY OR TRAMWAY LOCOMOTIVES, ROLLING-STOCK AND PARTS THEREOF; RAILWAY OR TRAMWAY TRACK FIXTURES AND FITTINGS AND PARTS THEREOF; MECHANICAL",10.59,2.07,-80.48
85,87,"VEHICLES OTHER THAN RAILWAY OR TRAMWAY ROLLING STOCK, AND PARTS AND ACCESSORIES THEREOF.",60.56,159.38,163.2
86,88,"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF.",67.92,27.47,-59.55
87,89,"SHIPS, BOATS AND FLOATING STRUCTURES.",7.2,0.03,-99.64
88,90,"OPTICAL, PHOTOGRAPHIC CINEMATOGRAPHIC MEASURING, CHECKING PRECISION, MEDICAL OR SURGICAL INST. AND APPARATUS PARTS AND ACCESSORIES THEREOF;",165.08,207.7,25.81
89,91,CLOCKS AND WATCHES AND PARTS THEREOF.,0.44,0.2,-55.26
90,92,MUSICAL INSTRUMENTS; PARTS AND ACCESSORIES OF SUCH ARTICLES.,0.04,0.24,509.67
91,93,ARMS AND AMMUNITION; PARTS AND ACCESSORIES THEREOF.,2.02,74.52,3596.71
