S.No.,HSCode,Commodity,2019-2020,2020-2021,%Growth
1,01,LIVE ANIMALS.,2.87,4.35,51.56
2,02,MEAT AND EDIBLE MEAT OFFAL.,2.81,1.38,-50.79
3,03,"FISH AND CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTABRATES.",2.34,3.02,28.8
4,04,"DAIRY PRODUCE; BIRDS' EGGS; NATURAL HONEY; EDIBLE PROD. OF ANIMAL ORIGIN, NOT ELSEWHERE SPEC. OR INCLUDED.",27.36,21.63,-20.94
5,05,"PRODUCTS OF ANIMAL ORIGIN, NOT ELSEWHERE SPECIFIED OR INCLUDED.",7.71,7.48,-3.01
6,06,LIVE TREES AND OTHER PLANTS; BULBS; ROOTS AND THE LIKE; CUT FLOWERS AND ORNAMENTAL FOLIAGE.,17.37,11.29,-34.99
7,07,EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,12.78,3.8,-70.26
8,08,EDIBLE FRUIT AND NUTS; PEEL OR CITRUS FRUIT OR MELONS.,90.32,47.05,-47.91
9,09,"COFFEE, TEA, MATE AND SPICES.",14.47,11.14,-22.99
10,10,CEREALS.,30.91,3.59,-88.38
11,11,PRODUCTS OF THE MILLING INDUSTRY; MALT; STARCHES; INULIN; WHEAT GLUTEN.,12.93,16.96,31.11
12,12,"OIL SEEDS AND OLEA. FRUITS; MISC. GRAINS, SEEDS AND FRUIT; INDUSTRIAL OR MEDICINAL PLANTS; STRAW AND FODDER.",52.42,61.13,16.62
13,13,"LAC; GUMS, RESINS AND OTHER VEGETABLE SAPS AND EXTRACTS.",28.04,26.72,-4.7
14,14,VEGETABLE PLAITING MATERIALS; VEGETABLE PRODUCTS NOT ELSEWHERE SPECIFIED OR INCLUDED.,0.0,0.02,2494.33
15,15,ANIMAL OR VEGETABLE FATS AND OILS AND THEIR CLEAVAGE PRODUCTS; PRE. EDIBLE FATS; ANIMAL OR VEGETABLE WAXEX.,142.54,245.5,72.23
16,16,"PREPARATIONS OF MEAT, OF FISH OR OF CRUSTACEANS, MOLLUSCS OR OTHER AQUATIC INVERTEBRATES",1.08,0.86,-20.06
17,17,SUGARS AND SUGAR CONFECTIONERY.,49.11,67.31,37.06
18,18,COCOA AND COCOA PREPARATIONS.,31.63,23.2,-26.65
19,19,"PREPARATIONS OF CEREALS, FLOUR, STARCH OR MILK; PASTRYCOOKS PRODUCTS.",14.16,11.63,-17.88
