S.No.,HSCode,Commodity,2019-2020,2020-2021,%Growth
1,01,LIVE ANIMALS.,0.0,0.0
2,02,MEAT AND EDIBLE MEAT OFFAL.,0.03,0.09,156.96
3,03,"FISH AND CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTABRATES.",0.14,0.15,8.23
4,04,"DAIRY PRODUCE; BIRDS' EGGS; NATURAL HONEY; EDIBLE PROD. OF ANIMAL ORIGIN, NOT ELSEWHERE SPEC. OR INCLUDED.",0.07,0.07,9.48
5,05,"PRODUCTS OF ANIMAL ORIGIN, NOT ELSEWHERE SPECIFIED OR INCLUDED.",0.49,0.37,-22.91
6,07,EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,83.96,32.08,-61.8
7,08,EDIBLE FRUIT AND NUTS; PEEL OR CITRUS FRUIT OR MELONS.,0.58,0.21,-64.08
8,09,"COFFEE, TEA, MATE AND SPICES.",5.24,4.1,-21.76
9,10,CEREALS.,50.23,2.11,-95.79
10,11,PRODUCTS OF THE MILLING INDUSTRY; MALT; STARCHES; INULIN; WHEAT GLUTEN.,0.14,1.18,720.41
11,12,"OIL SEEDS AND OLEA. FRUITS; MISC. GRAINS, SEEDS AND FRUIT; INDUSTRIAL OR MEDICINAL PLANTS; STRAW AND FODDER.",1.56,1.2,-23.26
12,13,"LAC; GUMS, RESINS AND OTHER VEGETABLE SAPS AND EXTRACTS.",0.0,0.0
13,15,ANIMAL OR VEGETABLE FATS AND OILS AND THEIR CLEAVAGE PRODUCTS; PRE. EDIBLE FATS; ANIMAL OR VEGETABLE WAXEX.,1787.18,1900.11,6.32
14,16,"PREPARATIONS OF MEAT, OF FISH OR OF CRUSTACEANS, MOLLUSCS OR OTHER AQUATIC INVERTEBRATES",0.01,0.0
15,17,SUGARS AND SUGAR CONFECTIONERY.,0.01,0.03,143.41
16,18,COCOA AND COCOA PREPARATIONS.,0.0,0.0,-98.35
17,19,"PREPARATIONS OF CEREALS, FLOUR, STARCH OR MILK; PASTRYCOOKS PRODUCTS.",0.05,0.0,-99.33
18,20,"PREPARATIONS OF VEGETABLES, FRUIT, NUTS OR OTHER PARTS OF PLANTS.",1.28,0.04,-96.77
19,21,MISCELLANEOUS EDIBLE PREPARATIONS.,0.03,0.27,773.8
20,22,"BEVERAGES, SPIRITS AND VINEGAR.",0.57,0.33,-42.67
21,23,RESIDUES AND WASTE FROM THE FOOD INDUSTRIES; PREPARED ANIMAL FODER.,19.12,9.7,-49.3
22,24,TOBACCO AND MANUFACTURED TOBACCO SUBSTITUTES.,0.0,0.0
23,25,"SALT; SULPHUR; EARTHS AND STONE; PLASTERING MATERIALS, LIME AND CEMENT.",161.61,114.11,-29.39
24,26,"ORES, SLAG AND ASH.",119.26,98.59,-17.33
25,27,"MINERAL FUELS, MINERAL OILS AND PRODUCTS OF THEIR DISTILLATION; BITUMINOUS SUBSTANCES; MINERAL WAXES.",3463.58,2395.67,-30.83
26,28,"INORGANIC CHEMICALS; ORGANIC OR INORGANIC COMPOUNDS OF PRECIOUS METALS, OF RARE-EARTH METALS, OR RADI. ELEM. OR OF ISOTOPES.",170.95,196.6,15.0
27,29,ORGANIC CHEMICALS,63.74,69.59,9.18
28,30,PHARMACEUTICAL PRODUCTS,7.47,4.29,-42.59
29,31,FERTILISERS.,758.59,1099.26,44.91
30,32,"TANNING OR DYEING EXTRACTS; TANNINS AND THEIR DERI. DYES, PIGMENTS AND OTHER COLOURING MATTER; PAINTS AND VER; PUTTY AND OTHER MASTICS; INKS.",10.05,9.49,-5.57
31,33,"ESSENTIAL OILS AND RESINOIDS; PERFUMERY, COSMETIC OR TOILET PREPARATIONS.",0.34,0.46,33.88
32,34,"SOAP, ORGANIC SURFACE-ACTIVE AGENTS, WASHING PREPARATIONS, LUBRICATING PREPARATIONS, ARTIFICIAL WAXES, PREPARED WAXES, POLISHING OR SCOURING PREP.",1.95,0.57,-70.61
33,35,ALBUMINOIDAL SUBSTANCES; MODIFIED STARCHES; GLUES; ENZYMES.,0.65,0.04,-93.13
34,36,EXPLOSIVES; PYROTECHNIC PRODUCTS; MATCHES; PYROPHORIC ALLOYS; CERTAIN COMBUSTIBLE PREPARATIONS.,0.15,0.12,-23.56
35,38,MISCELLANEOUS CHEMICAL PRODUCTS.,18.52,15.72,-15.12
36,39,PLASTIC AND ARTICLES THEREOF.,251.25,121.06,-51.82
37,40,RUBBER AND ARTICLES THEREOF.,75.99,102.68,35.12
38,41,RAW HIDES AND SKINS (OTHER THAN FURSKINS) AND LEATHER,9.9,3.6,-63.6
39,42,"ARTICLES OF LEATHER,SADDLERY AND HARNESS;TRAVEL GOODS, HANDBAGS AND SIMILAR CONT.ARTICLES OF ANIMAL GUT(OTHR THN SILK-WRM)GUT.",0.0,0.0,36.25
40,44,WOOD AND ARTICLES OF WOOD; WOOD CHARCOAL.,43.84,46.73,6.6
41,45,CORK AND ARTICLES OF CORK.,0.01,0.03,304.84
42,47,PULP OF WOOD OR OF OTHER FIBROUS CELLULOSIC MATERIAL; WASTE AND SCRAP OF PAPER OR PAPERBOARD.,16.37,10.42,-36.33
43,48,"PAPER AND PAPERBOARD; ARTICLES OF PAPER PULP, OF PAPER OR OF PAPERBOARD.",246.9,121.43,-50.82
44,49,"PRINTED BOOKDS, NEWSPAPERS, PICTURES AND OTHER PRODUCTS OF THE PRINTING INDUSTRY; MANUSCRIPTS, TYPESCRIPTS AND PLANS.",89.8,70.01,-22.04
45,50,SILK,0.24,0.0
46,51,"WOOL, FINE OR COARSE ANIMAL HAIR, HORSEHAIR YARN AND WOVEN FABRIC.",5.11,1.75,-65.64
47,52,COTTON.,0.0,0.0,-96.18
48,53,OTHER VEGETABLE TEXTILE FIBRES; PAPER YARN AND WOVEN FABRICS OF PAPER YARN.,0.14,0.82,480.44
49,54,MAN-MADE FILAMENTS.,0.64,1.19,87.59
50,55,MAN-MADE STAPLE FIBRES.,7.25,1.7,-76.62
51,56,"WADDING, FELT AND NONWOVENS; SPACIAL YARNS; TWINE, CORDAGE, ROPES AND CABLES AND ARTICLES THEREOF.",0.02,0.03,30.52
52,57,CARPETS AND OTHER TEXTILE FLOOR COVERINGS.,0.0,0.01,8779.88
53,58,SPECIAL WOVEN FABRICS; TUFTED TEXTILE FABRICS; LACE; TAPESTRIES; TRIMMINGS; EMBROIDERY.,0.02,0.0,-96.31
54,59,"IMPREGNATED, COATED, COVERED OR LAMINATED TEXTILE FABRICS; TEXTILE ARTICLES OF A KIND SUITABLE FOR INDUSTRIAL USE.",7.13,4.13,-42.1
