S.No.,HSCode,Commodity,2019-2020,2020-2021,%Growth
1,01,LIVE ANIMALS.,0.0,0.54,40984.43
2,02,MEAT AND EDIBLE MEAT OFFAL.,0.0,0.0,-99.51
3,03,"FISH AND CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTABRATES.",5.03,18.7,272.07
4,04,"DAIRY PRODUCE; BIRDS' EGGS; NATURAL HONEY; EDIBLE PROD. OF ANIMAL ORIGIN, NOT ELSEWHERE SPEC. OR INCLUDED.",0.39,0.37,-6.15
5,05,"PRODUCTS OF ANIMAL ORIGIN, NOT ELSEWHERE SPECIFIED OR INCLUDED.",0.0,0.0
6,06,LIVE TREES AND OTHER PLANTS; BULBS; ROOTS AND THE LIKE; CUT FLOWERS AND ORNAMENTAL FOLIAGE.,0.25,0.09,-62.72
7,07,EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,21.25,28.11,32.28
8,08,EDIBLE FRUIT AND NUTS; PEEL OR CITRUS FRUIT OR MELONS.,236.93,301.79,27.38
9,09,"COFFEE, TEA, MATE AND SPICES.",20.43,11.07,-45.84
10,10,CEREALS.,0.46,0.67,45.0
11,11,PRODUCTS OF THE MILLING INDUSTRY; MALT; STARCHES; INULIN; WHEAT GLUTEN.,3.39,3.76,10.8
12,12,"OIL SEEDS AND OLEA. FRUITS; MISC. GRAINS, SEEDS AND FRUIT; INDUSTRIAL OR MEDICINAL PLANTS; STRAW AND FODDER.",7.79,32.57,318.34
13,13,"LAC; GUMS, RESINS AND OTHER VEGETABLE SAPS AND EXTRACTS.",2.0,1.53,-23.31
14,14,VEGETABLE PLAITING MATERIALS; VEGETABLE PRODUCTS NOT ELSEWHERE SPECIFIED OR INCLUDED.,0.0,0.0
15,15,ANIMAL OR VEGETABLE FATS AND OILS AND THEIR CLEAVAGE PRODUCTS; PRE. EDIBLE FATS; ANIMAL OR VEGETABLE WAXEX.,22.56,7.29,-67.68
16,16,"PREPARATIONS OF MEAT, OF FISH OR OF CRUSTACEANS, MOLLUSCS OR OTHER AQUATIC INVERTEBRATES",0.0,0.01
17,17,SUGARS AND SUGAR CONFECTIONERY.,2.49,2.2,-11.75
18,18,COCOA AND COCOA PREPARATIONS.,6.18,4.82,-21.98
19,19,"PREPARATIONS OF CEREALS, FLOUR, STARCH OR MILK; PASTRYCOOKS PRODUCTS.",1.37,1.8,31.06
20,20,"PREPARATIONS OF VEGETABLES, FRUIT, NUTS OR OTHER PARTS OF PLANTS.",0.83,1.0,20.27
21,21,MISCELLANEOUS EDIBLE PREPARATIONS.,4.62,5.1,10.35
22,22,"BEVERAGES, SPIRITS AND VINEGAR.",26.66,7.8,-70.74
23,23,RESIDUES AND WASTE FROM THE FOOD INDUSTRIES; PREPARED ANIMAL FODER.,14.54,19.18,31.91
24,24,TOBACCO AND MANUFACTURED TOBACCO SUBSTITUTES.,2.51,2.3,-8.37
25,25,"SALT; SULPHUR; EARTHS AND STONE; PLASTERING MATERIALS, LIME AND CEMENT.",767.02,762.13,-0.64
26,26,"ORES, SLAG AND ASH.",93.52,160.72,71.85
27,27,"MINERAL FUELS, MINERAL OILS AND PRODUCTS OF THEIR DISTILLATION; BITUMINOUS SUBSTANCES; MINERAL WAXES.",55617.21,37847.56,-31.95
28,28,"INORGANIC CHEMICALS; ORGANIC OR INORGANIC COMPOUNDS OF PRECIOUS METALS, OF RARE-EARTH METALS, OR RADI. ELEM. OR OF ISOTOPES.",497.55,543.06,9.15
29,29,ORGANIC CHEMICALS,2261.7,1911.99,-15.46
30,30,PHARMACEUTICAL PRODUCTS,0.83,2.74,232.13
31,31,FERTILISERS.,2128.89,1735.18,-18.49
32,32,"TANNING OR DYEING EXTRACTS; TANNINS AND THEIR DERI. DYES, PIGMENTS AND OTHER COLOURING MATTER; PAINTS AND VER; PUTTY AND OTHER MASTICS; INKS.",48.75,46.61,-4.39
33,33,"ESSENTIAL OILS AND RESINOIDS; PERFUMERY, COSMETIC OR TOILET PREPARATIONS.",383.15,34.24,-91.06
34,34,"SOAP, ORGANIC SURFACE-ACTIVE AGENTS, WASHING PREPARATIONS, LUBRICATING PREPARATIONS, ARTIFICIAL WAXES, PREPARED WAXES, POLISHING OR SCOURING PREP.",10.55,14.73,39.63
35,35,ALBUMINOIDAL SUBSTANCES; MODIFIED STARCHES; GLUES; ENZYMES.,4.03,2.15,-46.78
36,37,PHOTOGRAPHIC OR CINEMATOGRAPHIC GOODS.,0.16,0.73,360.61
37,38,MISCELLANEOUS CHEMICAL PRODUCTS.,268.98,267.43,-0.58
38,39,PLASTIC AND ARTICLES THEREOF.,1755.16,1729.55,-1.46
39,40,RUBBER AND ARTICLES THEREOF.,73.03,57.7,-21.0
40,41,RAW HIDES AND SKINS (OTHER THAN FURSKINS) AND LEATHER,48.58,25.56,-47.39
41,42,"ARTICLES OF LEATHER,SADDLERY AND HARNESS;TRAVEL GOODS, HANDBAGS AND SIMILAR CONT.ARTICLES OF ANIMAL GUT(OTHR THN SILK-WRM)GUT.",3.51,1.32,-62.44
42,44,WOOD AND ARTICLES OF WOOD; WOOD CHARCOAL.,13.51,8.79,-34.94
43,45,CORK AND ARTICLES OF CORK.,0.01,0.0,-84.23
44,46,"MANUFACTURES OF STRAW, OF ESPARTO OR OF OTHER PLAITING MATERIALS; BASKETWARE AND WICKERWORK.",0.01,0.0,-75.02
45,47,PULP OF WOOD OR OF OTHER FIBROUS CELLULOSIC MATERIAL; WASTE AND SCRAP OF PAPER OR PAPERBOARD.,125.84,107.66,-14.45
46,48,"PAPER AND PAPERBOARD; ARTICLES OF PAPER PULP, OF PAPER OR OF PAPERBOARD.",39.53,21.76,-44.95
47,49,"PRINTED BOOKDS, NEWSPAPERS, PICTURES AND OTHER PRODUCTS OF THE PRINTING INDUSTRY; MANUSCRIPTS, TYPESCRIPTS AND PLANS.",3.03,2.05,-32.5
48,50,SILK,0.08,0.61,633.16
49,51,"WOOL, FINE OR COARSE ANIMAL HAIR, HORSEHAIR YARN AND WOVEN FABRIC.",4.61,3.98,-13.49
50,52,COTTON.,9.39,1.06,-88.68
51,53,OTHER VEGETABLE TEXTILE FIBRES; PAPER YARN AND WOVEN FABRICS OF PAPER YARN.,0.01,0.03,305.26
52,54,MAN-MADE FILAMENTS.,8.05,7.67,-4.73
53,55,MAN-MADE STAPLE FIBRES.,4.78,4.5,-6.01
54,56,"WADDING, FELT AND NONWOVENS; SPACIAL YARNS; TWINE, CORDAGE, ROPES AND CABLES AND ARTICLES THEREOF.",4.72,2.29,-51.38
55,57,CARPETS AND OTHER TEXTILE FLOOR COVERINGS.,4.94,4.8,-2.8
56,58,SPECIAL WOVEN FABRICS; TUFTED TEXTILE FABRICS; LACE; TAPESTRIES; TRIMMINGS; EMBROIDERY.,0.7,0.5,-28.83
57,59,"IMPREGNATED, COATED, COVERED OR LAMINATED TEXTILE FABRICS; TEXTILE ARTICLES OF A KIND SUITABLE FOR INDUSTRIAL USE.",1.59,0.55,-65.45
58,60,KNITTED OR CROCHETED FABRICS.,1.35,1.16,-14.01
59,61,"ARTICLES OF APPAREL AND CLOTHING ACCESSORIES, KNITTED OR CORCHETED.",6.05,1.2,-80.22
60,62,"ARTICLES OF APPAREL AND CLOTHING ACCESSORIES, NOT KNITTED OR CROCHETED.",4.39,2.05,-53.3
61,63,OTHER MADE UP TEXTILE ARTICLES; SETS; WORN CLOTHING AND WORN TEXTILE ARTICLES; RAGS,28.83,18.73,-35.03
62,64,"FOOTWEAR, GAITERS AND THE LIKE; PARTS OF SUCH ARTICLES.",11.13,2.85,-74.38
63,65,HEADGEAR AND PARTS THEREOF.,0.18,0.05,-71.86
64,66,"UMBRELLAS, SUN UMBRELLAS, WALKING-STICKS, SEAT-STICKS, WHIPS,RIDING-CROPS AND PARTS THEREOF.",1.22,1.02,-16.11
65,67,PREPARED FEATHERS AND DOWN AND ARTICLES MADE OF FEATHERS OR OF DOWN; ARTIFICIAL FLOWERS; ARTICLES OF HUMAN HAIR.,0.1,0.08,-26.22
66,68,"ARTICLES OF STONE, PLASTER, CEMENT, ASBESTOS, MICA OR SIMILAR MATERIALS.",44.89,25.4,-43.42
67,69,CERAMIC PRODUCTS.,4.04,3.01,-25.59
68,70,GLASS AND GLASSWARE.,37.2,27.54,-25.97
69,71,"NATURAL OR CULTURED PEARLS,PRECIOUS OR SEMIPRECIOUS STONES,PRE.METALS,CLAD WITH PRE.METAL AND ARTCLS THEREOF;IMIT.JEWLRY;COIN.",8280.52,9365.53,13.1
70,72,IRON AND STEEL,666.49,663.25,-0.49
71,73,ARTICLES OF IRON OR STEEL,122.98,65.56,-46.69
72,74,COPPER AND ARTICLES THEREOF.,850.96,626.46,-26.38
73,75,NICKEL AND ARTICLES THEREOF.,18.9,20.47,8.29
74,76,ALUMINIUM AND ARTICLES THEREOF.,711.19,814.23,14.49
75,78,LEAD AND ARTICLES THEREOF.,69.29,70.1,1.17
76,79,ZINC AND ARTICLES THEREOF.,47.41,27.77,-41.42
77,80,TIN AND ARTICLES THEREOF.,0.0,0.03,1801.59
78,81,OTHER BASE METALS; CERMETS; ARTICLES THEREOF.,4.02,2.42,-39.74
79,82,"TOOLS IMPLEMENTS, CUTLERY, SPOONS AND FORKS, OF BASE METAL; PARTS THEREOF OF BASE METAL.",17.62,17.3,-1.77
80,83,MISCELLANEOUS ARTICLES OF BASE METAL.,28.56,20.58,-27.94
81,84,"NUCLEAR REACTORS, BOILERS, MACHINERY AND MECHANICAL APPLIANCES; PARTS THEREOF.",397.57,332.29,-16.42
82,85,"ELECTRICAL MACHINERY AND EQUIPMENT AND PARTS THEREOF; SOUND RECORDERS AND REPRODUCERS, TELEVISION IMAGE AND SOUND RECORDERS AND REPRODUCERS,AND PARTS.",255.09,264.44,3.66
83,86,"RAILWAY OR TRAMWAY LOCOMOTIVES, ROLLING-STOCK AND PARTS THEREOF; RAILWAY OR TRAMWAY TRACK FIXTURES AND FITTINGS AND PARTS THEREOF; MECHANICAL",5.79,3.5,-39.56
84,87,"VEHICLES OTHER THAN RAILWAY OR TRAMWAY ROLLING STOCK, AND PARTS AND ACCESSORIES THEREOF.",23.87,13.66,-42.8
85,88,"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF.",2968.53,454.11,-84.7
86,89,"SHIPS, BOATS AND FLOATING STRUCTURES.",1180.68,859.75,-27.18
87,90,"OPTICAL, PHOTOGRAPHIC CINEMATOGRAPHIC MEASURING, CHECKING PRECISION, MEDICAL OR SURGICAL INST. AND APPARATUS PARTS AND ACCESSORIES THEREOF;",61.18,76.16,24.49
88,91,CLOCKS AND WATCHES AND PARTS THEREOF.,11.71,8.23,-29.71
89,92,MUSICAL INSTRUMENTS; PARTS AND ACCESSORIES OF SUCH ARTICLES.,0.17,0.04,-75.52
90,93,ARMS AND AMMUNITION; PARTS AND ACCESSORIES THEREOF.,0.0,0.0,450.35
91,94,"FURNITURE; BEDDING, MATTRESSES, MATTRESS SUPPORTS, CUSHIONS AND SIMILAR STUFFED FURNISHING; LAMPS AND LIGHTING FITTINGS NOT ELSEWHERE SPECIFIED OR INC",11.97,10.49,-12.31
92,95,"TOYS, GAMES AND SPORTS REQUISITES; PARTS AND ACCESSORIES THEREOF.",2.71,0.9,-66.6
93,96,MISCELLANEOUS MANUFACTURED ARTICLES.,6.11,7.43,21.74
94,97,WORKS OF ART COLLECTORS' PIECES AND ANTIQUES.,7.25,2.43,-66.51
95,98,PROJECT GOODS; SOME SPECIAL USES.,8.26,16.52,100.0
96,99,MISCELLANEOUS GOODS.,3.32,2.37,-28.59
,,Total,80464.64,59589.45,-25.94
