S.No.,HSCode,Commodity,2020-2021,2021-2022,%Growth
1,01,LIVE ANIMALS.,0.0,0.0
2,04,"DAIRY PRODUCE; BIRDS' EGGS; NATURAL HONEY; EDIBLE PROD. OF ANIMAL ORIGIN, NOT ELSEWHERE SPEC. OR INCLUDED.",0.0,0.01,132.31
3,05,"PRODUCTS OF ANIMAL ORIGIN, NOT ELSEWHERE SPECIFIED OR INCLUDED.",0.0,0.0
4,06,LIVE TREES AND OTHER PLANTS; BULBS; ROOTS AND THE LIKE; CUT FLOWERS AND ORNAMENTAL FOLIAGE.,0.0,0.0
5,07,EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,0.84,3.06,265.34
6,08,EDIBLE FRUIT AND NUTS; PEEL OR CITRUS FRUIT OR MELONS.,0.03,0.16,467.39
7,12,"OIL SEEDS AND OLEA. FRUITS; MISC. GRAINS, SEEDS AND FRUIT; INDUSTRIAL OR MEDICINAL PLANTS; STRAW AND FODDER.",0.02,0.41,1890.06
8,13,"LAC; GUMS, RESINS AND OTHER VEGETABLE SAPS AND EXTRACTS.",4.07,12.5,207.17
9,25,"SALT; SULPHUR; EARTHS AND STONE; PLASTERING MATERIALS, LIME AND CEMENT.",5.22,13.42,157.01
10,26,"ORES, SLAG AND ASH.",0.79,10.76,1266.98
11,27,"MINERAL FUELS, MINERAL OILS AND PRODUCTS OF THEIR DISTILLATION; BITUMINOUS SUBSTANCES; MINERAL WAXES.",789.41,188.03,-76.18
12,28,"INORGANIC CHEMICALS; ORGANIC OR INORGANIC COMPOUNDS OF PRECIOUS METALS, OF RARE-EARTH METALS, OR RADI. ELEM. OR OF ISOTOPES.",5.92,16.01,170.15
13,29,ORGANIC CHEMICALS,0.03,0.07,140.37
14,30,PHARMACEUTICAL PRODUCTS,0.12,0.41,236.5
15,31,FERTILISERS.,3.7,1.12,-69.74
16,32,"TANNING OR DYEING EXTRACTS; TANNINS AND THEIR DERI. DYES, PIGMENTS AND OTHER COLOURING MATTER; PAINTS AND VER; PUTTY AND OTHER MASTICS; INKS.",0.03,0.0,-95.51
17,33,"ESSENTIAL OILS AND RESINOIDS; PERFUMERY, COSMETIC OR TOILET PREPARATIONS.",0.0,0.0
18,34,"SOAP, ORGANIC SURFACE-ACTIVE AGENTS, WASHING PREPARATIONS, LUBRICATING PREPARATIONS, ARTIFICIAL WAXES, PREPARED WAXES, POLISHING OR SCOURING PREP.",0.0,0.0
19,38,MISCELLANEOUS CHEMICAL PRODUCTS.,0.0,0.76,2177330.79
20,39,PLASTIC AND ARTICLES THEREOF.,0.22,0.0,-99.81
21,40,RUBBER AND ARTICLES THEREOF.,0.0,0.0,-92.11
22,41,RAW HIDES AND SKINS (OTHER THAN FURSKINS) AND LEATHER,0.1,0.0,-98.74
23,47,PULP OF WOOD OR OF OTHER FIBROUS CELLULOSIC MATERIAL; WASTE AND SCRAP OF PAPER OR PAPERBOARD.,0.0,0.25
24,48,"PAPER AND PAPERBOARD; ARTICLES OF PAPER PULP, OF PAPER OR OF PAPERBOARD.",0.0,0.0,-90.29
25,49,"PRINTED BOOKDS, NEWSPAPERS, PICTURES AND OTHER PRODUCTS OF THE PRINTING INDUSTRY; MANUSCRIPTS, TYPESCRIPTS AND PLANS.",0.0,0.0,-95.15
26,50,SILK,1.99,2.35,18.06
27,51,"WOOL, FINE OR COARSE ANIMAL HAIR, HORSEHAIR YARN AND WOVEN FABRIC.",0.01,0.08,477.71
28,52,COTTON.,1.64,0.0,-99.98
29,61,"ARTICLES OF APPAREL AND CLOTHING ACCESSORIES, KNITTED OR CORCHETED.",0.01,0.0
30,62,"ARTICLES OF APPAREL AND CLOTHING ACCESSORIES, NOT KNITTED OR CROCHETED.",0.0,0.56
31,63,OTHER MADE UP TEXTILE ARTICLES; SETS; WORN CLOTHING AND WORN TEXTILE ARTICLES; RAGS,0.0,0.64,63664.5
32,64,"FOOTWEAR, GAITERS AND THE LIKE; PARTS OF SUCH ARTICLES.",0.0,0.0
33,71,"NATURAL OR CULTURED PEARLS,PRECIOUS OR SEMIPRECIOUS STONES,PRE.METALS,CLAD WITH PRE.METAL AND ARTCLS THEREOF;IMIT.JEWLRY;COIN.",0.0,155.47
34,72,IRON AND STEEL,4.69,1.81,-61.42
35,73,ARTICLES OF IRON OR STEEL,0.01,2.31,22902.78
36,74,COPPER AND ARTICLES THEREOF.,0.02,0.0
37,76,ALUMINIUM AND ARTICLES THEREOF.,0.0,0.03,2039.15
38,78,LEAD AND ARTICLES THEREOF.,0.04,0.0
39,79,ZINC AND ARTICLES THEREOF.,0.41,4.4,962.59
40,81,OTHER BASE METALS; CERMETS; ARTICLES THEREOF.,1.47,0.82,-44.41
41,82,"TOOLS IMPLEMENTS, CUTLERY, SPOONS AND FORKS, OF BASE METAL; PARTS THEREOF OF BASE METAL.",0.0,0.03,2394.3
42,84,"NUCLEAR REACTORS, BOILERS, MACHINERY AND MECHANICAL APPLIANCES; PARTS THEREOF.",0.16,0.01,-92.88
43,85,"ELECTRICAL MACHINERY AND EQUIPMENT AND PARTS THEREOF; SOUND RECORDERS AND REPRODUCERS, TELEVISION IMAGE AND SOUND RECORDERS AND REPRODUCERS,AND PARTS.",0.05,0.13,147.66
