S.No.,HSCode,Commodity,2020-2021,2021-2022,%Growth
1,03,"FISH AND CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTABRATES.",0.18,0.15,-18.49
2,04,"DAIRY PRODUCE; BIRDS' EGGS; NATURAL HONEY; EDIBLE PROD. OF ANIMAL ORIGIN, NOT ELSEWHERE SPEC. OR INCLUDED.",0.04,0.52,1103.01
3,05,"PRODUCTS OF ANIMAL ORIGIN, NOT ELSEWHERE SPECIFIED OR INCLUDED.",0.55,0.78,43.37
4,06,LIVE TREES AND OTHER PLANTS; BULBS; ROOTS AND THE LIKE; CUT FLOWERS AND ORNAMENTAL FOLIAGE.,0.35,0.21,-41.61
5,07,EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,252.48,331.62,31.34
6,08,EDIBLE FRUIT AND NUTS; PEEL OR CITRUS FRUIT OR MELONS.,107.27,138.37,28.99
7,09,"COFFEE, TEA, MATE AND SPICES.",115.67,154.71,33.75
8,10,CEREALS.,0.06,0.0,-99.88
9,11,PRODUCTS OF THE MILLING INDUSTRY; MALT; STARCHES; INULIN; WHEAT GLUTEN.,0.02,0.0,-99.87
10,12,"OIL SEEDS AND OLEA. FRUITS; MISC. GRAINS, SEEDS AND FRUIT; INDUSTRIAL OR MEDICINAL PLANTS; STRAW AND FODDER.",30.03,156.44,421.02
11,13,"LAC; GUMS, RESINS AND OTHER VEGETABLE SAPS AND EXTRACTS.",1.04,2.49,139.71
12,14,VEGETABLE PLAITING MATERIALS; VEGETABLE PRODUCTS NOT ELSEWHERE SPECIFIED OR INCLUDED.,0.04,0.05,34.71
13,15,ANIMAL OR VEGETABLE FATS AND OILS AND THEIR CLEAVAGE PRODUCTS; PRE. EDIBLE FATS; ANIMAL OR VEGETABLE WAXEX.,0.06,0.08,22.18
14,17,SUGARS AND SUGAR CONFECTIONERY.,0.0,0.0,-60.1
15,18,COCOA AND COCOA PREPARATIONS.,5.52,8.46,53.21
16,19,"PREPARATIONS OF CEREALS, FLOUR, STARCH OR MILK; PASTRYCOOKS PRODUCTS.",0.03,0.06,109.04
17,20,"PREPARATIONS OF VEGETABLES, FRUIT, NUTS OR OTHER PARTS OF PLANTS.",0.0,0.0,254.21
18,21,MISCELLANEOUS EDIBLE PREPARATIONS.,0.71,0.85,19.69
19,22,"BEVERAGES, SPIRITS AND VINEGAR.",0.17,0.44,158.51
20,23,RESIDUES AND WASTE FROM THE FOOD INDUSTRIES; PREPARED ANIMAL FODER.,11.01,21.08,91.35
21,25,"SALT; SULPHUR; EARTHS AND STONE; PLASTERING MATERIALS, LIME AND CEMENT.",9.06,15.54,71.41
22,26,"ORES, SLAG AND ASH.",3.56,6.72,88.91
23,27,"MINERAL FUELS, MINERAL OILS AND PRODUCTS OF THEIR DISTILLATION; BITUMINOUS SUBSTANCES; MINERAL WAXES.",0.39,21.28,5371.17
24,28,"INORGANIC CHEMICALS; ORGANIC OR INORGANIC COMPOUNDS OF PRECIOUS METALS, OF RARE-EARTH METALS, OR RADI. ELEM. OR OF ISOTOPES.",17.62,24.81,40.84
25,29,ORGANIC CHEMICALS,3.06,4.76,55.71
26,30,PHARMACEUTICAL PRODUCTS,0.54,0.23,-57.87
27,31,FERTILISERS.,0.0,0.1
28,32,"TANNING OR DYEING EXTRACTS; TANNINS AND THEIR DERI. DYES, PIGMENTS AND OTHER COLOURING MATTER; PAINTS AND VER; PUTTY AND OTHER MASTICS; INKS.",1.32,1.72,30.47
29,33,"ESSENTIAL OILS AND RESINOIDS; PERFUMERY, COSMETIC OR TOILET PREPARATIONS.",14.35,20.66,43.94
30,34,"SOAP, ORGANIC SURFACE-ACTIVE AGENTS, WASHING PREPARATIONS, LUBRICATING PREPARATIONS, ARTIFICIAL WAXES, PREPARED WAXES, POLISHING OR SCOURING PREP.",0.02,0.09,445.1
31,35,ALBUMINOIDAL SUBSTANCES; MODIFIED STARCHES; GLUES; ENZYMES.,0.0,0.78,1721072.99
32,37,PHOTOGRAPHIC OR CINEMATOGRAPHIC GOODS.,0.0,0.14
33,38,MISCELLANEOUS CHEMICAL PRODUCTS.,0.48,0.31,-35.97
34,39,PLASTIC AND ARTICLES THEREOF.,1.07,1.9,78.01
35,40,RUBBER AND ARTICLES THEREOF.,0.43,0.39,-10.53
36,41,RAW HIDES AND SKINS (OTHER THAN FURSKINS) AND LEATHER,2.94,2.74,-6.7
37,42,"ARTICLES OF LEATHER,SADDLERY AND HARNESS;TRAVEL GOODS, HANDBAGS AND SIMILAR CONT.ARTICLES OF ANIMAL GUT(OTHR THN SILK-WRM)GUT.",0.0,0.0
38,44,WOOD AND ARTICLES OF WOOD; WOOD CHARCOAL.,19.48,22.78,16.89
39,46,"MANUFACTURES OF STRAW, OF ESPARTO OR OF OTHER PLAITING MATERIALS; BASKETWARE AND WICKERWORK.",0.0,0.0
40,47,PULP OF WOOD OR OF OTHER FIBROUS CELLULOSIC MATERIAL; WASTE AND SCRAP OF PAPER OR PAPERBOARD.,6.29,12.34,96.07
41,48,"PAPER AND PAPERBOARD; ARTICLES OF PAPER PULP, OF PAPER OR OF PAPERBOARD.",0.02,0.04,94.92
42,49,"PRINTED BOOKDS, NEWSPAPERS, PICTURES AND OTHER PRODUCTS OF THE PRINTING INDUSTRY; MANUSCRIPTS, TYPESCRIPTS AND PLANS.",0.01,0.01,-50.82
43,51,"WOOL, FINE OR COARSE ANIMAL HAIR, HORSEHAIR YARN AND WOVEN FABRIC.",0.78,1.61,106.03
44,52,COTTON.,3.57,3.09,-13.44
45,53,OTHER VEGETABLE TEXTILE FIBRES; PAPER YARN AND WOVEN FABRICS OF PAPER YARN.,3.83,7.65,99.67
46,54,MAN-MADE FILAMENTS.,0.03,0.03,27.14
47,55,MAN-MADE STAPLE FIBRES.,0.0,0.07,1410.66
48,58,SPECIAL WOVEN FABRICS; TUFTED TEXTILE FABRICS; LACE; TAPESTRIES; TRIMMINGS; EMBROIDERY.,0.0,0.04,4676.04
49,59,"IMPREGNATED, COATED, COVERED OR LAMINATED TEXTILE FABRICS; TEXTILE ARTICLES OF A KIND SUITABLE FOR INDUSTRIAL USE.",0.0,0.01,6003.53
50,60,KNITTED OR CROCHETED FABRICS.,0.17,0.79,357.7
51,61,"ARTICLES OF APPAREL AND CLOTHING ACCESSORIES, KNITTED OR CORCHETED.",0.07,0.26,254.0
52,62,"ARTICLES OF APPAREL AND CLOTHING ACCESSORIES, NOT KNITTED OR CROCHETED.",0.7,0.43,-39.03
53,63,OTHER MADE UP TEXTILE ARTICLES; SETS; WORN CLOTHING AND WORN TEXTILE ARTICLES; RAGS,0.24,0.23,-3.6
54,64,"FOOTWEAR, GAITERS AND THE LIKE; PARTS OF SUCH ARTICLES.",0.02,0.0,-99.88
55,65,HEADGEAR AND PARTS THEREOF.,0.0,0.0
56,66,"UMBRELLAS, SUN UMBRELLAS, WALKING-STICKS, SEAT-STICKS, WHIPS,RIDING-CROPS AND PARTS THEREOF.",0.0,0.0
57,68,"ARTICLES OF STONE, PLASTER, CEMENT, ASBESTOS, MICA OR SIMILAR MATERIALS.",0.0,0.0,268.49
58,69,CERAMIC PRODUCTS.,0.0,0.05,1957.89
59,70,GLASS AND GLASSWARE.,0.0,0.0,1815.06
60,71,"NATURAL OR CULTURED PEARLS,PRECIOUS OR SEMIPRECIOUS STONES,PRE.METALS,CLAD WITH PRE.METAL AND ARTCLS THEREOF;IMIT.JEWLRY;COIN.",159.62,588.12,268.46
61,72,IRON AND STEEL,27.65,56.52,104.44
62,73,ARTICLES OF IRON OR STEEL,2.2,1.16,-47.29
63,74,COPPER AND ARTICLES THEREOF.,418.1,1102.77,163.76
64,76,ALUMINIUM AND ARTICLES THEREOF.,7.46,18.59,149.2
65,78,LEAD AND ARTICLES THEREOF.,11.36,24.49,115.56
66,79,ZINC AND ARTICLES THEREOF.,1.87,2.86,53.33
67,80,TIN AND ARTICLES THEREOF.,3.68,1.57,-57.38
68,81,OTHER BASE METALS; CERMETS; ARTICLES THEREOF.,0.0,0.0
69,82,"TOOLS IMPLEMENTS, CUTLERY, SPOONS AND FORKS, OF BASE METAL; PARTS THEREOF OF BASE METAL.",0.07,0.11,68.0
70,83,MISCELLANEOUS ARTICLES OF BASE METAL.,0.0,0.0,10.63
71,84,"NUCLEAR REACTORS, BOILERS, MACHINERY AND MECHANICAL APPLIANCES; PARTS THEREOF.",2.35,3.94,67.38
72,85,"ELECTRICAL MACHINERY AND EQUIPMENT AND PARTS THEREOF; SOUND RECORDERS AND REPRODUCERS, TELEVISION IMAGE AND SOUND RECORDERS AND REPRODUCERS,AND PARTS.",11.89,20.31,70.77
73,86,"RAILWAY OR TRAMWAY LOCOMOTIVES, ROLLING-STOCK AND PARTS THEREOF; RAILWAY OR TRAMWAY TRACK FIXTURES AND FITTINGS AND PARTS THEREOF; MECHANICAL",2.11,2.16,2.33
74,87,"VEHICLES OTHER THAN RAILWAY OR TRAMWAY ROLLING STOCK, AND PARTS AND ACCESSORIES THEREOF.",0.2,0.42,106.76
75,88,"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF.",0.0,0.01
76,89,"SHIPS, BOATS AND FLOATING STRUCTURES.",0.01,0.0
