S.No.,HSCode,Commodity,2020-2021,2021-2022,%Growth
1,03,"FISH AND CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTABRATES.",1.57,3.5,122.59
2,04,"DAIRY PRODUCE; BIRDS' EGGS; NATURAL HONEY; EDIBLE PROD. OF ANIMAL ORIGIN, NOT ELSEWHERE SPEC. OR INCLUDED.",1.46,0.27,-81.39
3,08,EDIBLE FRUIT AND NUTS; PEEL OR CITRUS FRUIT OR MELONS.,0.0,1.6
4,09,"COFFEE, TEA, MATE AND SPICES.",0.0,0.04,10726.15
5,10,CEREALS.,0.0,0.0
6,11,PRODUCTS OF THE MILLING INDUSTRY; MALT; STARCHES; INULIN; WHEAT GLUTEN.,0.0,0.0
7,12,"OIL SEEDS AND OLEA. FRUITS; MISC. GRAINS, SEEDS AND FRUIT; INDUSTRIAL OR MEDICINAL PLANTS; STRAW AND FODDER.",0.01,0.88,9901.97
8,13,"LAC; GUMS, RESINS AND OTHER VEGETABLE SAPS AND EXTRACTS.",0.39,0.88,127.12
9,14,VEGETABLE PLAITING MATERIALS; VEGETABLE PRODUCTS NOT ELSEWHERE SPECIFIED OR INCLUDED.,0.0,0.05,246452.26
10,15,ANIMAL OR VEGETABLE FATS AND OILS AND THEIR CLEAVAGE PRODUCTS; PRE. EDIBLE FATS; ANIMAL OR VEGETABLE WAXEX.,164.96,168.98,2.44
11,16,"PREPARATIONS OF MEAT, OF FISH OR OF CRUSTACEANS, MOLLUSCS OR OTHER AQUATIC INVERTEBRATES",0.02,0.07,223.21
12,17,SUGARS AND SUGAR CONFECTIONERY.,0.04,0.15,282.9
13,18,COCOA AND COCOA PREPARATIONS.,1.0,2.38,137.01
14,19,"PREPARATIONS OF CEREALS, FLOUR, STARCH OR MILK; PASTRYCOOKS PRODUCTS.",0.42,0.36,-14.9
15,20,"PREPARATIONS OF VEGETABLES, FRUIT, NUTS OR OTHER PARTS OF PLANTS.",0.03,0.0,-92.3
16,21,MISCELLANEOUS EDIBLE PREPARATIONS.,3.2,2.25,-29.67
