S.No.,HSCode,Commodity,2020-2021,2021-2022,%Growth
1,01,LIVE ANIMALS.,0.12,0.67,468.08
2,02,MEAT AND EDIBLE MEAT OFFAL.,0.06,0.09,61.99
3,03,"FISH AND CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTABRATES.",1.98,1.03,-48.02
4,04,"DAIRY PRODUCE; BIRDS' EGGS; NATURAL HONEY; EDIBLE PROD. OF ANIMAL ORIGIN, NOT ELSEWHERE SPEC. OR INCLUDED.",1.22,0.48,-60.12
5,05,"PRODUCTS OF ANIMAL ORIGIN, NOT ELSEWHERE SPECIFIED OR INCLUDED.",0.01,0.18,1407.6
6,06,LIVE TREES AND OTHER PLANTS; BULBS; ROOTS AND THE LIKE; CUT FLOWERS AND ORNAMENTAL FOLIAGE.,0.05,0.11,122.48
7,07,EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,47.34,123.49,160.85
8,08,EDIBLE FRUIT AND NUTS; PEEL OR CITRUS FRUIT OR MELONS.,82.41,162.33,96.98
9,09,"COFFEE, TEA, MATE AND SPICES.",27.53,30.81,11.92
10,10,CEREALS.,18.09,16.12,-10.9
11,11,PRODUCTS OF THE MILLING INDUSTRY; MALT; STARCHES; INULIN; WHEAT GLUTEN.,7.57,2.72,-64.08
12,12,"OIL SEEDS AND OLEA. FRUITS; MISC. GRAINS, SEEDS AND FRUIT; INDUSTRIAL OR MEDICINAL PLANTS; STRAW AND FODDER.",27.54,9.88,-64.12
13,13,"LAC; GUMS, RESINS AND OTHER VEGETABLE SAPS AND EXTRACTS.",5.02,6.5,29.56
14,15,ANIMAL OR VEGETABLE FATS AND OILS AND THEIR CLEAVAGE PRODUCTS; PRE. EDIBLE FATS; ANIMAL OR VEGETABLE WAXEX.,2443.33,4340.66,77.65
15,16,"PREPARATIONS OF MEAT, OF FISH OR OF CRUSTACEANS, MOLLUSCS OR OTHER AQUATIC INVERTEBRATES",0.13,0.0
16,17,SUGARS AND SUGAR CONFECTIONERY.,611.65,148.46,-75.73
17,18,COCOA AND COCOA PREPARATIONS.,18.86,13.61,-27.83
18,19,"PREPARATIONS OF CEREALS, FLOUR, STARCH OR MILK; PASTRYCOOKS PRODUCTS.",0.32,0.53,64.54
19,20,"PREPARATIONS OF VEGETABLES, FRUIT, NUTS OR OTHER PARTS OF PLANTS.",3.81,7.7,101.88
20,21,MISCELLANEOUS EDIBLE PREPARATIONS.,3.89,5.94,52.89
21,22,"BEVERAGES, SPIRITS AND VINEGAR.",1.7,38.22,2153.97
22,23,RESIDUES AND WASTE FROM THE FOOD INDUSTRIES; PREPARED ANIMAL FODER.,16.06,248.75,1448.95
23,24,TOBACCO AND MANUFACTURED TOBACCO SUBSTITUTES.,1.69,2.19,29.72
24,25,"SALT; SULPHUR; EARTHS AND STONE; PLASTERING MATERIALS, LIME AND CEMENT.",41.28,93.21,125.84
25,26,"ORES, SLAG AND ASH.",479.32,1975.69,312.19
26,27,"MINERAL FUELS, MINERAL OILS AND PRODUCTS OF THEIR DISTILLATION; BITUMINOUS SUBSTANCES; MINERAL WAXES.",3072.94,5760.06,87.44
27,28,"INORGANIC CHEMICALS; ORGANIC OR INORGANIC COMPOUNDS OF PRECIOUS METALS, OF RARE-EARTH METALS, OR RADI. ELEM. OR OF ISOTOPES.",73.39,95.76,30.48
28,29,ORGANIC CHEMICALS,148.2,185.72,25.32
29,30,PHARMACEUTICAL PRODUCTS,86.12,82.7,-3.98
