S.No.,HSCode,Commodity,2020-2021,2021-2022,%Growth
1,03,"FISH AND CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTABRATES.",0.08,0.38,395.56
2,05,"PRODUCTS OF ANIMAL ORIGIN, NOT ELSEWHERE SPECIFIED OR INCLUDED.",0.37,0.76,106.87
3,06,LIVE TREES AND OTHER PLANTS; BULBS; ROOTS AND THE LIKE; CUT FLOWERS AND ORNAMENTAL FOLIAGE.,0.21,0.34,59.53
4,07,EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,56.39,71.31,26.46
5,08,EDIBLE FRUIT AND NUTS; PEEL OR CITRUS FRUIT OR MELONS.,29.95,86.11,187.52
6,09,"COFFEE, TEA, MATE AND SPICES.",1.82,0.93,-48.74
7,10,CEREALS.,0.08,0.21,176.77
8,12,"OIL SEEDS AND OLEA. FRUITS; MISC. GRAINS, SEEDS AND FRUIT; INDUSTRIAL OR MEDICINAL PLANTS; STRAW AND FODDER.",119.5,49.23,-58.8
9,13,"LAC; GUMS, RESINS AND OTHER VEGETABLE SAPS AND EXTRACTS.",6.95,9.52,36.99
10,14,VEGETABLE PLAITING MATERIALS; VEGETABLE PRODUCTS NOT ELSEWHERE SPECIFIED OR INCLUDED.,0.01,0.0
11,15,ANIMAL OR VEGETABLE FATS AND OILS AND THEIR CLEAVAGE PRODUCTS; PRE. EDIBLE FATS; ANIMAL OR VEGETABLE WAXEX.,51.96,60.88,17.18
12,17,SUGARS AND SUGAR CONFECTIONERY.,0.0,0.12,292034.26
13,18,COCOA AND COCOA PREPARATIONS.,2.83,1.29,-54.6
14,19,"PREPARATIONS OF CEREALS, FLOUR, STARCH OR MILK; PASTRYCOOKS PRODUCTS.",0.04,0.02,-54.75
15,20,"PREPARATIONS OF VEGETABLES, FRUIT, NUTS OR OTHER PARTS OF PLANTS.",1.23,2.3,86.75
16,21,MISCELLANEOUS EDIBLE PREPARATIONS.,0.27,0.79,187.51
17,22,"BEVERAGES, SPIRITS AND VINEGAR.",0.0,0.0
18,23,RESIDUES AND WASTE FROM THE FOOD INDUSTRIES; PREPARED ANIMAL FODER.,3.87,0.07,-98.3
19,24,TOBACCO AND MANUFACTURED TOBACCO SUBSTITUTES.,0.0,1.74,5677549.19
20,25,"SALT; SULPHUR; EARTHS AND STONE; PLASTERING MATERIALS, LIME AND CEMENT.",352.64,575.08,63.08
21,26,"ORES, SLAG AND ASH.",1.85,2.26,22.6
22,27,"MINERAL FUELS, MINERAL OILS AND PRODUCTS OF THEIR DISTILLATION; BITUMINOUS SUBSTANCES; MINERAL WAXES.",1664.24,3054.02,83.51
23,28,"INORGANIC CHEMICALS; ORGANIC OR INORGANIC COMPOUNDS OF PRECIOUS METALS, OF RARE-EARTH METALS, OR RADI. ELEM. OR OF ISOTOPES.",853.95,1220.61,42.94
24,29,ORGANIC CHEMICALS,26.01,34.04,30.88
25,30,PHARMACEUTICAL PRODUCTS,0.05,9.71,19226.65
26,31,FERTILISERS.,854.96,1937.02,126.56
