S.No.,HSCode,Commodity,2020-2021,2021-2022,%Growth
1,01,LIVE ANIMALS.,1.2,1.49,24.94
2,02,MEAT AND EDIBLE MEAT OFFAL.,0.0,0.0
3,03,"FISH AND CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTABRATES.",2.03,1.84,-9.34
4,04,"DAIRY PRODUCE; BIRDS' EGGS; NATURAL HONEY; EDIBLE PROD. OF ANIMAL ORIGIN, NOT ELSEWHERE SPEC. OR INCLUDED.",3.47,2.59,-25.31
5,05,"PRODUCTS OF ANIMAL ORIGIN, NOT ELSEWHERE SPECIFIED OR INCLUDED.",0.3,0.15,-49.57
6,06,LIVE TREES AND OTHER PLANTS; BULBS; ROOTS AND THE LIKE; CUT FLOWERS AND ORNAMENTAL FOLIAGE.,1.28,1.79,39.57
7,07,EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,19.77,9.21,-53.43
8,08,EDIBLE FRUIT AND NUTS; PEEL OR CITRUS FRUIT OR MELONS.,50.59,92.87,83.55
9,09,"COFFEE, TEA, MATE AND SPICES.",4.26,3.6,-15.36
10,10,CEREALS.,0.47,0.31,-34.09
11,11,PRODUCTS OF THE MILLING INDUSTRY; MALT; STARCHES; INULIN; WHEAT GLUTEN.,2.72,0.71,-74.06
12,12,"OIL SEEDS AND OLEA. FRUITS; MISC. GRAINS, SEEDS AND FRUIT; INDUSTRIAL OR MEDICINAL PLANTS; STRAW AND FODDER.",2.76,2.06,-25.33
13,13,"LAC; GUMS, RESINS AND OTHER VEGETABLE SAPS AND EXTRACTS.",0.59,0.56,-5.74
14,14,VEGETABLE PLAITING MATERIALS; VEGETABLE PRODUCTS NOT ELSEWHERE SPECIFIED OR INCLUDED.,0.0,0.0
15,15,ANIMAL OR VEGETABLE FATS AND OILS AND THEIR CLEAVAGE PRODUCTS; PRE. EDIBLE FATS; ANIMAL OR VEGETABLE WAXEX.,40.88,102.01,149.5
16,16,"PREPARATIONS OF MEAT, OF FISH OR OF CRUSTACEANS, MOLLUSCS OR OTHER AQUATIC INVERTEBRATES",0.0,0.1,7655.17
17,17,SUGARS AND SUGAR CONFECTIONERY.,8.24,13.45,63.09
18,18,COCOA AND COCOA PREPARATIONS.,6.49,8.39,29.39
19,19,"PREPARATIONS OF CEREALS, FLOUR, STARCH OR MILK; PASTRYCOOKS PRODUCTS.",2.06,1.93,-6.73
20,20,"PREPARATIONS OF VEGETABLES, FRUIT, NUTS OR OTHER PARTS OF PLANTS.",3.57,9.2,157.93
21,21,MISCELLANEOUS EDIBLE PREPARATIONS.,10.29,16.5,60.3
22,22,"BEVERAGES, SPIRITS AND VINEGAR.",132.6,194.16,46.43
23,23,RESIDUES AND WASTE FROM THE FOOD INDUSTRIES; PREPARED ANIMAL FODER.,5.29,9.39,77.43
24,24,TOBACCO AND MANUFACTURED TOBACCO SUBSTITUTES.,0.75,2.2,193.12
25,25,"SALT; SULPHUR; EARTHS AND STONE; PLASTERING MATERIALS, LIME AND CEMENT.",142.95,230.47,61.22
26,26,"ORES, SLAG AND ASH.",6.98,6.57,-5.9
27,27,"MINERAL FUELS, MINERAL OILS AND PRODUCTS OF THEIR DISTILLATION; BITUMINOUS SUBSTANCES; MINERAL WAXES.",598.59,930.17,55.39
28,28,"INORGANIC CHEMICALS; ORGANIC OR INORGANIC COMPOUNDS OF PRECIOUS METALS, OF RARE-EARTH METALS, OR RADI. ELEM. OR OF ISOTOPES.",284.22,146.92,-48.31
29,29,ORGANIC CHEMICALS,108.46,96.62,-10.92
30,30,PHARMACEUTICAL PRODUCTS,76.36,217.29,184.54
31,31,FERTILISERS.,37.96,19.61,-48.33
32,32,"TANNING OR DYEING EXTRACTS; TANNINS AND THEIR DERI. DYES, PIGMENTS AND OTHER COLOURING MATTER; PAINTS AND VER; PUTTY AND OTHER MASTICS; INKS.",49.9,57.11,14.44
33,33,"ESSENTIAL OILS AND RESINOIDS; PERFUMERY, COSMETIC OR TOILET PREPARATIONS.",29.46,156.75,432.18
34,34,"SOAP, ORGANIC SURFACE-ACTIVE AGENTS, WASHING PREPARATIONS, LUBRICATING PREPARATIONS, ARTIFICIAL WAXES, PREPARED WAXES, POLISHING OR SCOURING PREP.",23.42,30.56,30.51
35,35,ALBUMINOIDAL SUBSTANCES; MODIFIED STARCHES; GLUES; ENZYMES.,10.38,26.62,156.34
36,37,PHOTOGRAPHIC OR CINEMATOGRAPHIC GOODS.,1.06,3.16,198.02
37,38,MISCELLANEOUS CHEMICAL PRODUCTS.,124.46,200.56,61.15
38,39,PLASTIC AND ARTICLES THEREOF.,148.19,206.68,39.47
39,40,RUBBER AND ARTICLES THEREOF.,61.81,89.12,44.19
40,41,RAW HIDES AND SKINS (OTHER THAN FURSKINS) AND LEATHER,27.39,52.83,92.86
41,42,"ARTICLES OF LEATHER,SADDLERY AND HARNESS;TRAVEL GOODS, HANDBAGS AND SIMILAR CONT.ARTICLES OF ANIMAL GUT(OTHR THN SILK-WRM)GUT.",1.35,1.87,38.79
42,43,"FURSKINS AND ARTIFICIAL FUR, MANUFACTURES THEREOF.",1.13,1.49,31.54
43,44,WOOD AND ARTICLES OF WOOD; WOOD CHARCOAL.,14.61,23.73,62.41
44,45,CORK AND ARTICLES OF CORK.,0.11,0.17,43.54
45,46,"MANUFACTURES OF STRAW, OF ESPARTO OR OF OTHER PLAITING MATERIALS; BASKETWARE AND WICKERWORK.",0.0,0.0,-69.91
46,47,PULP OF WOOD OR OF OTHER FIBROUS CELLULOSIC MATERIAL; WASTE AND SCRAP OF PAPER OR PAPERBOARD.,160.61,228.45,42.24
47,48,"PAPER AND PAPERBOARD; ARTICLES OF PAPER PULP, OF PAPER OR OF PAPERBOARD.",29.61,34.5,16.52
48,49,"PRINTED BOOKDS, NEWSPAPERS, PICTURES AND OTHER PRODUCTS OF THE PRINTING INDUSTRY; MANUSCRIPTS, TYPESCRIPTS AND PLANS.",34.32,44.97,31.04
49,50,SILK,0.1,0.04,-65.67
50,51,"WOOL, FINE OR COARSE ANIMAL HAIR, HORSEHAIR YARN AND WOVEN FABRIC.",12.47,17.44,39.88
51,52,COTTON.,8.31,15.95,91.94
52,53,OTHER VEGETABLE TEXTILE FIBRES; PAPER YARN AND WOVEN FABRICS OF PAPER YARN.,2.66,2.35,-11.71
53,54,MAN-MADE FILAMENTS.,6.09,12.58,106.75
54,55,MAN-MADE STAPLE FIBRES.,19.96,21.93,9.87
55,56,"WADDING, FELT AND NONWOVENS; SPACIAL YARNS; TWINE, CORDAGE, ROPES AND CABLES AND ARTICLES THEREOF.",6.16,7.97,29.34
56,57,CARPETS AND OTHER TEXTILE FLOOR COVERINGS.,7.46,10.65,42.79
57,58,SPECIAL WOVEN FABRICS; TUFTED TEXTILE FABRICS; LACE; TAPESTRIES; TRIMMINGS; EMBROIDERY.,7.44,4.94,-33.51
58,59,"IMPREGNATED, COATED, COVERED OR LAMINATED TEXTILE FABRICS; TEXTILE ARTICLES OF A KIND SUITABLE FOR INDUSTRIAL USE.",6.19,8.74,41.21
59,60,KNITTED OR CROCHETED FABRICS.,2.23,2.19,-1.84
60,61,"ARTICLES OF APPAREL AND CLOTHING ACCESSORIES, KNITTED OR CORCHETED.",8.66,20.03,131.29
61,62,"ARTICLES OF APPAREL AND CLOTHING ACCESSORIES, NOT KNITTED OR CROCHETED.",5.57,11.18,100.68
62,63,OTHER MADE UP TEXTILE ARTICLES; SETS; WORN CLOTHING AND WORN TEXTILE ARTICLES; RAGS,5.29,7.47,41.2
63,64,"FOOTWEAR, GAITERS AND THE LIKE; PARTS OF SUCH ARTICLES.",2.57,1.57,-38.98
64,65,HEADGEAR AND PARTS THEREOF.,0.24,0.34,43.72
65,66,"UMBRELLAS, SUN UMBRELLAS, WALKING-STICKS, SEAT-STICKS, WHIPS,RIDING-CROPS AND PARTS THEREOF.",0.0,0.02,256.6
66,67,PREPARED FEATHERS AND DOWN AND ARTICLES MADE OF FEATHERS OR OF DOWN; ARTIFICIAL FLOWERS; ARTICLES OF HUMAN HAIR.,0.01,0.01,-10.47
67,68,"ARTICLES OF STONE, PLASTER, CEMENT, ASBESTOS, MICA OR SIMILAR MATERIALS.",14.85,16.97,14.28
68,69,CERAMIC PRODUCTS.,5.55,11.83,113.09
69,70,GLASS AND GLASSWARE.,15.51,21.34,37.62
70,71,"NATURAL OR CULTURED PEARLS,PRECIOUS OR SEMIPRECIOUS STONES,PRE.METALS,CLAD WITH PRE.METAL AND ARTCLS THEREOF;IMIT.JEWLRY;COIN.",860.32,1835.3,113.33
71,72,IRON AND STEEL,289.18,312.75,8.15
72,73,ARTICLES OF IRON OR STEEL,99.19,180.67,82.14
73,74,COPPER AND ARTICLES THEREOF.,91.98,178.03,93.55
74,75,NICKEL AND ARTICLES THEREOF.,37.44,58.44,56.07
75,76,ALUMINIUM AND ARTICLES THEREOF.,228.79,373.65,63.32
76,78,LEAD AND ARTICLES THEREOF.,35.83,45.93,28.17
77,79,ZINC AND ARTICLES THEREOF.,3.84,7.06,83.95
78,80,TIN AND ARTICLES THEREOF.,0.01,0.02,75.16
79,81,OTHER BASE METALS; CERMETS; ARTICLES THEREOF.,15.45,24.67,59.61
80,82,"TOOLS IMPLEMENTS, CUTLERY, SPOONS AND FORKS, OF BASE METAL; PARTS THEREOF OF BASE METAL.",8.07,10.31,27.77
81,83,MISCELLANEOUS ARTICLES OF BASE METAL.,32.73,18.9,-42.25
82,84,"NUCLEAR REACTORS, BOILERS, MACHINERY AND MECHANICAL APPLIANCES; PARTS THEREOF.",1136.92,1349.99,18.74
83,85,"ELECTRICAL MACHINERY AND EQUIPMENT AND PARTS THEREOF; SOUND RECORDERS AND REPRODUCERS, TELEVISION IMAGE AND SOUND RECORDERS AND REPRODUCERS,AND PARTS.",416.1,475.35,14.24
84,86,"RAILWAY OR TRAMWAY LOCOMOTIVES, ROLLING-STOCK AND PARTS THEREOF; RAILWAY OR TRAMWAY TRACK FIXTURES AND FITTINGS AND PARTS THEREOF; MECHANICAL",2.85,3.12,9.54
85,87,"VEHICLES OTHER THAN RAILWAY OR TRAMWAY ROLLING STOCK, AND PARTS AND ACCESSORIES THEREOF.",95.36,136.65,43.3
86,88,"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF.",46.79,77.91,66.52
87,89,"SHIPS, BOATS AND FLOATING STRUCTURES.",260.63,26.49,-89.84
88,90,"OPTICAL, PHOTOGRAPHIC CINEMATOGRAPHIC MEASURING, CHECKING PRECISION, MEDICAL OR SURGICAL INST. AND APPARATUS PARTS AND ACCESSORIES THEREOF;",288.79,363.09,25.73
89,91,CLOCKS AND WATCHES AND PARTS THEREOF.,0.21,0.27,30.74
90,92,MUSICAL INSTRUMENTS; PARTS AND ACCESSORIES OF SUCH ARTICLES.,0.06,0.1,70.46
91,93,ARMS AND AMMUNITION; PARTS AND ACCESSORIES THEREOF.,0.99,1.01,1.76
92,94,"FURNITURE; BEDDING, MATTRESSES, MATTRESS SUPPORTS, CUSHIONS AND SIMILAR STUFFED FURNISHING; LAMPS AND LIGHTING FITTINGS NOT ELSEWHERE SPECIFIED OR INC",25.34,33.49,32.19
93,95,"TOYS, GAMES AND SPORTS REQUISITES; PARTS AND ACCESSORIES THEREOF.",2.62,3.14,19.64
94,96,MISCELLANEOUS MANUFACTURED ARTICLES.,4.06,6.2,52.58
95,97,WORKS OF ART COLLECTORS' PIECES AND ANTIQUES.,19.21,16.53,-13.93
96,98,PROJECT GOODS; SOME SPECIAL USES.,33.76,45.5,34.76
97,99,MISCELLANEOUS GOODS.,0.04,0.04,21.74
,,Total,6446.84,9060.88,40.55
