S.No.,HSCode,Commodity,2020-2021,2021-2022,%Growth
1,02,MEAT AND EDIBLE MEAT OFFAL.,0.01,0.0,-27.43
2,03,"FISH AND CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTABRATES.",57.27,46.52,-18.77
3,04,"DAIRY PRODUCE; BIRDS' EGGS; NATURAL HONEY; EDIBLE PROD. OF ANIMAL ORIGIN, NOT ELSEWHERE SPEC. OR INCLUDED.",0.18,0.42,134.21
4,05,"PRODUCTS OF ANIMAL ORIGIN, NOT ELSEWHERE SPECIFIED OR INCLUDED.",0.61,0.63,2.84
5,06,LIVE TREES AND OTHER PLANTS; BULBS; ROOTS AND THE LIKE; CUT FLOWERS AND ORNAMENTAL FOLIAGE.,0.03,0.04,26.33
6,07,EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,25.82,40.51,56.91
7,08,EDIBLE FRUIT AND NUTS; PEEL OR CITRUS FRUIT OR MELONS.,376.42,387.21,2.87
8,09,"COFFEE, TEA, MATE AND SPICES.",222.17,246.69,11.03
9,10,CEREALS.,0.05,3.26,6321.54
10,11,PRODUCTS OF THE MILLING INDUSTRY; MALT; STARCHES; INULIN; WHEAT GLUTEN.,7.24,14.08,94.45
11,12,"OIL SEEDS AND OLEA. FRUITS; MISC. GRAINS, SEEDS AND FRUIT; INDUSTRIAL OR MEDICINAL PLANTS; STRAW AND FODDER.",33.99,25.65,-24.53
12,13,"LAC; GUMS, RESINS AND OTHER VEGETABLE SAPS AND EXTRACTS.",100.77,89.15,-11.53
13,14,VEGETABLE PLAITING MATERIALS; VEGETABLE PRODUCTS NOT ELSEWHERE SPECIFIED OR INCLUDED.,17.01,17.37,2.1
14,15,ANIMAL OR VEGETABLE FATS AND OILS AND THEIR CLEAVAGE PRODUCTS; PRE. EDIBLE FATS; ANIMAL OR VEGETABLE WAXEX.,468.24,1194.92,155.19
15,16,"PREPARATIONS OF MEAT, OF FISH OR OF CRUSTACEANS, MOLLUSCS OR OTHER AQUATIC INVERTEBRATES",1.07,1.44,34.97
16,17,SUGARS AND SUGAR CONFECTIONERY.,9.45,10.45,10.57
17,18,COCOA AND COCOA PREPARATIONS.,4.29,4.16,-3.2
18,19,"PREPARATIONS OF CEREALS, FLOUR, STARCH OR MILK; PASTRYCOOKS PRODUCTS.",34.57,49.09,42.02
19,20,"PREPARATIONS OF VEGETABLES, FRUIT, NUTS OR OTHER PARTS OF PLANTS.",3.16,6.42,103.2
20,21,MISCELLANEOUS EDIBLE PREPARATIONS.,1.21,1.4,15.92
21,22,"BEVERAGES, SPIRITS AND VINEGAR.",64.73,95.64,47.76
22,23,RESIDUES AND WASTE FROM THE FOOD INDUSTRIES; PREPARED ANIMAL FODER.,109.36,225.78,106.45
23,24,TOBACCO AND MANUFACTURED TOBACCO SUBSTITUTES.,0.14,0.19,35.86
24,25,"SALT; SULPHUR; EARTHS AND STONE; PLASTERING MATERIALS, LIME AND CEMENT.",50.43,81.48,61.59
25,26,"ORES, SLAG AND ASH.",14.18,15.44,8.83
26,27,"MINERAL FUELS, MINERAL OILS AND PRODUCTS OF THEIR DISTILLATION; BITUMINOUS SUBSTANCES; MINERAL WAXES.",269.17,269.65,0.18
27,28,"INORGANIC CHEMICALS; ORGANIC OR INORGANIC COMPOUNDS OF PRECIOUS METALS, OF RARE-EARTH METALS, OR RADI. ELEM. OR OF ISOTOPES.",15.07,96.82,542.42
28,29,ORGANIC CHEMICALS,4.76,8.21,72.64
29,30,PHARMACEUTICAL PRODUCTS,13.24,16.56,25.07
30,32,"TANNING OR DYEING EXTRACTS; TANNINS AND THEIR DERI. DYES, PIGMENTS AND OTHER COLOURING MATTER; PAINTS AND VER; PUTTY AND OTHER MASTICS; INKS.",1.92,2.21,15.23
31,33,"ESSENTIAL OILS AND RESINOIDS; PERFUMERY, COSMETIC OR TOILET PREPARATIONS.",19.61,21.53,9.82
32,34,"SOAP, ORGANIC SURFACE-ACTIVE AGENTS, WASHING PREPARATIONS, LUBRICATING PREPARATIONS, ARTIFICIAL WAXES, PREPARED WAXES, POLISHING OR SCOURING PREP.",1.97,2.0,1.39
33,35,ALBUMINOIDAL SUBSTANCES; MODIFIED STARCHES; GLUES; ENZYMES.,0.46,1.14,145.94
34,36,EXPLOSIVES; PYROTECHNIC PRODUCTS; MATCHES; PYROPHORIC ALLOYS; CERTAIN COMBUSTIBLE PREPARATIONS.,0.03,0.06,138.57
35,38,MISCELLANEOUS CHEMICAL PRODUCTS.,27.13,49.47,82.31
36,39,PLASTIC AND ARTICLES THEREOF.,58.42,70.97,21.48
37,40,RUBBER AND ARTICLES THEREOF.,22.98,35.7,55.36
38,41,RAW HIDES AND SKINS (OTHER THAN FURSKINS) AND LEATHER,7.26,11.35,56.44
39,42,"ARTICLES OF LEATHER,SADDLERY AND HARNESS;TRAVEL GOODS, HANDBAGS AND SIMILAR CONT.ARTICLES OF ANIMAL GUT(OTHR THN SILK-WRM)GUT.",14.75,60.59,310.84
40,44,WOOD AND ARTICLES OF WOOD; WOOD CHARCOAL.,7.54,8.49,12.65
41,46,"MANUFACTURES OF STRAW, OF ESPARTO OR OF OTHER PLAITING MATERIALS; BASKETWARE AND WICKERWORK.",0.18,0.43,139.56
42,47,PULP OF WOOD OR OF OTHER FIBROUS CELLULOSIC MATERIAL; WASTE AND SCRAP OF PAPER OR PAPERBOARD.,21.63,41.9,93.72
43,48,"PAPER AND PAPERBOARD; ARTICLES OF PAPER PULP, OF PAPER OR OF PAPERBOARD.",18.29,28.15,53.87
44,49,"PRINTED BOOKDS, NEWSPAPERS, PICTURES AND OTHER PRODUCTS OF THE PRINTING INDUSTRY; MANUSCRIPTS, TYPESCRIPTS AND PLANS.",1.18,4.06,244.0
45,50,SILK,0.01,0.0,-74.94
46,51,"WOOL, FINE OR COARSE ANIMAL HAIR, HORSEHAIR YARN AND WOVEN FABRIC.",0.87,0.58,-33.82
47,52,COTTON.,37.15,40.41,8.8
48,53,OTHER VEGETABLE TEXTILE FIBRES; PAPER YARN AND WOVEN FABRICS OF PAPER YARN.,131.05,201.73,53.93
49,54,MAN-MADE FILAMENTS.,4.03,7.19,78.32
50,55,MAN-MADE STAPLE FIBRES.,67.05,92.05,37.29
51,56,"WADDING, FELT AND NONWOVENS; SPACIAL YARNS; TWINE, CORDAGE, ROPES AND CABLES AND ARTICLES THEREOF.",21.46,26.92,25.43
52,57,CARPETS AND OTHER TEXTILE FLOOR COVERINGS.,1.48,2.47,67.28
53,58,SPECIAL WOVEN FABRICS; TUFTED TEXTILE FABRICS; LACE; TAPESTRIES; TRIMMINGS; EMBROIDERY.,13.24,19.9,50.37
54,59,"IMPREGNATED, COATED, COVERED OR LAMINATED TEXTILE FABRICS; TEXTILE ARTICLES OF A KIND SUITABLE FOR INDUSTRIAL USE.",0.29,0.36,24.41
55,60,KNITTED OR CROCHETED FABRICS.,45.79,67.07,46.45
56,61,"ARTICLES OF APPAREL AND CLOTHING ACCESSORIES, KNITTED OR CORCHETED.",125.9,233.4,85.39
57,62,"ARTICLES OF APPAREL AND CLOTHING ACCESSORIES, NOT KNITTED OR CROCHETED.",192.72,339.57,76.2
58,63,OTHER MADE UP TEXTILE ARTICLES; SETS; WORN CLOTHING AND WORN TEXTILE ARTICLES; RAGS,126.24,167.33,32.55
59,64,"FOOTWEAR, GAITERS AND THE LIKE; PARTS OF SUCH ARTICLES.",24.4,45.52,86.57
60,65,HEADGEAR AND PARTS THEREOF.,3.82,4.05,6.08
61,66,"UMBRELLAS, SUN UMBRELLAS, WALKING-STICKS, SEAT-STICKS, WHIPS,RIDING-CROPS AND PARTS THEREOF.",0.02,0.04,157.12
62,67,PREPARED FEATHERS AND DOWN AND ARTICLES MADE OF FEATHERS OR OF DOWN; ARTIFICIAL FLOWERS; ARTICLES OF HUMAN HAIR.,0.01,0.33,4806.62
63,68,"ARTICLES OF STONE, PLASTER, CEMENT, ASBESTOS, MICA OR SIMILAR MATERIALS.",1.91,1.05,-45.01
64,69,CERAMIC PRODUCTS.,4.28,7.49,75.06
65,70,GLASS AND GLASSWARE.,11.0,21.17,92.44
66,71,"NATURAL OR CULTURED PEARLS,PRECIOUS OR SEMIPRECIOUS STONES,PRE.METALS,CLAD WITH PRE.METAL AND ARTCLS THEREOF;IMIT.JEWLRY;COIN.",6.88,11.91,73.08
67,72,IRON AND STEEL,176.4,332.11,88.27
68,73,ARTICLES OF IRON OR STEEL,14.32,15.25,6.49
69,74,COPPER AND ARTICLES THEREOF.,18.03,27.07,50.13
70,75,NICKEL AND ARTICLES THEREOF.,1.27,1.79,41.15
71,76,ALUMINIUM AND ARTICLES THEREOF.,6.1,7.27,19.1
72,78,LEAD AND ARTICLES THEREOF.,10.64,22.14,108.03
73,79,ZINC AND ARTICLES THEREOF.,0.57,0.63,10.51
74,80,TIN AND ARTICLES THEREOF.,0.0,0.0
75,81,OTHER BASE METALS; CERMETS; ARTICLES THEREOF.,0.02,0.03,63.92
76,82,"TOOLS IMPLEMENTS, CUTLERY, SPOONS AND FORKS, OF BASE METAL; PARTS THEREOF OF BASE METAL.",1.87,1.2,-35.91
77,83,MISCELLANEOUS ARTICLES OF BASE METAL.,2.54,3.73,46.6
78,84,"NUCLEAR REACTORS, BOILERS, MACHINERY AND MECHANICAL APPLIANCES; PARTS THEREOF.",41.68,51.16,22.75
79,85,"ELECTRICAL MACHINERY AND EQUIPMENT AND PARTS THEREOF; SOUND RECORDERS AND REPRODUCERS, TELEVISION IMAGE AND SOUND RECORDERS AND REPRODUCERS,AND PARTS.",31.83,47.15,48.14
80,86,"RAILWAY OR TRAMWAY LOCOMOTIVES, ROLLING-STOCK AND PARTS THEREOF; RAILWAY OR TRAMWAY TRACK FIXTURES AND FITTINGS AND PARTS THEREOF; MECHANICAL",0.25,0.21,-17.17
81,87,"VEHICLES OTHER THAN RAILWAY OR TRAMWAY ROLLING STOCK, AND PARTS AND ACCESSORIES THEREOF.",21.03,33.17,57.69
82,88,"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF.",23.76,140.17,489.83
83,89,"SHIPS, BOATS AND FLOATING STRUCTURES.",60.03,170.2,183.53
84,90,"OPTICAL, PHOTOGRAPHIC CINEMATOGRAPHIC MEASURING, CHECKING PRECISION, MEDICAL OR SURGICAL INST. AND APPARATUS PARTS AND ACCESSORIES THEREOF;",5.63,6.17,9.65
85,91,CLOCKS AND WATCHES AND PARTS THEREOF.,0.0,0.05,1006.77
86,92,MUSICAL INSTRUMENTS; PARTS AND ACCESSORIES OF SUCH ARTICLES.,0.0,0.01,475.78
87,94,"FURNITURE; BEDDING, MATTRESSES, MATTRESS SUPPORTS, CUSHIONS AND SIMILAR STUFFED FURNISHING; LAMPS AND LIGHTING FITTINGS NOT ELSEWHERE SPECIFIED OR INC",27.0,36.03,33.45
88,95,"TOYS, GAMES AND SPORTS REQUISITES; PARTS AND ACCESSORIES THEREOF.",3.89,4.61,18.65
89,96,MISCELLANEOUS MANUFACTURED ARTICLES.,2.07,3.06,47.44
90,97,WORKS OF ART COLLECTORS' PIECES AND ANTIQUES.,0.38,0.4,4.43
91,98,PROJECT GOODS; SOME SPECIAL USES.,0.2,4.96,2378.2
92,99,MISCELLANEOUS GOODS.,0.0,0.0,-70.46
,,Total,3377.12,5486.37,62.46
