S.No.,HSCode,Commodity,2021-2022,2022-2023,%Growth
1,01,LIVE ANIMALS.,0.03,0.06,79.51
2,02,MEAT AND EDIBLE MEAT OFFAL.,0.22,0.43,95.84
3,03,"FISH AND CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTABRATES.",35.46,46.83,32.06
4,04,"DAIRY PRODUCE; BIRDS' EGGS; NATURAL HONEY; EDIBLE PROD. OF ANIMAL ORIGIN, NOT ELSEWHERE SPEC. OR INCLUDED.",0.51,1.66,228.96
5,05,"PRODUCTS OF ANIMAL ORIGIN, NOT ELSEWHERE SPECIFIED OR INCLUDED.",1.19,0.91,-23.44
6,06,LIVE TREES AND OTHER PLANTS; BULBS; ROOTS AND THE LIKE; CUT FLOWERS AND ORNAMENTAL FOLIAGE.,3.69,4.76,29.02
7,07,EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,784.28,684.58,-12.71
8,08,EDIBLE FRUIT AND NUTS; PEEL OR CITRUS FRUIT OR MELONS.,132.3,253.82,91.86
9,09,"COFFEE, TEA, MATE AND SPICES.",392.36,439.27,11.96
10,10,CEREALS.,1.66,2.46,47.7
11,11,PRODUCTS OF THE MILLING INDUSTRY; MALT; STARCHES; INULIN; WHEAT GLUTEN.,1.19,1.83,53.61
12,12,"OIL SEEDS AND OLEA. FRUITS; MISC. GRAINS, SEEDS AND FRUIT; INDUSTRIAL OR MEDICINAL PLANTS; STRAW AND FODDER.",89.83,85.56,-4.76
13,13,"LAC; GUMS, RESINS AND OTHER VEGETABLE SAPS AND EXTRACTS.",64.03,87.96,37.39
14,14,VEGETABLE PLAITING MATERIALS; VEGETABLE PRODUCTS NOT ELSEWHERE SPECIFIED OR INCLUDED.,31.73,18.69,-41.08
15,15,ANIMAL OR VEGETABLE FATS AND OILS AND THEIR CLEAVAGE PRODUCTS; PRE. EDIBLE FATS; ANIMAL OR VEGETABLE WAXEX.,9770.14,11270.6,15.36
16,16,"PREPARATIONS OF MEAT, OF FISH OR OF CRUSTACEANS, MOLLUSCS OR OTHER AQUATIC INVERTEBRATES",2.28,0.48,-78.8
17,17,SUGARS AND SUGAR CONFECTIONERY.,7.23,9.03,24.85
18,18,COCOA AND COCOA PREPARATIONS.,213.78,270.41,26.49
19,19,"PREPARATIONS OF CEREALS, FLOUR, STARCH OR MILK; PASTRYCOOKS PRODUCTS.",78.45,90.62,15.52
20,20,"PREPARATIONS OF VEGETABLES, FRUIT, NUTS OR OTHER PARTS OF PLANTS.",26.5,40.42,52.5
21,21,MISCELLANEOUS EDIBLE PREPARATIONS.,81.86,40.89,-50.04
22,22,"BEVERAGES, SPIRITS AND VINEGAR.",33.95,78.52,131.3
23,23,RESIDUES AND WASTE FROM THE FOOD INDUSTRIES; PREPARED ANIMAL FODER.,357.09,211.53,-40.76
24,24,TOBACCO AND MANUFACTURED TOBACCO SUBSTITUTES.,34.05,41.08,20.64
25,25,"SALT; SULPHUR; EARTHS AND STONE; PLASTERING MATERIALS, LIME AND CEMENT.",129.69,115.67,-10.81
26,26,"ORES, SLAG AND ASH.",831.91,1395.96,67.8
27,27,"MINERAL FUELS, MINERAL OILS AND PRODUCTS OF THEIR DISTILLATION; BITUMINOUS SUBSTANCES; MINERAL WAXES.",11941.08,21191.11,77.46
28,28,"INORGANIC CHEMICALS; ORGANIC OR INORGANIC COMPOUNDS OF PRECIOUS METALS, OF RARE-EARTH METALS, OR RADI. ELEM. OR OF ISOTOPES.",1272.97,1730.01,35.9
29,29,ORGANIC CHEMICALS,3735.91,3403.27,-8.9
30,30,PHARMACEUTICAL PRODUCTS,120.09,133.98,11.57
31,31,FERTILISERS.,524.17,533.84,1.85
