S.No.,HSCode,Commodity,2021-2022,2022-2023,%Growth
1,01,LIVE ANIMALS.,3.95,4.44,12.26
2,02,MEAT AND EDIBLE MEAT OFFAL.,0.11,0.13,22.31
3,03,"FISH AND CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTABRATES.",35.3,34.3,-2.85
4,04,"DAIRY PRODUCE; BIRDS' EGGS; NATURAL HONEY; EDIBLE PROD. OF ANIMAL ORIGIN, NOT ELSEWHERE SPEC. OR INCLUDED.",0.9,0.88,-2.6
5,05,"PRODUCTS OF ANIMAL ORIGIN, NOT ELSEWHERE SPECIFIED OR INCLUDED.",17.48,12.9,-26.2
6,06,LIVE TREES AND OTHER PLANTS; BULBS; ROOTS AND THE LIKE; CUT FLOWERS AND ORNAMENTAL FOLIAGE.,2.21,1.06,-52.17
7,07,EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,413.77,370.3,-10.51
8,08,EDIBLE FRUIT AND NUTS; PEEL OR CITRUS FRUIT OR MELONS.,863.55,1026.13,18.83
9,09,"COFFEE, TEA, MATE AND SPICES.",2.58,1.51,-41.45
10,10,CEREALS.,1.74,1.24,-28.74
11,11,PRODUCTS OF THE MILLING INDUSTRY; MALT; STARCHES; INULIN; WHEAT GLUTEN.,1.78,2.96,66.44
12,12,"OIL SEEDS AND OLEA. FRUITS; MISC. GRAINS, SEEDS AND FRUIT; INDUSTRIAL OR MEDICINAL PLANTS; STRAW AND FODDER.",15.28,23.96,56.79
13,13,"LAC; GUMS, RESINS AND OTHER VEGETABLE SAPS AND EXTRACTS.",13.58,14.48,6.62
14,14,VEGETABLE PLAITING MATERIALS; VEGETABLE PRODUCTS NOT ELSEWHERE SPECIFIED OR INCLUDED.,0.01,0.05,707.83
15,15,ANIMAL OR VEGETABLE FATS AND OILS AND THEIR CLEAVAGE PRODUCTS; PRE. EDIBLE FATS; ANIMAL OR VEGETABLE WAXEX.,183.59,102.14,-44.36
16,16,"PREPARATIONS OF MEAT, OF FISH OR OF CRUSTACEANS, MOLLUSCS OR OTHER AQUATIC INVERTEBRATES",5.84,3.03,-48.13
17,17,SUGARS AND SUGAR CONFECTIONERY.,20.11,19.68,-2.13
18,18,COCOA AND COCOA PREPARATIONS.,3.29,2.22,-32.57
19,19,"PREPARATIONS OF CEREALS, FLOUR, STARCH OR MILK; PASTRYCOOKS PRODUCTS.",1.05,1.04,-1.03
20,20,"PREPARATIONS OF VEGETABLES, FRUIT, NUTS OR OTHER PARTS OF PLANTS.",17.79,23.81,33.86
21,21,MISCELLANEOUS EDIBLE PREPARATIONS.,54.46,38.38,-29.52
22,22,"BEVERAGES, SPIRITS AND VINEGAR.",319.46,169.59,-46.91
23,23,RESIDUES AND WASTE FROM THE FOOD INDUSTRIES; PREPARED ANIMAL FODER.,39.38,45.89,16.55
24,24,TOBACCO AND MANUFACTURED TOBACCO SUBSTITUTES.,0.1,0.48,390.81
25,25,"SALT; SULPHUR; EARTHS AND STONE; PLASTERING MATERIALS, LIME AND CEMENT.",59.71,71.28,19.38
26,26,"ORES, SLAG AND ASH.",186.92,268.72,43.76
27,27,"MINERAL FUELS, MINERAL OILS AND PRODUCTS OF THEIR DISTILLATION; BITUMINOUS SUBSTANCES; MINERAL WAXES.",21081.02,21909.31,3.93
28,28,"INORGANIC CHEMICALS; ORGANIC OR INORGANIC COMPOUNDS OF PRECIOUS METALS, OF RARE-EARTH METALS, OR RADI. ELEM. OR OF ISOTOPES.",421.42,392.52,-6.86
29,29,ORGANIC CHEMICALS,2074.67,2138.84,3.09
30,30,PHARMACEUTICAL PRODUCTS,572.76,393.9,-31.23
31,31,FERTILISERS.,258.23,1057.58,309.55
32,32,"TANNING OR DYEING EXTRACTS; TANNINS AND THEIR DERI. DYES, PIGMENTS AND OTHER COLOURING MATTER; PAINTS AND VER; PUTTY AND OTHER MASTICS; INKS.",217.22,249.71,14.96
33,33,"ESSENTIAL OILS AND RESINOIDS; PERFUMERY, COSMETIC OR TOILET PREPARATIONS.",92.76,131.63,41.92
34,34,"SOAP, ORGANIC SURFACE-ACTIVE AGENTS, WASHING PREPARATIONS, LUBRICATING PREPARATIONS, ARTIFICIAL WAXES, PREPARED WAXES, POLISHING OR SCOURING PREP.",153.05,185.24,21.03
35,35,ALBUMINOIDAL SUBSTANCES; MODIFIED STARCHES; GLUES; ENZYMES.,79.51,105.85,33.13
36,36,EXPLOSIVES; PYROTECHNIC PRODUCTS; MATCHES; PYROPHORIC ALLOYS; CERTAIN COMBUSTIBLE PREPARATIONS.,8.27,8.03,-2.98
37,37,PHOTOGRAPHIC OR CINEMATOGRAPHIC GOODS.,28.39,21.83,-23.11
38,38,MISCELLANEOUS CHEMICAL PRODUCTS.,1184.39,1208.19,2.01
39,39,PLASTIC AND ARTICLES THEREOF.,1256.12,1751.23,39.42
40,40,RUBBER AND ARTICLES THEREOF.,224.35,266.62,18.84
41,41,RAW HIDES AND SKINS (OTHER THAN FURSKINS) AND LEATHER,7.27,11.9,63.77
42,42,"ARTICLES OF LEATHER,SADDLERY AND HARNESS;TRAVEL GOODS, HANDBAGS AND SIMILAR CONT.ARTICLES OF ANIMAL GUT(OTHR THN SILK-WRM)GUT.",3.15,7.1,125.49
43,43,"FURSKINS AND ARTIFICIAL FUR, MANUFACTURES THEREOF.",0.02,0.02,-35.99
44,44,WOOD AND ARTICLES OF WOOD; WOOD CHARCOAL.,70.43,111.3,58.02
45,45,CORK AND ARTICLES OF CORK.,0.14,0.15,12.1
46,46,"MANUFACTURES OF STRAW, OF ESPARTO OR OF OTHER PLAITING MATERIALS; BASKETWARE AND WICKERWORK.",0.0,0.02,3138.46
47,47,PULP OF WOOD OR OF OTHER FIBROUS CELLULOSIC MATERIAL; WASTE AND SCRAP OF PAPER OR PAPERBOARD.,1367.34,1448.62,5.94
48,48,"PAPER AND PAPERBOARD; ARTICLES OF PAPER PULP, OF PAPER OR OF PAPERBOARD.",336.96,460.06,36.53
49,49,"PRINTED BOOKDS, NEWSPAPERS, PICTURES AND OTHER PRODUCTS OF THE PRINTING INDUSTRY; MANUSCRIPTS, TYPESCRIPTS AND PLANS.",48.86,48.91,0.09
50,50,SILK,0.61,0.03,-95.77
51,51,"WOOL, FINE OR COARSE ANIMAL HAIR, HORSEHAIR YARN AND WOVEN FABRIC.",0.39,1.25,225.11
52,52,COTTON.,230.87,534.72,131.61
53,53,OTHER VEGETABLE TEXTILE FIBRES; PAPER YARN AND WOVEN FABRICS OF PAPER YARN.,0.24,0.22,-6.48
54,54,MAN-MADE FILAMENTS.,24.79,28.89,16.51
55,55,MAN-MADE STAPLE FIBRES.,26.17,37.17,42.01
56,56,"WADDING, FELT AND NONWOVENS; SPACIAL YARNS; TWINE, CORDAGE, ROPES AND CABLES AND ARTICLES THEREOF.",22.35,19.1,-14.53
57,57,CARPETS AND OTHER TEXTILE FLOOR COVERINGS.,5.38,4.94,-8.3
58,58,SPECIAL WOVEN FABRICS; TUFTED TEXTILE FABRICS; LACE; TAPESTRIES; TRIMMINGS; EMBROIDERY.,6.46,1.15,-82.23
59,59,"IMPREGNATED, COATED, COVERED OR LAMINATED TEXTILE FABRICS; TEXTILE ARTICLES OF A KIND SUITABLE FOR INDUSTRIAL USE.",16.99,25.69,51.25
60,60,KNITTED OR CROCHETED FABRICS.,1.54,0.78,-49.22
61,61,"ARTICLES OF APPAREL AND CLOTHING ACCESSORIES, KNITTED OR CORCHETED.",1.71,7.29,325.97
62,62,"ARTICLES OF APPAREL AND CLOTHING ACCESSORIES, NOT KNITTED OR CROCHETED.",5.64,8.71,54.5
63,63,OTHER MADE UP TEXTILE ARTICLES; SETS; WORN CLOTHING AND WORN TEXTILE ARTICLES; RAGS,120.08,122.25,1.81
64,64,"FOOTWEAR, GAITERS AND THE LIKE; PARTS OF SUCH ARTICLES.",4.37,5.5,25.8
65,65,HEADGEAR AND PARTS THEREOF.,0.97,1.12,15.63
66,66,"UMBRELLAS, SUN UMBRELLAS, WALKING-STICKS, SEAT-STICKS, WHIPS,RIDING-CROPS AND PARTS THEREOF.",0.06,0.09,48.73
67,67,PREPARED FEATHERS AND DOWN AND ARTICLES MADE OF FEATHERS OR OF DOWN; ARTIFICIAL FLOWERS; ARTICLES OF HUMAN HAIR.,0.26,0.25,-5.42
68,68,"ARTICLES OF STONE, PLASTER, CEMENT, ASBESTOS, MICA OR SIMILAR MATERIALS.",51.93,62.18,19.74
69,69,CERAMIC PRODUCTS.,29.93,47.21,57.71
70,70,GLASS AND GLASSWARE.,67.38,61.89,-8.15
71,71,"NATURAL OR CULTURED PEARLS,PRECIOUS OR SEMIPRECIOUS STONES,PRE.METALS,CLAD WITH PRE.METAL AND ARTCLS THEREOF;IMIT.JEWLRY;COIN.",7075.24,7842.52,10.84
72,72,IRON AND STEEL,683.58,1418.1,107.45
73,73,ARTICLES OF IRON OR STEEL,256.97,291.31,13.36
74,74,COPPER AND ARTICLES THEREOF.,242.12,380.42,57.12
75,75,NICKEL AND ARTICLES THEREOF.,96.61,137.83,42.66
76,76,ALUMINIUM AND ARTICLES THEREOF.,1072.39,1149.94,7.23
77,78,LEAD AND ARTICLES THEREOF.,71.0,62.08,-12.56
78,79,ZINC AND ARTICLES THEREOF.,42.57,56.0,31.56
79,80,TIN AND ARTICLES THEREOF.,0.31,0.52,66.21
80,81,OTHER BASE METALS; CERMETS; ARTICLES THEREOF.,42.43,42.13,-0.7
81,82,"TOOLS IMPLEMENTS, CUTLERY, SPOONS AND FORKS, OF BASE METAL; PARTS THEREOF OF BASE METAL.",61.36,60.03,-2.18
82,83,MISCELLANEOUS ARTICLES OF BASE METAL.,57.12,69.15,21.06
83,84,"NUCLEAR REACTORS, BOILERS, MACHINERY AND MECHANICAL APPLIANCES; PARTS THEREOF.",3686.67,4251.69,15.33
84,85,"ELECTRICAL MACHINERY AND EQUIPMENT AND PARTS THEREOF; SOUND RECORDERS AND REPRODUCERS, TELEVISION IMAGE AND SOUND RECORDERS AND REPRODUCERS,AND PARTS.",2065.56,2600.76,25.91
85,86,"RAILWAY OR TRAMWAY LOCOMOTIVES, ROLLING-STOCK AND PARTS THEREOF; RAILWAY OR TRAMWAY TRACK FIXTURES AND FITTINGS AND PARTS THEREOF; MECHANICAL",87.62,119.22,36.06
86,87,"VEHICLES OTHER THAN RAILWAY OR TRAMWAY ROLLING STOCK, AND PARTS AND ACCESSORIES THEREOF.",414.56,564.05,36.06
87,88,"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF.",394.71,2400.13,508.07
88,89,"SHIPS, BOATS AND FLOATING STRUCTURES.",59.96,128.37,114.1
89,90,"OPTICAL, PHOTOGRAPHIC CINEMATOGRAPHIC MEASURING, CHECKING PRECISION, MEDICAL OR SURGICAL INST. AND APPARATUS PARTS AND ACCESSORIES THEREOF;",1673.61,1880.2,12.34
90,91,CLOCKS AND WATCHES AND PARTS THEREOF.,0.79,2.72,246.67
91,92,MUSICAL INSTRUMENTS; PARTS AND ACCESSORIES OF SUCH ARTICLES.,2.21,3.14,42.04
92,93,ARMS AND AMMUNITION; PARTS AND ACCESSORIES THEREOF.,1.04,0.57,-45.81
93,94,"FURNITURE; BEDDING, MATTRESSES, MATTRESS SUPPORTS, CUSHIONS AND SIMILAR STUFFED FURNISHING; LAMPS AND LIGHTING FITTINGS NOT ELSEWHERE SPECIFIED OR INC",47.73,93.48,95.86
94,95,"TOYS, GAMES AND SPORTS REQUISITES; PARTS AND ACCESSORIES THEREOF.",17.02,25.34,48.88
95,96,MISCELLANEOUS MANUFACTURED ARTICLES.,21.52,24.69,14.74
96,97,WORKS OF ART COLLECTORS' PIECES AND ANTIQUES.,25.13,63.84,154.02
97,98,PROJECT GOODS; SOME SPECIAL USES.,125.65,110.72,-11.88
98,99,MISCELLANEOUS GOODS.,1.01,0.49,-51.52
,,Total,50694.89,58898.98,16.18
