S.No.,HSCode,Commodity,2021-2022,2022-2023,%Growth
1,03,"FISH AND CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTABRATES.",6.21,8.09,30.1
2,04,"DAIRY PRODUCE; BIRDS' EGGS; NATURAL HONEY; EDIBLE PROD. OF ANIMAL ORIGIN, NOT ELSEWHERE SPEC. OR INCLUDED.",0.12,0.04,-63.57
3,05,"PRODUCTS OF ANIMAL ORIGIN, NOT ELSEWHERE SPECIFIED OR INCLUDED.",0.02,0.01,-55.62
4,07,EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,0.1,0.48,394.52
5,08,EDIBLE FRUIT AND NUTS; PEEL OR CITRUS FRUIT OR MELONS.,0.41,0.42,1.98
6,09,"COFFEE, TEA, MATE AND SPICES.",1.48,2.01,36.04
7,10,CEREALS.,0.05,0.36,659.67
8,11,PRODUCTS OF THE MILLING INDUSTRY; MALT; STARCHES; INULIN; WHEAT GLUTEN.,0.0,0.02
9,12,"OIL SEEDS AND OLEA. FRUITS; MISC. GRAINS, SEEDS AND FRUIT; INDUSTRIAL OR MEDICINAL PLANTS; STRAW AND FODDER.",2.88,5.11,77.33
10,13,"LAC; GUMS, RESINS AND OTHER VEGETABLE SAPS AND EXTRACTS.",0.06,0.32,462.25
11,14,VEGETABLE PLAITING MATERIALS; VEGETABLE PRODUCTS NOT ELSEWHERE SPECIFIED OR INCLUDED.,0.04,0.0
12,15,ANIMAL OR VEGETABLE FATS AND OILS AND THEIR CLEAVAGE PRODUCTS; PRE. EDIBLE FATS; ANIMAL OR VEGETABLE WAXEX.,0.02,0.01,-43.31
13,16,"PREPARATIONS OF MEAT, OF FISH OR OF CRUSTACEANS, MOLLUSCS OR OTHER AQUATIC INVERTEBRATES",0.67,0.41,-38.77
14,17,SUGARS AND SUGAR CONFECTIONERY.,0.13,0.0,-96.83
15,18,COCOA AND COCOA PREPARATIONS.,0.0,0.0,-61.13
16,19,"PREPARATIONS OF CEREALS, FLOUR, STARCH OR MILK; PASTRYCOOKS PRODUCTS.",0.01,0.05,272.13
17,20,"PREPARATIONS OF VEGETABLES, FRUIT, NUTS OR OTHER PARTS OF PLANTS.",0.0,0.15
18,21,MISCELLANEOUS EDIBLE PREPARATIONS.,0.06,0.13,98.35
19,22,"BEVERAGES, SPIRITS AND VINEGAR.",0.02,0.01,-47.57
20,23,RESIDUES AND WASTE FROM THE FOOD INDUSTRIES; PREPARED ANIMAL FODER.,0.24,0.06,-75.99
