S.No.,HSCode,Commodity,2022-2023,2023-2024,%Growth
1,03,"FISH AND CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTABRATES.",0.05,0.0
2,06,LIVE TREES AND OTHER PLANTS; BULBS; ROOTS AND THE LIKE; CUT FLOWERS AND ORNAMENTAL FOLIAGE.,0.75,0.65,-13.13
3,07,EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,0.71,2.41,238.59
4,08,EDIBLE FRUIT AND NUTS; PEEL OR CITRUS FRUIT OR MELONS.,218.55,261.68,19.73
5,09,"COFFEE, TEA, MATE AND SPICES.",4.68,4.91,4.8
6,10,CEREALS.,0.1,0.14,41.8
7,11,PRODUCTS OF THE MILLING INDUSTRY; MALT; STARCHES; INULIN; WHEAT GLUTEN.,3.05,0.85,-72.01
8,12,"OIL SEEDS AND OLEA. FRUITS; MISC. GRAINS, SEEDS AND FRUIT; INDUSTRIAL OR MEDICINAL PLANTS; STRAW AND FODDER.",5.92,5.28,-10.69
9,13,"LAC; GUMS, RESINS AND OTHER VEGETABLE SAPS AND EXTRACTS.",5.32,6.49,21.98
10,15,ANIMAL OR VEGETABLE FATS AND OILS AND THEIR CLEAVAGE PRODUCTS; PRE. EDIBLE FATS; ANIMAL OR VEGETABLE WAXEX.,0.04,105.7,246536.17
11,17,SUGARS AND SUGAR CONFECTIONERY.,6.95,6.24,-10.18
12,18,COCOA AND COCOA PREPARATIONS.,0.05,0.08,73.58
13,19,"PREPARATIONS OF CEREALS, FLOUR, STARCH OR MILK; PASTRYCOOKS PRODUCTS.",0.23,0.27,17.28
14,20,"PREPARATIONS OF VEGETABLES, FRUIT, NUTS OR OTHER PARTS OF PLANTS.",5.96,4.96,-16.73
15,21,MISCELLANEOUS EDIBLE PREPARATIONS.,1.3,0.39,-70.01
16,22,"BEVERAGES, SPIRITS AND VINEGAR.",0.07,0.1,44.1
17,23,RESIDUES AND WASTE FROM THE FOOD INDUSTRIES; PREPARED ANIMAL FODER.,0.21,0.0
18,24,TOBACCO AND MANUFACTURED TOBACCO SUBSTITUTES.,0.04,0.02,-38.93
19,25,"SALT; SULPHUR; EARTHS AND STONE; PLASTERING MATERIALS, LIME AND CEMENT.",827.2,608.33,-26.46
20,26,"ORES, SLAG AND ASH.",0.52,0.94,79.24
21,27,"MINERAL FUELS, MINERAL OILS AND PRODUCTS OF THEIR DISTILLATION; BITUMINOUS SUBSTANCES; MINERAL WAXES.",34589.16,29929.38,-13.47
22,28,"INORGANIC CHEMICALS; ORGANIC OR INORGANIC COMPOUNDS OF PRECIOUS METALS, OF RARE-EARTH METALS, OR RADI. ELEM. OR OF ISOTOPES.",1085.9,630.48,-41.94
23,29,ORGANIC CHEMICALS,282.45,241.12,-14.63
24,30,PHARMACEUTICAL PRODUCTS,13.13,14.08,7.25
25,31,FERTILISERS.,809.56,414.11,-48.85
26,32,"TANNING OR DYEING EXTRACTS; TANNINS AND THEIR DERI. DYES, PIGMENTS AND OTHER COLOURING MATTER; PAINTS AND VER; PUTTY AND OTHER MASTICS; INKS.",3.87,4.08,5.5
27,33,"ESSENTIAL OILS AND RESINOIDS; PERFUMERY, COSMETIC OR TOILET PREPARATIONS.",5.35,3.25,-39.17
28,34,"SOAP, ORGANIC SURFACE-ACTIVE AGENTS, WASHING PREPARATIONS, LUBRICATING PREPARATIONS, ARTIFICIAL WAXES, PREPARED WAXES, POLISHING OR SCOURING PREP.",0.69,1.07,55.4
29,35,ALBUMINOIDAL SUBSTANCES; MODIFIED STARCHES; GLUES; ENZYMES.,1.17,0.19,-83.63
30,37,PHOTOGRAPHIC OR CINEMATOGRAPHIC GOODS.,0.15,0.11,-26.28
31,38,MISCELLANEOUS CHEMICAL PRODUCTS.,159.53,85.26,-46.55
32,39,PLASTIC AND ARTICLES THEREOF.,36.2,35.83,-1.04
33,40,RUBBER AND ARTICLES THEREOF.,2.24,2.19,-2.43
34,41,RAW HIDES AND SKINS (OTHER THAN FURSKINS) AND LEATHER,6.04,4.25,-29.53
35,42,"ARTICLES OF LEATHER,SADDLERY AND HARNESS;TRAVEL GOODS, HANDBAGS AND SIMILAR CONT.ARTICLES OF ANIMAL GUT(OTHR THN SILK-WRM)GUT.",0.1,0.17,60.44
36,44,WOOD AND ARTICLES OF WOOD; WOOD CHARCOAL.,0.45,0.07,-84.85
