S.No.,HSCode,Commodity,2022-2023,2023-2024,%Growth
1,01,LIVE ANIMALS.,0.0,0.6,22156.38
2,05,"PRODUCTS OF ANIMAL ORIGIN, NOT ELSEWHERE SPECIFIED OR INCLUDED.",0.3,0.48,59.26
3,06,LIVE TREES AND OTHER PLANTS; BULBS; ROOTS AND THE LIKE; CUT FLOWERS AND ORNAMENTAL FOLIAGE.,0.28,0.22,-22.31
4,07,EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,5.6,1.99,-64.44
5,08,EDIBLE FRUIT AND NUTS; PEEL OR CITRUS FRUIT OR MELONS.,71.92,72.46,0.75
6,09,"COFFEE, TEA, MATE AND SPICES.",0.1,0.0,-99.99
7,10,CEREALS.,7.93,5.87,-25.97
8,12,"OIL SEEDS AND OLEA. FRUITS; MISC. GRAINS, SEEDS AND FRUIT; INDUSTRIAL OR MEDICINAL PLANTS; STRAW AND FODDER.",4.1,9.61,134.19
9,13,"LAC; GUMS, RESINS AND OTHER VEGETABLE SAPS AND EXTRACTS.",0.01,0.0,-61.78
10,15,ANIMAL OR VEGETABLE FATS AND OILS AND THEIR CLEAVAGE PRODUCTS; PRE. EDIBLE FATS; ANIMAL OR VEGETABLE WAXEX.,0.05,0.0,-91.41
11,17,SUGARS AND SUGAR CONFECTIONERY.,0.0,0.0,-49.73
12,18,COCOA AND COCOA PREPARATIONS.,0.0,0.01,151.99
13,19,"PREPARATIONS OF CEREALS, FLOUR, STARCH OR MILK; PASTRYCOOKS PRODUCTS.",0.07,0.02,-67.64
14,20,"PREPARATIONS OF VEGETABLES, FRUIT, NUTS OR OTHER PARTS OF PLANTS.",2.5,2.68,7.31
15,21,MISCELLANEOUS EDIBLE PREPARATIONS.,1.01,0.63,-37.72
16,22,"BEVERAGES, SPIRITS AND VINEGAR.",1.2,0.77,-35.83
17,23,RESIDUES AND WASTE FROM THE FOOD INDUSTRIES; PREPARED ANIMAL FODER.,21.45,12.21,-43.09
18,24,TOBACCO AND MANUFACTURED TOBACCO SUBSTITUTES.,1.81,0.66,-63.26
19,25,"SALT; SULPHUR; EARTHS AND STONE; PLASTERING MATERIALS, LIME AND CEMENT.",130.63,92.73,-29.01
20,26,"ORES, SLAG AND ASH.",444.33,506.18,13.92
21,27,"MINERAL FUELS, MINERAL OILS AND PRODUCTS OF THEIR DISTILLATION; BITUMINOUS SUBSTANCES; MINERAL WAXES.",3509.51,3327.44,-5.19
22,28,"INORGANIC CHEMICALS; ORGANIC OR INORGANIC COMPOUNDS OF PRECIOUS METALS, OF RARE-EARTH METALS, OR RADI. ELEM. OR OF ISOTOPES.",124.12,86.4,-30.39
23,29,ORGANIC CHEMICALS,83.9,79.98,-4.67
24,30,PHARMACEUTICAL PRODUCTS,3.23,3.74,15.88
25,31,FERTILISERS.,1.53,0.38,-75.36
