S.No.,HSCode,Commodity,2022-2023,2023-2024,%Growth
1,01,LIVE ANIMALS.,0.0,0.0
2,03,"FISH AND CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTABRATES.",0.0,0.31,12859.3
3,05,"PRODUCTS OF ANIMAL ORIGIN, NOT ELSEWHERE SPECIFIED OR INCLUDED.",0.24,0.26,8.69
4,06,LIVE TREES AND OTHER PLANTS; BULBS; ROOTS AND THE LIKE; CUT FLOWERS AND ORNAMENTAL FOLIAGE.,0.0,0.0
5,07,EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,0.66,5.6,742.66
6,08,EDIBLE FRUIT AND NUTS; PEEL OR CITRUS FRUIT OR MELONS.,1564.47,1149.32,-26.54
7,09,"COFFEE, TEA, MATE AND SPICES.",22.05,30.07,36.39
8,10,CEREALS.,0.0,0.0,78.46
9,11,PRODUCTS OF THE MILLING INDUSTRY; MALT; STARCHES; INULIN; WHEAT GLUTEN.,0.0,0.0,-78.7
10,12,"OIL SEEDS AND OLEA. FRUITS; MISC. GRAINS, SEEDS AND FRUIT; INDUSTRIAL OR MEDICINAL PLANTS; STRAW AND FODDER.",366.62,568.08,54.95
11,13,"LAC; GUMS, RESINS AND OTHER VEGETABLE SAPS AND EXTRACTS.",15.5,24.14,55.78
12,14,VEGETABLE PLAITING MATERIALS; VEGETABLE PRODUCTS NOT ELSEWHERE SPECIFIED OR INCLUDED.,0.01,0.08,1290.03
13,15,ANIMAL OR VEGETABLE FATS AND OILS AND THEIR CLEAVAGE PRODUCTS; PRE. EDIBLE FATS; ANIMAL OR VEGETABLE WAXEX.,42.77,32.36,-24.34
14,17,SUGARS AND SUGAR CONFECTIONERY.,0.0,0.03,5830.47
15,18,COCOA AND COCOA PREPARATIONS.,17.41,12.44,-28.54
16,19,"PREPARATIONS OF CEREALS, FLOUR, STARCH OR MILK; PASTRYCOOKS PRODUCTS.",0.04,0.01,-74.82
17,20,"PREPARATIONS OF VEGETABLES, FRUIT, NUTS OR OTHER PARTS OF PLANTS.",0.0,0.0,-77.58
18,21,MISCELLANEOUS EDIBLE PREPARATIONS.,0.01,0.01,137.83
19,22,"BEVERAGES, SPIRITS AND VINEGAR.",0.03,0.01,-59.64
20,23,RESIDUES AND WASTE FROM THE FOOD INDUSTRIES; PREPARED ANIMAL FODER.,18.27,13.62,-25.45
21,25,"SALT; SULPHUR; EARTHS AND STONE; PLASTERING MATERIALS, LIME AND CEMENT.",260.23,309.44,18.91
