S.No.,HSCode,Commodity,2023-2024,2024-2025,%Growth
1,01,LIVE ANIMALS.,9.72,14.56,49.83
2,02,MEAT AND EDIBLE MEAT OFFAL.,2.92,3.69,26.14
3,03,"FISH AND CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTABRATES.",11.69,12.07,3.25
4,04,"DAIRY PRODUCE; BIRDS' EGGS; NATURAL HONEY; EDIBLE PROD. OF ANIMAL ORIGIN, NOT ELSEWHERE SPEC. OR INCLUDED.",53.7,40.34,-24.87
5,05,"PRODUCTS OF ANIMAL ORIGIN, NOT ELSEWHERE SPECIFIED OR INCLUDED.",7.06,7.68,8.78
6,06,LIVE TREES AND OTHER PLANTS; BULBS; ROOTS AND THE LIKE; CUT FLOWERS AND ORNAMENTAL FOLIAGE.,17.52,44.55,154.31
7,07,EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,111.07,135.35,21.86
8,08,EDIBLE FRUIT AND NUTS; PEEL OR CITRUS FRUIT OR MELONS.,183.98,186.93,1.6
9,09,"COFFEE, TEA, MATE AND SPICES.",41.99,19.65,-53.2
10,10,CEREALS.,38.95,12.07,-69.01
11,11,PRODUCTS OF THE MILLING INDUSTRY; MALT; STARCHES; INULIN; WHEAT GLUTEN.,17.91,19.65,9.73
12,12,"OIL SEEDS AND OLEA. FRUITS; MISC. GRAINS, SEEDS AND FRUIT; INDUSTRIAL OR MEDICINAL PLANTS; STRAW AND FODDER.",62.39,86.9,39.28
13,13,"LAC; GUMS, RESINS AND OTHER VEGETABLE SAPS AND EXTRACTS.",34.41,37.25,8.26
14,14,VEGETABLE PLAITING MATERIALS; VEGETABLE PRODUCTS NOT ELSEWHERE SPECIFIED OR INCLUDED.,0.01,0.03,202.03
15,15,ANIMAL OR VEGETABLE FATS AND OILS AND THEIR CLEAVAGE PRODUCTS; PRE. EDIBLE FATS; ANIMAL OR VEGETABLE WAXEX.,1590.14,1048.01,-34.09
16,16,"PREPARATIONS OF MEAT, OF FISH OR OF CRUSTACEANS, MOLLUSCS OR OTHER AQUATIC INVERTEBRATES",1.02,0.86,-15.52
17,17,SUGARS AND SUGAR CONFECTIONERY.,105.63,108.32,2.54
18,18,COCOA AND COCOA PREPARATIONS.,81.74,105.06,28.53
19,19,"PREPARATIONS OF CEREALS, FLOUR, STARCH OR MILK; PASTRYCOOKS PRODUCTS.",16.82,20.01,18.96
20,20,"PREPARATIONS OF VEGETABLES, FRUIT, NUTS OR OTHER PARTS OF PLANTS.",31.43,38.27,21.75
21,21,MISCELLANEOUS EDIBLE PREPARATIONS.,46.29,58.18,25.7
22,22,"BEVERAGES, SPIRITS AND VINEGAR.",863.81,556.88,-35.53
23,23,RESIDUES AND WASTE FROM THE FOOD INDUSTRIES; PREPARED ANIMAL FODER.,118.13,132.46,12.13
24,24,TOBACCO AND MANUFACTURED TOBACCO SUBSTITUTES.,18.02,24.18,34.17
25,25,"SALT; SULPHUR; EARTHS AND STONE; PLASTERING MATERIALS, LIME AND CEMENT.",444.57,488.44,9.87
26,26,"ORES, SLAG AND ASH.",211.75,246.52,16.42
27,27,"MINERAL FUELS, MINERAL OILS AND PRODUCTS OF THEIR DISTILLATION; BITUMINOUS SUBSTANCES; MINERAL WAXES.",4585.73,2334.98,-49.08
28,28,"INORGANIC CHEMICALS; ORGANIC OR INORGANIC COMPOUNDS OF PRECIOUS METALS, OF RARE-EARTH METALS, OR RADI. ELEM. OR OF ISOTOPES.",826.72,824.17,-0.31
29,29,ORGANIC CHEMICALS,2519.57,2584.43,2.57
30,30,PHARMACEUTICAL PRODUCTS,1548.93,1881.79,21.49
31,31,FERTILISERS.,251.74,175.15,-30.42
32,32,"TANNING OR DYEING EXTRACTS; TANNINS AND THEIR DERI. DYES, PIGMENTS AND OTHER COLOURING MATTER; PAINTS AND VER; PUTTY AND OTHER MASTICS; INKS.",596.84,638.02,6.9
33,33,"ESSENTIAL OILS AND RESINOIDS; PERFUMERY, COSMETIC OR TOILET PREPARATIONS.",910.2,487.35,-46.46
34,34,"SOAP, ORGANIC SURFACE-ACTIVE AGENTS, WASHING PREPARATIONS, LUBRICATING PREPARATIONS, ARTIFICIAL WAXES, PREPARED WAXES, POLISHING OR SCOURING PREP.",378.88,430.01,13.5
35,35,ALBUMINOIDAL SUBSTANCES; MODIFIED STARCHES; GLUES; ENZYMES.,257.04,289.93,12.8
36,36,EXPLOSIVES; PYROTECHNIC PRODUCTS; MATCHES; PYROPHORIC ALLOYS; CERTAIN COMBUSTIBLE PREPARATIONS.,2.36,7.18,203.52
37,37,PHOTOGRAPHIC OR CINEMATOGRAPHIC GOODS.,63.18,59.92,-5.16
38,38,MISCELLANEOUS CHEMICAL PRODUCTS.,1889.78,1952.68,3.33
39,39,PLASTIC AND ARTICLES THEREOF.,2476.5,2657.29,7.3
40,40,RUBBER AND ARTICLES THEREOF.,715.6,804.15,12.37
41,41,RAW HIDES AND SKINS (OTHER THAN FURSKINS) AND LEATHER,127.71,144.72,13.33
42,42,"ARTICLES OF LEATHER,SADDLERY AND HARNESS;TRAVEL GOODS, HANDBAGS AND SIMILAR CONT.ARTICLES OF ANIMAL GUT(OTHR THN SILK-WRM)GUT.",69.13,66.5,-3.8
43,43,"FURSKINS AND ARTIFICIAL FUR, MANUFACTURES THEREOF.",3.81,2.67,-29.99
44,44,WOOD AND ARTICLES OF WOOD; WOOD CHARCOAL.,291.52,320.88,10.07
45,45,CORK AND ARTICLES OF CORK.,6.63,6.47,-2.39
46,46,"MANUFACTURES OF STRAW, OF ESPARTO OR OF OTHER PLAITING MATERIALS; BASKETWARE AND WICKERWORK.",0.21,0.1,-52.52
47,47,PULP OF WOOD OR OF OTHER FIBROUS CELLULOSIC MATERIAL; WASTE AND SCRAP OF PAPER OR PAPERBOARD.,854.77,793.93,-7.12
48,48,"PAPER AND PAPERBOARD; ARTICLES OF PAPER PULP, OF PAPER OR OF PAPERBOARD.",638.12,691.97,8.44
49,49,"PRINTED BOOKDS, NEWSPAPERS, PICTURES AND OTHER PRODUCTS OF THE PRINTING INDUSTRY; MANUSCRIPTS, TYPESCRIPTS AND PLANS.",87.89,82.6,-6.02
50,50,SILK,0.69,0.89,29.99
51,51,"WOOL, FINE OR COARSE ANIMAL HAIR, HORSEHAIR YARN AND WOVEN FABRIC.",53.98,54.09,0.21
52,52,COTTON.,49.36,116.88,136.77
53,53,OTHER VEGETABLE TEXTILE FIBRES; PAPER YARN AND WOVEN FABRICS OF PAPER YARN.,208.31,247.92,19.01
54,54,MAN-MADE FILAMENTS.,66.86,60.41,-9.66
55,55,MAN-MADE STAPLE FIBRES.,156.12,195.7,25.35
56,56,"WADDING, FELT AND NONWOVENS; SPACIAL YARNS; TWINE, CORDAGE, ROPES AND CABLES AND ARTICLES THEREOF.",56.86,64.3,13.08
57,57,CARPETS AND OTHER TEXTILE FLOOR COVERINGS.,24.71,25.13,1.69
58,58,SPECIAL WOVEN FABRICS; TUFTED TEXTILE FABRICS; LACE; TAPESTRIES; TRIMMINGS; EMBROIDERY.,11.01,12.01,9.1
59,59,"IMPREGNATED, COATED, COVERED OR LAMINATED TEXTILE FABRICS; TEXTILE ARTICLES OF A KIND SUITABLE FOR INDUSTRIAL USE.",72.4,94.31,30.26
60,60,KNITTED OR CROCHETED FABRICS.,13.69,12.33,-9.95
61,61,"ARTICLES OF APPAREL AND CLOTHING ACCESSORIES, KNITTED OR CORCHETED.",112.95,114.67,1.53
62,62,"ARTICLES OF APPAREL AND CLOTHING ACCESSORIES, NOT KNITTED OR CROCHETED.",196.78,171.28,-12.96
63,63,OTHER MADE UP TEXTILE ARTICLES; SETS; WORN CLOTHING AND WORN TEXTILE ARTICLES; RAGS,64.39,65.68,2.01
64,64,"FOOTWEAR, GAITERS AND THE LIKE; PARTS OF SUCH ARTICLES.",65.77,44.46,-32.4
65,65,HEADGEAR AND PARTS THEREOF.,3.79,4.72,24.55
66,66,"UMBRELLAS, SUN UMBRELLAS, WALKING-STICKS, SEAT-STICKS, WHIPS,RIDING-CROPS AND PARTS THEREOF.",0.34,0.29,-14.82
67,67,PREPARED FEATHERS AND DOWN AND ARTICLES MADE OF FEATHERS OR OF DOWN; ARTIFICIAL FLOWERS; ARTICLES OF HUMAN HAIR.,0.37,0.38,1.18
