S.No.,HSCode,Commodity,2023-2024,2024-2025,%Growth
1,01,LIVE ANIMALS.,0.0,0.08
2,03,"FISH AND CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTABRATES.",0.28,0.0
3,04,"DAIRY PRODUCE; BIRDS' EGGS; NATURAL HONEY; EDIBLE PROD. OF ANIMAL ORIGIN, NOT ELSEWHERE SPEC. OR INCLUDED.",0.51,0.3,-41.57
4,05,"PRODUCTS OF ANIMAL ORIGIN, NOT ELSEWHERE SPECIFIED OR INCLUDED.",0.0,0.0
5,06,LIVE TREES AND OTHER PLANTS; BULBS; ROOTS AND THE LIKE; CUT FLOWERS AND ORNAMENTAL FOLIAGE.,0.0,0.0,198.76
6,07,EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,54.57,89.46,63.92
7,08,EDIBLE FRUIT AND NUTS; PEEL OR CITRUS FRUIT OR MELONS.,0.31,0.15,-53.39
8,09,"COFFEE, TEA, MATE AND SPICES.",15.88,31.54,98.53
9,12,"OIL SEEDS AND OLEA. FRUITS; MISC. GRAINS, SEEDS AND FRUIT; INDUSTRIAL OR MEDICINAL PLANTS; STRAW AND FODDER.",3.12,0.16,-94.72
10,13,"LAC; GUMS, RESINS AND OTHER VEGETABLE SAPS AND EXTRACTS.",3.98,7.66,92.41
11,17,SUGARS AND SUGAR CONFECTIONERY.,0.0,0.0
12,18,COCOA AND COCOA PREPARATIONS.,40.9,111.09,171.6
13,22,"BEVERAGES, SPIRITS AND VINEGAR.",0.0,0.0,1114.09
14,23,RESIDUES AND WASTE FROM THE FOOD INDUSTRIES; PREPARED ANIMAL FODER.,4.52,0.5,-88.92
15,25,"SALT; SULPHUR; EARTHS AND STONE; PLASTERING MATERIALS, LIME AND CEMENT.",0.02,0.0,-93.02
16,26,"ORES, SLAG AND ASH.",0.0,0.18
17,27,"MINERAL FUELS, MINERAL OILS AND PRODUCTS OF THEIR DISTILLATION; BITUMINOUS SUBSTANCES; MINERAL WAXES.",165.63,448.9,171.03
18,28,"INORGANIC CHEMICALS; ORGANIC OR INORGANIC COMPOUNDS OF PRECIOUS METALS, OF RARE-EARTH METALS, OR RADI. ELEM. OR OF ISOTOPES.",0.0,0.0
19,29,ORGANIC CHEMICALS,0.65,0.17,-73.82
20,30,PHARMACEUTICAL PRODUCTS,0.06,0.1,71.29
21,32,"TANNING OR DYEING EXTRACTS; TANNINS AND THEIR DERI. DYES, PIGMENTS AND OTHER COLOURING MATTER; PAINTS AND VER; PUTTY AND OTHER MASTICS; INKS.",0.0,0.0
22,33,"ESSENTIAL OILS AND RESINOIDS; PERFUMERY, COSMETIC OR TOILET PREPARATIONS.",1.96,3.34,70.08
23,35,ALBUMINOIDAL SUBSTANCES; MODIFIED STARCHES; GLUES; ENZYMES.,3.66,1.69,-53.93
24,38,MISCELLANEOUS CHEMICAL PRODUCTS.,0.12,0.95,712.79
