S.No.,HSCode,Commodity,2023-2024,2024-2025,%Growth
1,01,LIVE ANIMALS.,0.0,0.07
2,02,MEAT AND EDIBLE MEAT OFFAL.,2.86,2.53,-11.35
3,03,"FISH AND CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTABRATES.",1.67,3.63,117.6
4,04,"DAIRY PRODUCE; BIRDS' EGGS; NATURAL HONEY; EDIBLE PROD. OF ANIMAL ORIGIN, NOT ELSEWHERE SPEC. OR INCLUDED.",0.71,1.44,104.17
5,05,"PRODUCTS OF ANIMAL ORIGIN, NOT ELSEWHERE SPECIFIED OR INCLUDED.",2.83,1.02,-63.81
6,06,LIVE TREES AND OTHER PLANTS; BULBS; ROOTS AND THE LIKE; CUT FLOWERS AND ORNAMENTAL FOLIAGE.,0.27,0.18,-34.91
7,07,EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,617.12,1365.72,121.31
8,08,EDIBLE FRUIT AND NUTS; PEEL OR CITRUS FRUIT OR MELONS.,131.54,167.89,27.63
9,09,"COFFEE, TEA, MATE AND SPICES.",0.45,0.57,27.33
10,10,CEREALS.,49.89,53.97,8.18
11,11,PRODUCTS OF THE MILLING INDUSTRY; MALT; STARCHES; INULIN; WHEAT GLUTEN.,20.0,13.46,-32.7
12,12,"OIL SEEDS AND OLEA. FRUITS; MISC. GRAINS, SEEDS AND FRUIT; INDUSTRIAL OR MEDICINAL PLANTS; STRAW AND FODDER.",17.65,19.58,10.91
13,13,"LAC; GUMS, RESINS AND OTHER VEGETABLE SAPS AND EXTRACTS.",0.96,0.76,-21.09
14,14,VEGETABLE PLAITING MATERIALS; VEGETABLE PRODUCTS NOT ELSEWHERE SPECIFIED OR INCLUDED.,0.0,0.0
15,15,ANIMAL OR VEGETABLE FATS AND OILS AND THEIR CLEAVAGE PRODUCTS; PRE. EDIBLE FATS; ANIMAL OR VEGETABLE WAXEX.,224.49,237.72,5.89
16,16,"PREPARATIONS OF MEAT, OF FISH OR OF CRUSTACEANS, MOLLUSCS OR OTHER AQUATIC INVERTEBRATES",0.01,0.01,-10.14
17,17,SUGARS AND SUGAR CONFECTIONERY.,8.87,7.21,-18.64
18,18,COCOA AND COCOA PREPARATIONS.,1.37,0.78,-43.01
19,19,"PREPARATIONS OF CEREALS, FLOUR, STARCH OR MILK; PASTRYCOOKS PRODUCTS.",0.58,0.88,52.89
20,20,"PREPARATIONS OF VEGETABLES, FRUIT, NUTS OR OTHER PARTS OF PLANTS.",1.03,0.96,-6.8
21,21,MISCELLANEOUS EDIBLE PREPARATIONS.,1.5,1.7,13.5
22,22,"BEVERAGES, SPIRITS AND VINEGAR.",10.59,6.5,-38.65
23,23,RESIDUES AND WASTE FROM THE FOOD INDUSTRIES; PREPARED ANIMAL FODER.,3.28,4.17,27.4
24,25,"SALT; SULPHUR; EARTHS AND STONE; PLASTERING MATERIALS, LIME AND CEMENT.",15.07,27.72,83.92
25,26,"ORES, SLAG AND ASH.",935.69,1098.32,17.38
26,27,"MINERAL FUELS, MINERAL OILS AND PRODUCTS OF THEIR DISTILLATION; BITUMINOUS SUBSTANCES; MINERAL WAXES.",11071.25,7094.4,-35.92
27,28,"INORGANIC CHEMICALS; ORGANIC OR INORGANIC COMPOUNDS OF PRECIOUS METALS, OF RARE-EARTH METALS, OR RADI. ELEM. OR OF ISOTOPES.",297.41,455.7,53.22
28,29,ORGANIC CHEMICALS,12.67,20.27,59.95
29,30,PHARMACEUTICAL PRODUCTS,20.04,25.17,25.57
30,31,FERTILISERS.,1.29,119.4,9121.26
31,32,"TANNING OR DYEING EXTRACTS; TANNINS AND THEIR DERI. DYES, PIGMENTS AND OTHER COLOURING MATTER; PAINTS AND VER; PUTTY AND OTHER MASTICS; INKS.",155.7,134.96,-13.32
32,33,"ESSENTIAL OILS AND RESINOIDS; PERFUMERY, COSMETIC OR TOILET PREPARATIONS.",12.01,12.25,2.01
33,34,"SOAP, ORGANIC SURFACE-ACTIVE AGENTS, WASHING PREPARATIONS, LUBRICATING PREPARATIONS, ARTIFICIAL WAXES, PREPARED WAXES, POLISHING OR SCOURING PREP.",5.18,6.98,34.69
34,35,ALBUMINOIDAL SUBSTANCES; MODIFIED STARCHES; GLUES; ENZYMES.,29.9,43.73,46.27
35,37,PHOTOGRAPHIC OR CINEMATOGRAPHIC GOODS.,0.02,0.04,142.49
36,38,MISCELLANEOUS CHEMICAL PRODUCTS.,18.68,21.48,15.0
37,39,PLASTIC AND ARTICLES THEREOF.,13.92,14.77,6.11
38,40,RUBBER AND ARTICLES THEREOF.,11.21,15.65,39.58
39,41,RAW HIDES AND SKINS (OTHER THAN FURSKINS) AND LEATHER,6.5,7.13,9.73
40,42,"ARTICLES OF LEATHER,SADDLERY AND HARNESS;TRAVEL GOODS, HANDBAGS AND SIMILAR CONT.ARTICLES OF ANIMAL GUT(OTHR THN SILK-WRM)GUT.",0.22,0.2,-7.78
41,44,WOOD AND ARTICLES OF WOOD; WOOD CHARCOAL.,144.16,284.72,97.51
42,47,PULP OF WOOD OR OF OTHER FIBROUS CELLULOSIC MATERIAL; WASTE AND SCRAP OF PAPER OR PAPERBOARD.,25.79,49.85,93.29
43,48,"PAPER AND PAPERBOARD; ARTICLES OF PAPER PULP, OF PAPER OR OF PAPERBOARD.",29.9,41.37,38.39
44,49,"PRINTED BOOKDS, NEWSPAPERS, PICTURES AND OTHER PRODUCTS OF THE PRINTING INDUSTRY; MANUSCRIPTS, TYPESCRIPTS AND PLANS.",0.41,0.52,25.47
45,50,SILK,0.0,0.0
46,51,"WOOL, FINE OR COARSE ANIMAL HAIR, HORSEHAIR YARN AND WOVEN FABRIC.",154.22,135.32,-12.26
47,52,COTTON.,140.4,258.27,83.95
48,53,OTHER VEGETABLE TEXTILE FIBRES; PAPER YARN AND WOVEN FABRICS OF PAPER YARN.,0.03,0.08,159.03
49,54,MAN-MADE FILAMENTS.,1.07,0.81,-24.85
50,55,MAN-MADE STAPLE FIBRES.,0.22,0.39,74.32
51,56,"WADDING, FELT AND NONWOVENS; SPACIAL YARNS; TWINE, CORDAGE, ROPES AND CABLES AND ARTICLES THEREOF.",0.42,0.34,-20.04
52,57,CARPETS AND OTHER TEXTILE FLOOR COVERINGS.,0.8,0.35,-56.96
53,58,SPECIAL WOVEN FABRICS; TUFTED TEXTILE FABRICS; LACE; TAPESTRIES; TRIMMINGS; EMBROIDERY.,0.27,0.36,36.3
54,59,"IMPREGNATED, COATED, COVERED OR LAMINATED TEXTILE FABRICS; TEXTILE ARTICLES OF A KIND SUITABLE FOR INDUSTRIAL USE.",0.76,0.7,-8.02
55,60,KNITTED OR CROCHETED FABRICS.,0.87,0.84,-2.92
56,61,"ARTICLES OF APPAREL AND CLOTHING ACCESSORIES, KNITTED OR CORCHETED.",0.23,0.69,193.62
57,62,"ARTICLES OF APPAREL AND CLOTHING ACCESSORIES, NOT KNITTED OR CROCHETED.",0.9,0.57,-37.02
58,63,OTHER MADE UP TEXTILE ARTICLES; SETS; WORN CLOTHING AND WORN TEXTILE ARTICLES; RAGS,3.07,2.32,-24.48
59,64,"FOOTWEAR, GAITERS AND THE LIKE; PARTS OF SUCH ARTICLES.",0.57,0.28,-51.79
60,65,HEADGEAR AND PARTS THEREOF.,0.3,0.34,12.32
61,66,"UMBRELLAS, SUN UMBRELLAS, WALKING-STICKS, SEAT-STICKS, WHIPS,RIDING-CROPS AND PARTS THEREOF.",0.0,0.0
62,68,"ARTICLES OF STONE, PLASTER, CEMENT, ASBESTOS, MICA OR SIMILAR MATERIALS.",0.05,0.04,-22.61
63,69,CERAMIC PRODUCTS.,0.93,0.61,-34.24
64,70,GLASS AND GLASSWARE.,1.81,1.6,-11.58
65,71,"NATURAL OR CULTURED PEARLS,PRECIOUS OR SEMIPRECIOUS STONES,PRE.METALS,CLAD WITH PRE.METAL AND ARTCLS THEREOF;IMIT.JEWLRY;COIN.",2012.5,3687.91,83.25
66,72,IRON AND STEEL,215.23,322.21,49.7
67,73,ARTICLES OF IRON OR STEEL,14.05,13.52,-3.81
68,74,COPPER AND ARTICLES THEREOF.,43.34,57.72,33.19
69,75,NICKEL AND ARTICLES THEREOF.,2.03,2.02,-0.43
70,76,ALUMINIUM AND ARTICLES THEREOF.,226.03,241.44,6.82
71,78,LEAD AND ARTICLES THEREOF.,19.93,29.47,47.84
72,79,ZINC AND ARTICLES THEREOF.,6.49,9.19,41.47
73,80,TIN AND ARTICLES THEREOF.,0.0,0.07,259053.74
74,81,OTHER BASE METALS; CERMETS; ARTICLES THEREOF.,0.99,0.34,-65.38
75,82,"TOOLS IMPLEMENTS, CUTLERY, SPOONS AND FORKS, OF BASE METAL; PARTS THEREOF OF BASE METAL.",1.48,0.55,-63.22
76,83,MISCELLANEOUS ARTICLES OF BASE METAL.,1.92,1.77,-8.14
77,84,"NUCLEAR REACTORS, BOILERS, MACHINERY AND MECHANICAL APPLIANCES; PARTS THEREOF.",79.48,152.33,91.65
78,85,"ELECTRICAL MACHINERY AND EQUIPMENT AND PARTS THEREOF; SOUND RECORDERS AND REPRODUCERS, TELEVISION IMAGE AND SOUND RECORDERS AND REPRODUCERS,AND PARTS.",76.7,70.78,-7.72
79,86,"RAILWAY OR TRAMWAY LOCOMOTIVES, ROLLING-STOCK AND PARTS THEREOF; RAILWAY OR TRAMWAY TRACK FIXTURES AND FITTINGS AND PARTS THEREOF; MECHANICAL",0.51,0.61,20.83
80,87,"VEHICLES OTHER THAN RAILWAY OR TRAMWAY ROLLING STOCK, AND PARTS AND ACCESSORIES THEREOF.",4.16,6.88,65.63
81,88,"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF.",1.0,43.66,4261.36
82,89,"SHIPS, BOATS AND FLOATING STRUCTURES.",0.09,0.21,137.62
83,90,"OPTICAL, PHOTOGRAPHIC CINEMATOGRAPHIC MEASURING, CHECKING PRECISION, MEDICAL OR SURGICAL INST. AND APPARATUS PARTS AND ACCESSORIES THEREOF;",70.55,81.32,15.26
84,91,CLOCKS AND WATCHES AND PARTS THEREOF.,0.24,0.01,-95.64
85,92,MUSICAL INSTRUMENTS; PARTS AND ACCESSORIES OF SUCH ARTICLES.,0.0,0.02,907.77
86,93,ARMS AND AMMUNITION; PARTS AND ACCESSORIES THEREOF.,0.36,0.48,30.52
87,94,"FURNITURE; BEDDING, MATTRESSES, MATTRESS SUPPORTS, CUSHIONS AND SIMILAR STUFFED FURNISHING; LAMPS AND LIGHTING FITTINGS NOT ELSEWHERE SPECIFIED OR INC",2.94,0.95,-67.77
88,95,"TOYS, GAMES AND SPORTS REQUISITES; PARTS AND ACCESSORIES THEREOF.",2.52,2.61,3.57
89,96,MISCELLANEOUS MANUFACTURED ARTICLES.,0.16,0.12,-23.78
90,97,WORKS OF ART COLLECTORS' PIECES AND ANTIQUES.,1.49,0.68,-54.22
91,98,PROJECT GOODS; SOME SPECIAL USES.,0.03,0.06,87.43
92,99,MISCELLANEOUS GOODS.,0.03,0.03,-3.96
,,Total,16995.89,16496.23,-2.94
