S.No.,HSCode,Commodity,2023-2024,2024-2025,%Growth
1,05,"PRODUCTS OF ANIMAL ORIGIN, NOT ELSEWHERE SPECIFIED OR INCLUDED.",0.04,0.07,85.26
2,07,EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,251.07,345.64,37.67
3,08,EDIBLE FRUIT AND NUTS; PEEL OR CITRUS FRUIT OR MELONS.,37.05,59.49,60.59
4,09,"COFFEE, TEA, MATE AND SPICES.",0.56,1.8,218.47
5,11,PRODUCTS OF THE MILLING INDUSTRY; MALT; STARCHES; INULIN; WHEAT GLUTEN.,0.0,0.04
6,12,"OIL SEEDS AND OLEA. FRUITS; MISC. GRAINS, SEEDS AND FRUIT; INDUSTRIAL OR MEDICINAL PLANTS; STRAW AND FODDER.",68.41,3.52,-94.85
7,14,VEGETABLE PLAITING MATERIALS; VEGETABLE PRODUCTS NOT ELSEWHERE SPECIFIED OR INCLUDED.,0.0,0.01
8,21,MISCELLANEOUS EDIBLE PREPARATIONS.,0.0,0.0
9,22,"BEVERAGES, SPIRITS AND VINEGAR.",0.01,0.0
10,23,RESIDUES AND WASTE FROM THE FOOD INDUSTRIES; PREPARED ANIMAL FODER.,0.29,0.0
11,24,TOBACCO AND MANUFACTURED TOBACCO SUBSTITUTES.,10.98,11.78,7.3
12,25,"SALT; SULPHUR; EARTHS AND STONE; PLASTERING MATERIALS, LIME AND CEMENT.",5.35,8.97,67.72
13,26,"ORES, SLAG AND ASH.",18.98,17.39,-8.41
14,27,"MINERAL FUELS, MINERAL OILS AND PRODUCTS OF THEIR DISTILLATION; BITUMINOUS SUBSTANCES; MINERAL WAXES.",5176.7,5881.66,13.62
15,28,"INORGANIC CHEMICALS; ORGANIC OR INORGANIC COMPOUNDS OF PRECIOUS METALS, OF RARE-EARTH METALS, OR RADI. ELEM. OR OF ISOTOPES.",0.69,0.65,-5.95
16,29,ORGANIC CHEMICALS,0.15,0.24,61.37
17,30,PHARMACEUTICAL PRODUCTS,0.01,0.01,13.59
18,32,"TANNING OR DYEING EXTRACTS; TANNINS AND THEIR DERI. DYES, PIGMENTS AND OTHER COLOURING MATTER; PAINTS AND VER; PUTTY AND OTHER MASTICS; INKS.",0.32,0.27,-16.52
19,33,"ESSENTIAL OILS AND RESINOIDS; PERFUMERY, COSMETIC OR TOILET PREPARATIONS.",0.0,0.0
20,34,"SOAP, ORGANIC SURFACE-ACTIVE AGENTS, WASHING PREPARATIONS, LUBRICATING PREPARATIONS, ARTIFICIAL WAXES, PREPARED WAXES, POLISHING OR SCOURING PREP.",0.0,0.0,1662.38
21,38,MISCELLANEOUS CHEMICAL PRODUCTS.,0.02,0.4,2163.42
22,39,PLASTIC AND ARTICLES THEREOF.,0.56,0.06,-89.16
23,40,RUBBER AND ARTICLES THEREOF.,0.14,0.11,-16.36
24,41,RAW HIDES AND SKINS (OTHER THAN FURSKINS) AND LEATHER,0.0,0.0
25,42,"ARTICLES OF LEATHER,SADDLERY AND HARNESS;TRAVEL GOODS, HANDBAGS AND SIMILAR CONT.ARTICLES OF ANIMAL GUT(OTHR THN SILK-WRM)GUT.",0.0,0.0
26,44,WOOD AND ARTICLES OF WOOD; WOOD CHARCOAL.,0.02,1.58,7840.65
27,47,PULP OF WOOD OR OF OTHER FIBROUS CELLULOSIC MATERIAL; WASTE AND SCRAP OF PAPER OR PAPERBOARD.,13.69,12.07,-11.79
28,48,"PAPER AND PAPERBOARD; ARTICLES OF PAPER PULP, OF PAPER OR OF PAPERBOARD.",0.0,0.0,-82.99
